RUN_NUMBER,EXECUTION_COUNT,CASES_COUNT,HIT_PERCENTAGE_TOTAL,HIT_PERCENTAGE_WHEN_PREDICTED,HIT_COUNT,MISS_COUNT,INSUFFICIENT_SCORE_COUNT,EXCEPTION_COUNT,NO_SUCCESSOR_COUNT
1,7,7,28.571428571428573,50.0,2,2,0,0,3
2,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
3,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
4,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
5,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
6,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
7,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
8,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
9,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
10,7,7,71.42857142857143,71.42857142857143,5,2,0,0,0
