Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
34,2363956,35,0,0,32,17
84,2364232,85,0,0,82,26
182,2366088,183,0,0,181,27
283,2366568,283,0,0,282,25
388,2365404,390,0,0,386,12
486,2365608,487,0,0,484,11
584,2366908,585,0,0,583,14
687,2367208,688,0,0,685,17
787,2366324,788,0,0,784,12
887,2366688,887,0,0,885,15
988,2366860,988,0,0,986,17
1087,2366860,1087,0,0,1086,14
1192,2366568,1194,0,0,1189,2
1289,2367668,1290,0,0,1287,17
1389,2366972,1389,0,0,1387,17
1490,2366972,1490,0,0,1488,15
1596,2366000,1598,0,0,1591,7
1691,2366060,1692,0,0,1689,16
1790,2366100,1791,0,0,1789,14
1891,2365788,1891,0,0,1889,18
2003,2366096,2004,0,0,1997,6
2092,2366308,2093,0,0,2091,17
2194,2366340,2195,0,0,2191,14
2296,2365556,2297,0,0,2294,12
2397,2365360,2399,0,0,2394,7
2494,2366064,2495,0,0,2492,17
2600,2366152,2602,0,0,2597,17
2699,2365236,2700,0,0,2696,10
2800,2365476,2801,0,0,2796,7
2896,2365832,2897,0,0,2895,16
3003,2365832,3005,0,0,2998,13
3100,2365048,3101,0,0,3098,15
3204,2365284,3205,0,0,3200,4
3300,2366300,3300,0,0,3298,18
3402,2367000,3403,0,0,3399,17
3499,2382564,3499,0,0,3498,24
3599,2380896,3600,0,0,3599,18
3699,2364832,3700,0,0,3699,16
3800,2364676,3800,0,0,3799,23
3904,2365468,3905,0,0,3902,11
4001,2366412,4002,0,0,4001,29
4103,2366908,4104,0,0,4101,28
4202,2363488,4203,0,0,4201,23
4301,2364304,4301,0,0,4301,35
4402,2365168,4402,0,0,4401,20
4502,2359928,4503,0,0,4502,20
4603,2363056,4603,0,0,4602,38
4703,2366808,4703,0,0,4702,35
4803,2375768,4803,0,0,4802,30
4904,2391020,4905,0,0,4903,23
5005,2413116,5005,0,0,5004,34
5105,2421052,5106,0,0,5104,27
5205,2403776,5205,0,0,5204,32
5305,2412440,5306,0,0,5305,24
5406,2430100,5407,0,0,5405,26
5505,2407660,5506,0,0,5505,38
5606,2407256,5606,0,0,5605,33
5706,2407316,5706,0,0,5705,21
5808,2408612,5808,0,0,5807,32
5907,2408108,5908,0,0,5906,34
6007,2407916,6007,0,0,6006,34
6107,2407624,6108,0,0,6107,23
6209,2407792,6209,0,0,6208,29
6308,2408724,6309,0,0,6308,33
6408,2407988,6409,0,0,6408,33
6509,2407644,6509,0,0,6508,28
6610,2407472,6611,0,0,6609,20
6710,2408608,6711,0,0,6709,29
6810,2409296,6810,0,0,6809,31
6910,2409348,6910,0,0,6909,29
7011,2409212,7011,0,0,7010,19
7112,2410032,7113,0,0,7111,27
7211,2412484,7212,0,0,7211,32
7312,2412308,7312,0,0,7311,32
7412,2412336,7412,0,0,7411,31
7512,2412432,7513,0,0,7512,18
7613,2413324,7613,0,0,7612,31
7714,2414832,7714,0,0,7713,30
7813,2414348,7814,0,0,7813,36
7914,2414292,7914,0,0,7913,30
8016,2414196,8017,0,0,8015,25
8117,2414524,8118,0,0,8116,31
8217,2415532,8217,0,0,8216,31
8317,2400992,8317,0,0,8316,20
8417,2400992,8418,0,0,8417,13
8518,2400600,8518,2422764,2422764,8517,7
8619,2401216,8619,2422764,2422764,8618,12
8720,2401660,8721,2422764,2422764,8719,16
8820,2401660,8820,2422764,2422764,8819,13
8920,2401660,8920,2422764,2422764,8919,12
9021,2401660,9021,2422764,2422764,9020,14
9122,2401328,9123,2422764,2422764,9121,1
9223,2401988,9223,2422764,2422764,9221,12
9322,2401652,9323,2422764,2422764,9321,13
9423,2401652,9423,2422764,2422764,9422,13
9523,2401652,9523,2422764,2422764,9522,13
9624,2401284,9624,2422764,2422764,9623,0
9725,2401260,9726,2422764,2422764,9724,5
9826,2401556,9827,2422764,2422764,9825,22
9926,2402012,9927,2422764,2422764,9925,15
10026,2402252,10027,2422764,2422764,10025,14
10126,2402252,10127,2422764,2422764,10125,16
10227,2402252,10228,2422764,2422764,10227,18
10328,2401908,10328,2422764,2422764,10327,2
10429,2402540,10429,2422764,2422764,10428,17
10529,2403884,10529,2422764,2422764,10528,30
10630,2403820,10630,2422764,2422764,10629,33
10730,2404940,10731,2422764,2422764,10729,31
10831,2404388,10831,2422764,2422764,10831,27
10933,2406440,10934,2422764,2422764,10932,20
11032,2407688,11033,2422764,2422764,11032,38
11132,2410472,11133,2422764,2422764,11132,60
11233,2415152,11234,2422764,2422764,11233,46
11333,2426404,11334,2422764,2422764,11333,33
