datetime,cpu,mem
Thu Aug  6 10:02:05 GMT 2020,2.7,28838
Thu Aug  6 10:02:05 GMT 2020,2.7,68740
Thu Aug  6 10:02:05 GMT 2020,2.7,93285
Thu Aug  6 10:02:06 GMT 2020,2.7,93690
Thu Aug  6 10:02:06 GMT 2020,2.7,118356
Thu Aug  6 10:02:07 GMT 2020,2.7,117752
Thu Aug  6 10:02:07 GMT 2020,2.7,117756
Thu Aug  6 10:02:08 GMT 2020,2.7,117756
Thu Aug  6 10:02:08 GMT 2020,2.7,117748
Thu Aug  6 10:02:09 GMT 2020,2.7,117748
Thu Aug  6 10:02:09 GMT 2020,2.7,117752
Thu Aug  6 10:02:09 GMT 2020,2.7,117150
Thu Aug  6 10:02:10 GMT 2020,2.7,123546
Thu Aug  6 10:02:10 GMT 2020,2.7,123639
Thu Aug  6 10:02:11 GMT 2020,22,124958
Thu Aug  6 10:02:11 GMT 2020,22,106515
Thu Aug  6 10:02:11 GMT 2020,22,127607
Thu Aug  6 10:02:12 GMT 2020,22,132587
Thu Aug  6 10:02:12 GMT 2020,22,132211
Thu Aug  6 10:02:13 GMT 2020,22,132103
Thu Aug  6 10:02:14 GMT 2020,22,132103
Thu Aug  6 10:02:14 GMT 2020,22,132067
Thu Aug  6 10:02:15 GMT 2020,22,131463
Thu Aug  6 10:02:15 GMT 2020,22,155378
Thu Aug  6 10:02:16 GMT 2020,22,163024
Thu Aug  6 10:02:16 GMT 2020,22,188386
Thu Aug  6 10:02:17 GMT 2020,0,207330
Thu Aug  6 10:02:18 GMT 2020,0,209805
Thu Aug  6 10:02:18 GMT 2020,0,216690
Thu Aug  6 10:02:19 GMT 2020,0,256749
Thu Aug  6 10:02:19 GMT 2020,0,258667
Thu Aug  6 10:02:20 GMT 2020,0,257443
Thu Aug  6 10:02:21 GMT 2020,0,244059
Thu Aug  6 10:02:21 GMT 2020,0,244276
Thu Aug  6 10:02:22 GMT 2020,0,248783
Thu Aug  6 10:02:23 GMT 2020,0,258106
Thu Aug  6 10:02:24 GMT 2020,0,259440
Thu Aug  6 10:02:24 GMT 2020,0,258550
Thu Aug  6 10:02:25 GMT 2020,0,250843
Thu Aug  6 10:02:26 GMT 2020,0,250838
Thu Aug  6 10:02:27 GMT 2020,0,253460
Thu Aug  6 10:02:28 GMT 2020,0.1,232733
Thu Aug  6 10:02:28 GMT 2020,0.1,217356
Thu Aug  6 10:02:29 GMT 2020,0.1,234533
Thu Aug  6 10:02:30 GMT 2020,0.1,230444
Thu Aug  6 10:02:30 GMT 2020,0.1,239447
