STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",1827708,0,1,1,True
"TfprPrefetchingStrategy",4156823,2,1,1,True
"TfprPrefetchingStrategy",1406,0,0,0,True
"TfprPrefetchingStrategy",9225000,2,1,1,True
"TfprPrefetchingStrategy",1094,0,0,0,True
"TfprPrefetchingStrategy",5094375,2,1,1,True
"TfprPrefetchingStrategy",2344,0,0,0,True
"TfprPrefetchingStrategy",1511,0,0,0,True
"TfprPrefetchingStrategy",1614,0,0,0,True
"TfprPrefetchingStrategy",9566771,2,1,1,True
"TfprPrefetchingStrategy",5745937,2,1,1,True
"TfprPrefetchingStrategy",1302,0,0,0,True
"TfprPrefetchingStrategy",823594,0,1,1,True
"TfprPrefetchingStrategy",817604,0,1,1,True
"TfprPrefetchingStrategy",1290417,0,1,1,True
"TfprPrefetchingStrategy",5457709,2,1,1,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",6551146,2,1,1,True
"TfprPrefetchingStrategy",1302,0,0,0,True
"TfprPrefetchingStrategy",1366980,0,1,1,True
"TfprPrefetchingStrategy",4799740,2,1,1,True
"TfprPrefetchingStrategy",2032,0,0,0,True
"TfprPrefetchingStrategy",6277917,2,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",5586823,2,1,1,True
"TfprPrefetchingStrategy",3973281,2,1,1,True
"TfprPrefetchingStrategy",2812,0,0,0,True
