datetime,cpu,mem
Thu Aug  6 02:12:42 GMT 2020,8.3,109567
Thu Aug  6 02:12:43 GMT 2020,8.3,110211
Thu Aug  6 02:12:43 GMT 2020,8.3,110255
Thu Aug  6 02:12:43 GMT 2020,8.3,116604
Thu Aug  6 02:12:44 GMT 2020,8.3,116916
Thu Aug  6 02:12:44 GMT 2020,8.3,116916
Thu Aug  6 02:12:45 GMT 2020,8.3,116916
Thu Aug  6 02:12:45 GMT 2020,8.3,116940
Thu Aug  6 02:12:46 GMT 2020,8.3,116940
Thu Aug  6 02:12:46 GMT 2020,8.3,116944
Thu Aug  6 02:12:46 GMT 2020,8.3,116944
Thu Aug  6 02:12:47 GMT 2020,8.3,116944
Thu Aug  6 02:12:47 GMT 2020,8.3,116944
Thu Aug  6 02:12:47 GMT 2020,8.3,97250
Thu Aug  6 02:12:48 GMT 2020,8.3,97239
Thu Aug  6 02:12:48 GMT 2020,8.3,98039
Thu Aug  6 02:12:48 GMT 2020,8.3,108357
Thu Aug  6 02:12:49 GMT 2020,22,109398
Thu Aug  6 02:12:49 GMT 2020,22,82737
Thu Aug  6 02:12:49 GMT 2020,22,101966
Thu Aug  6 02:12:50 GMT 2020,22,105346
Thu Aug  6 02:12:50 GMT 2020,22,106436
Thu Aug  6 02:12:51 GMT 2020,22,106201
Thu Aug  6 02:12:51 GMT 2020,22,106518
Thu Aug  6 02:12:51 GMT 2020,22,137814
Thu Aug  6 02:12:52 GMT 2020,22,138694
Thu Aug  6 02:12:52 GMT 2020,22,106727
Thu Aug  6 02:12:53 GMT 2020,22,106114
Thu Aug  6 02:12:53 GMT 2020,22,72876
Thu Aug  6 02:12:54 GMT 2020,22,72395
Thu Aug  6 02:12:54 GMT 2020,0,72243
Thu Aug  6 02:12:55 GMT 2020,0,72243
Thu Aug  6 02:12:55 GMT 2020,0,91165
Thu Aug  6 02:12:56 GMT 2020,0,112780
Thu Aug  6 02:12:56 GMT 2020,0,113946
Thu Aug  6 02:12:57 GMT 2020,0,116816
Thu Aug  6 02:12:57 GMT 2020,0,118117
Thu Aug  6 02:12:58 GMT 2020,0,117272
Thu Aug  6 02:12:58 GMT 2020,0,117292
Thu Aug  6 02:12:59 GMT 2020,0,117296
Thu Aug  6 02:13:00 GMT 2020,30,117281
Thu Aug  6 02:13:00 GMT 2020,30,117259
Thu Aug  6 02:13:01 GMT 2020,30,118086
Thu Aug  6 02:13:01 GMT 2020,30,111305
Thu Aug  6 02:13:02 GMT 2020,30,128815
Thu Aug  6 02:13:02 GMT 2020,30,128839
Thu Aug  6 02:13:03 GMT 2020,30,126791
Thu Aug  6 02:13:04 GMT 2020,30,126811
Thu Aug  6 02:13:04 GMT 2020,30,126815
Thu Aug  6 02:13:05 GMT 2020,30,126815
Thu Aug  6 02:13:06 GMT 2020,0.1,126758
Thu Aug  6 02:13:06 GMT 2020,0.1,92864
Thu Aug  6 02:13:07 GMT 2020,0.1,92468
Thu Aug  6 02:13:07 GMT 2020,0.1,109023
Thu Aug  6 02:13:08 GMT 2020,0.1,110180
Thu Aug  6 02:13:08 GMT 2020,0.1,123934
Thu Aug  6 02:13:09 GMT 2020,0.1,123986
Thu Aug  6 02:13:09 GMT 2020,0.1,123998
Thu Aug  6 02:13:10 GMT 2020,0.1,124002
Thu Aug  6 02:13:11 GMT 2020,0.1,124006
Thu Aug  6 02:13:11 GMT 2020,0.1,124006
Thu Aug  6 02:13:12 GMT 2020,0.1,124010
Thu Aug  6 02:13:12 GMT 2020,25,123916
Thu Aug  6 02:13:13 GMT 2020,25,90274
Thu Aug  6 02:13:13 GMT 2020,25,89614
Thu Aug  6 02:13:14 GMT 2020,25,89501
Thu Aug  6 02:13:14 GMT 2020,25,106772
Thu Aug  6 02:13:15 GMT 2020,25,123940
Thu Aug  6 02:13:15 GMT 2020,25,125648
Thu Aug  6 02:13:16 GMT 2020,25,125648
Thu Aug  6 02:13:16 GMT 2020,25,125656
Thu Aug  6 02:13:17 GMT 2020,25,125562
Thu Aug  6 02:13:18 GMT 2020,25,91720
Thu Aug  6 02:13:18 GMT 2020,25,91380
Thu Aug  6 02:13:19 GMT 2020,25,90520
Thu Aug  6 02:13:19 GMT 2020,0.1,125154
Thu Aug  6 02:13:20 GMT 2020,0.1,125618
Thu Aug  6 02:13:20 GMT 2020,0.1,125618
Thu Aug  6 02:13:21 GMT 2020,0.1,125618
Thu Aug  6 02:13:22 GMT 2020,0.1,125618
Thu Aug  6 02:13:22 GMT 2020,0.1,125622
Thu Aug  6 02:13:23 GMT 2020,0.1,125622
Thu Aug  6 02:13:23 GMT 2020,0.1,125602
Thu Aug  6 02:13:24 GMT 2020,0.1,90778
Thu Aug  6 02:13:24 GMT 2020,0.1,90270
Thu Aug  6 02:13:25 GMT 2020,0.1,90286
Thu Aug  6 02:13:25 GMT 2020,0.1,108488
Thu Aug  6 02:13:26 GMT 2020,0.1,129375
Thu Aug  6 02:13:27 GMT 2020,0.1,129876
Thu Aug  6 02:13:27 GMT 2020,0.1,129876
Thu Aug  6 02:13:28 GMT 2020,0.1,129876
Thu Aug  6 02:13:29 GMT 2020,0.1,129876
Thu Aug  6 02:13:30 GMT 2020,0.1,129012
Thu Aug  6 02:13:30 GMT 2020,0.1,128947
Thu Aug  6 02:13:31 GMT 2020,0.1,94308
Thu Aug  6 02:13:31 GMT 2020,0.1,93900
