RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",1823,0,0,0,True
1,"TfprPrefetchingStrategy",1771,0,0,0,True
1,"TfprPrefetchingStrategy",1250,0,0,0,True
1,"TfprPrefetchingStrategy",2448,0,0,0,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",1529948,0,1,1,True
1,"TfprPrefetchingStrategy",2188,0,0,0,True
1,"TfprPrefetchingStrategy",748542,0,1,1,True
1,"TfprPrefetchingStrategy",1074375,0,1,1,True
1,"TfprPrefetchingStrategy",990,0,0,0,True
1,"TfprPrefetchingStrategy",1563,0,0,0,True
1,"TfprPrefetchingStrategy",3363490,0,1,2,True
1,"TfprPrefetchingStrategy",1667,0,0,0,True
1,"TfprPrefetchingStrategy",1364218,0,1,2,True
1,"TfprPrefetchingStrategy",6459740,0,1,2,True
1,"TfprPrefetchingStrategy",1407,0,0,0,True
1,"TfprPrefetchingStrategy",1063802,0,1,2,True
1,"TfprPrefetchingStrategy",2813,0,0,0,True
1,"TfprPrefetchingStrategy",1648646,0,1,2,True
1,"TfprPrefetchingStrategy",1041,0,0,0,True
1,"TfprPrefetchingStrategy",1511,0,0,0,True
1,"TfprPrefetchingStrategy",3021,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",2753021,0,1,3,True
1,"TfprPrefetchingStrategy",1823,0,0,0,True
2,"TfprPrefetchingStrategy",1827083,0,1,3,True
2,"TfprPrefetchingStrategy",1458,0,0,0,True
2,"TfprPrefetchingStrategy",1615,0,0,0,True
2,"TfprPrefetchingStrategy",1823,0,0,0,True
2,"TfprPrefetchingStrategy",2500,0,0,0,True
2,"TfprPrefetchingStrategy",2187,0,0,0,True
2,"TfprPrefetchingStrategy",1459323,0,1,3,True
2,"TfprPrefetchingStrategy",1875,0,0,0,True
2,"TfprPrefetchingStrategy",2814218,0,1,3,True
2,"TfprPrefetchingStrategy",4925729,0,1,3,True
2,"TfprPrefetchingStrategy",1198,0,0,0,True
2,"TfprPrefetchingStrategy",1459,0,0,0,True
2,"TfprPrefetchingStrategy",3657187,0,1,3,True
2,"TfprPrefetchingStrategy",1771,0,0,0,True
2,"TfprPrefetchingStrategy",1623021,0,1,3,True
2,"TfprPrefetchingStrategy",1692500,0,1,3,True
2,"TfprPrefetchingStrategy",1928,0,0,0,True
2,"TfprPrefetchingStrategy",1527864,0,1,3,True
2,"TfprPrefetchingStrategy",3177,0,0,0,True
2,"TfprPrefetchingStrategy",4096250,0,1,3,True
2,"TfprPrefetchingStrategy",905260,0,0,1,True
2,"TfprPrefetchingStrategy",1406354,0,0,1,True
2,"TfprPrefetchingStrategy",4114,0,0,0,True
2,"TfprPrefetchingStrategy",4791,0,0,0,True
2,"TfprPrefetchingStrategy",1697864,0,1,3,True
2,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",2842344,0,1,3,True
3,"TfprPrefetchingStrategy",938,0,0,0,True
3,"TfprPrefetchingStrategy",2656,0,0,0,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
3,"TfprPrefetchingStrategy",1667,0,0,0,True
3,"TfprPrefetchingStrategy",1041,0,0,0,True
3,"TfprPrefetchingStrategy",1799114,0,1,3,True
3,"TfprPrefetchingStrategy",2865,0,0,0,True
3,"TfprPrefetchingStrategy",1278073,0,1,3,True
3,"TfprPrefetchingStrategy",2331979,0,1,3,True
3,"TfprPrefetchingStrategy",1562,0,0,0,True
3,"TfprPrefetchingStrategy",1459,0,0,0,True
3,"TfprPrefetchingStrategy",1959011,0,1,3,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",2862343,0,1,3,True
3,"TfprPrefetchingStrategy",1521770,0,1,3,True
3,"TfprPrefetchingStrategy",1458,0,0,0,True
3,"TfprPrefetchingStrategy",1366250,0,1,3,True
3,"TfprPrefetchingStrategy",1979,0,0,0,True
3,"TfprPrefetchingStrategy",2350938,0,1,3,True
3,"TfprPrefetchingStrategy",959584,0,0,1,True
3,"TfprPrefetchingStrategy",943073,0,0,1,True
3,"TfprPrefetchingStrategy",1563,0,0,0,True
3,"TfprPrefetchingStrategy",2031,0,0,0,True
3,"TfprPrefetchingStrategy",2970677,0,1,3,True
