Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,160097,2638212.227784731,758512.4455569462,758512.4455569462,30.221526908635795,1282648.5587301587,1282648.5587301587
2,159412,2579698.360779384,1048572.2341818234,1048572.2341818234,29.817598283240777,1428320.5689925351,1428320.5689925351
3,160520,2612448.18227216,953820.9831460674,953820.9831460674,30.97812659269546,1912417.0400500626,1912417.0400500626
4,160813,2467683.3345794394,373038.11339563865,373038.11339563865,30.70280373831776,595747.4348258707,595747.4348258707
5,160103,2489031.969962453,210585.21902377973,210585.21902377973,30.21151439299124,615201.4259597806,615201.4259597806
6,160223,2400525.7285803626,399593.2388993121,399593.2388993121,30.259062007563358,919351.926618705,919351.926618705
7,158800,2626085.5924290223,584652.6302839117,584652.6302839117,29.31501358357631,1362756.4985294119,1362756.4985294119
8,153501,2603171.216710183,2947141.8949086163,2943147.8949086163,25.235129679117044,2947141.8949086163,2943147.8949086163
9,159092,2589486.992443325,720129.1227959698,720129.1227959698,30.20088161209068,1170486.230296827,1170486.230296827
10,163566,2419957.4485294116,839198.4160539216,839198.4160539216,34.32861985173972,1624640.3499406881,1624640.3499406881
