Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
30,2358996,30,0,0,95,18
97,2358996,98,0,0,195,20
196,2359528,197,0,0,295,14
298,2360464,299,0,0,397,20
400,2360464,401,0,0,499,19
503,2359724,504,0,0,598,29
600,2360384,601,0,0,697,28
698,2360936,699,0,0,797,15
799,2361208,799,0,0,899,6
902,2360672,903,0,0,998,16
1000,2361420,1001,0,0,1099,0
1100,2361448,1101,0,0,1201,16
1203,2361448,1205,0,0,1302,13
1304,2360708,1306,0,0,1402,13
1404,2355228,1405,0,0,1501,25
1502,2356044,1502,0,0,1602,18
1603,2355716,1604,0,0,1704,18
1706,2354992,1707,0,0,1813,7
1817,2355148,1818,0,0,1903,15
1904,2356204,1905,0,0,2003,19
2004,2355900,2004,0,0,2106,22
2109,2355604,2111,0,0,2209,10
2212,2355456,2215,0,0,2305,17
2306,2355964,2307,0,0,2406,20
2407,2356496,2408,0,0,2507,17
2509,2356496,2510,0,0,2607,24
2609,2355728,2610,0,0,2707,7
2709,2355936,2710,0,0,2807,17
2808,2357004,2808,0,0,2910,19
2911,2357004,2912,0,0,3010,16
3012,2356588,3014,0,0,3112,3
3114,2356588,3116,0,0,3210,16
3211,2357296,3211,0,0,3310,17
3312,2357408,3313,0,0,3412,20
3414,2357792,3415,0,0,3513,7
3516,2356944,3518,0,0,3612,15
3613,2357428,3614,0,0,3711,31
3712,2356604,3713,0,0,3811,27
3812,2357376,3813,0,0,3912,23
3913,2356284,3914,0,0,4012,27
4013,2356288,4014,0,0,4113,30
4114,2357452,4114,0,0,4213,40
4214,2372256,4215,0,0,4313,34
4314,2371080,4315,0,0,4414,34
4415,2359068,4416,0,0,4514,40
4514,2357392,4515,0,0,4614,22
4615,2357720,4616,0,0,4715,15
4716,2352760,4716,0,0,4815,38
4816,2354436,4816,0,0,4915,32
4916,2355336,4916,0,0,5015,23
5016,2355784,5017,0,0,5116,28
5117,2356908,5117,0,0,5217,31
5217,2359336,5218,0,0,5317,40
5318,2359088,5318,0,0,5418,20
5418,2361496,5419,0,0,5518,40
5519,2358608,5519,0,0,5619,40
5619,2359604,5620,0,0,5719,30
5719,2359280,5720,0,0,5819,30
5820,2360108,5820,0,0,5919,38
5920,2363224,5920,0,0,6020,32
6020,2363344,6021,0,0,6120,42
6121,2362812,6121,0,0,6220,41
6221,2357452,6221,0,0,6321,41
6322,2358984,6322,0,0,6421,43
6422,2359084,6423,0,0,6522,22
6522,2359632,6523,0,0,6622,31
6623,2360932,6623,0,0,6722,29
6723,2363384,6723,0,0,6822,37
6823,2362804,6823,0,0,6923,25
6924,2359216,6924,0,0,7024,56
7025,2362840,7025,0,0,7124,56
7125,2379420,7125,0,0,7224,50
7225,2379756,7225,0,0,7325,31
7327,2380688,7327,0,0,7425,41
7426,2383184,7426,0,0,7526,40
7527,2381672,7527,0,0,7626,27
7627,2381736,7627,0,0,7727,28
7727,2377660,7728,0,0,7827,43
7827,2378940,7828,0,0,7927,42
7928,2379924,7928,0,0,8028,37
8028,2379924,8028,0,0,8129,0
8130,2381152,8131,0,0,8229,41
8229,2382800,8230,0,0,8330,34
8331,2382308,8331,0,0,8430,36
8431,2377840,8431,0,0,8530,41
8532,2377440,8532,0,0,8631,36
8632,2378312,8633,0,0,8731,55
8732,2379376,8733,0,0,8832,46
8833,2379352,8833,0,0,8932,42
8933,2379352,8934,0,0,9033,26
9035,2381376,9036,0,0,9133,36
9134,2382088,9135,0,0,9234,44
9235,2382440,9237,0,0,9334,57
9335,2378456,9336,0,0,9434,56
9435,2378372,9435,0,0,9536,37
9538,2378636,9539,0,0,9636,58
9637,2379944,9638,0,0,9738,50
9739,2380480,9740,0,0,9838,48
9839,2380480,9841,0,0,9938,50
9939,2381612,9940,0,0,10037,27
10038,2381288,10039,0,0,10137,38
10138,2367908,10139,0,0,10239,30
10240,2363120,10241,0,0,10338,42
10339,2363880,10340,0,0,10439,28
10440,2363992,10440,0,0,10539,24
10540,2365092,10540,0,0,10639,35
10640,2366448,10641,0,0,10740,39
10741,2366520,10742,0,0,10841,34
10841,2367856,10842,0,0,10941,27
10942,2368352,10942,0,0,11041,38
11041,2368780,11042,0,0,11143,0
11144,2363440,11145,0,0,11243,71
11244,2363960,11245,0,0,11345,65
11346,2364084,11346,0,0,11445,46
11446,2363988,11447,0,0,11546,43
11548,2363688,11549,0,0,11646,59
11647,2365128,11648,0,0,11747,55
11748,2365332,11748,0,0,11847,52
11848,2366112,11849,0,0,11948,45
11949,2366656,11949,0,0,12049,37
12050,2367220,12050,0,0,12149,0
12150,2368292,12150,0,0,12249,41
12250,2356016,12252,0,0,12349,40
12350,2355480,12350,0,0,12450,28
12451,2355928,12451,0,0,12551,36
12551,2357252,12552,0,0,12651,35
12652,2357440,12652,0,0,12751,35
12752,2358120,12753,0,0,12852,22
12853,2358168,12853,0,0,12952,51
12953,2358788,12954,0,0,13052,32
13053,2359780,13054,0,0,13153,29
13154,2355260,13154,0,0,13253,54
13254,2355452,13254,0,0,13354,31
13354,2356028,13355,0,0,13455,49
13455,2359820,13456,0,0,13554,52
13555,2359860,13555,0,0,13655,39
13656,2359572,13657,0,0,13755,34
13756,2359776,13757,0,0,13856,10
13857,2359740,13858,0,0,13956,37
13957,2360976,13958,0,0,14057,31
14058,2360680,14058,0,0,14157,34
14158,2360532,14159,1102842,1102842,14257,29
14258,2360532,14259,1102842,1102842,14358,23
14359,2357332,14360,1102842,1102842,14459,38
14460,2359548,14460,1102842,1102842,14559,53
14560,2360084,14560,1102842,1102842,14659,43
14660,2359564,14661,1102842,1102842,14761,53
14763,2359564,14765,1102842,1102842,14862,55
14864,2359416,14866,1102842,1102842,14962,34
14964,2358740,14965,1102842,1102842,15061,36
15062,2359896,15063,1102842,1102842,15162,32
15163,2363788,15163,1102842,1102842,15264,36
15266,2365560,15267,1102842,1102842,15363,37
15364,2376052,15365,1102842,1102842,15463,18
15465,2375864,15465,1102842,1102842,15564,8
15566,2375304,15567,1102842,1102842,15664,26
15665,2376020,15666,1102842,1102842,15766,20
15768,2376020,15769,1102842,1102842,15867,26
15869,2376172,15870,1102842,1102842,15969,22
15972,2376408,15974,1102842,1102842,16073,18
16075,2375668,16076,1102842,1102842,16169,5
16172,2375668,16174,1102842,1102842,16268,19
16270,2376780,16271,1102842,1102842,16368,18
16369,2377224,16369,1102842,1102842,16470,22
16472,2377224,16473,1102842,1102842,16572,22
16574,2377176,16575,1102842,1102842,16673,23
16677,2377328,16680,1102842,1102842,16772,21
16773,2376528,16774,1102842,1102842,16872,25
16873,2377360,16874,1102842,1102842,16972,41
16974,2377768,16974,1102842,1102842,17073,27
17074,2378016,17075,1102842,1102842,17173,20
17175,2378240,17176,1102842,1102842,17273,31
17275,2388156,17276,1102842,1102842,17374,22
17376,2394936,17377,1102842,1102842,17474,27
17476,2372636,17476,1102842,1102842,17576,23
17578,2372652,17579,1102842,1102842,17676,21
17678,2372580,17679,1102842,1102842,17778,20
17780,2372692,17781,1102842,1102842,17878,23
17880,2372692,17881,1102842,1102842,17978,8
17981,2371992,17982,1102842,1102842,18079,13
18081,2372180,18082,1102842,1102842,18180,33
18182,2372944,18183,1102842,1102842,18281,38
18283,2373688,18284,1102842,1102842,18380,40
18382,2373936,18383,1102842,1102842,18482,40
18484,2374928,18486,1102842,1102842,18585,27
18589,2374808,18591,1102842,1102842,18681,29
18683,2375840,18683,1102842,1102842,18782,36
18783,2377460,18783,1102842,1102842,18882,49
18883,2377556,18883,1102842,1102842,18982,25
18984,2377556,18984,1102842,1102842,19082,28
19084,2372672,19084,1102842,1102842,19183,50
19184,2369864,19185,1102842,1102842,19284,62
19285,2361500,19285,1102842,1102842,19386,68
19388,2364196,19389,1102842,1102842,19485,74
19486,2362664,19486,1102842,1102842,19586,61
19587,2362440,19588,1102842,1102842,19686,38
19687,2363372,19687,1102842,1102842,19787,17
19788,2364548,19789,1102842,1102842,19888,17
19888,2364752,19889,1102842,1102842,19988,32
19989,2365848,19989,1102842,1102842,20088,28
20090,2365848,20093,1102842,1102842,20189,30
20190,2365700,20192,1102842,1102842,20289,22
20290,2365948,20290,1102842,1102842,20391,18
20392,2365948,20393,1102842,1102842,20490,11
20491,2365652,20491,1102842,1102842,20591,13
20592,2365644,20592,1102842,1102842,20691,20
20692,2366296,20692,1102842,1102842,20795,21
