datetime,cpu,mem
Thu Aug  6 00:42:41 GMT 2020,10,56701
Thu Aug  6 00:42:42 GMT 2020,10,97095
Thu Aug  6 00:42:42 GMT 2020,10,97115
Thu Aug  6 00:42:43 GMT 2020,10,97143
Thu Aug  6 00:42:43 GMT 2020,10,106749
Thu Aug  6 00:42:43 GMT 2020,10,124045
Thu Aug  6 00:42:44 GMT 2020,10,134840
Thu Aug  6 00:42:44 GMT 2020,10,151659
Thu Aug  6 00:42:44 GMT 2020,10,151643
Thu Aug  6 00:42:45 GMT 2020,10,151645
Thu Aug  6 00:42:45 GMT 2020,10,151645
Thu Aug  6 00:42:46 GMT 2020,10,151649
Thu Aug  6 00:42:46 GMT 2020,10,151629
Thu Aug  6 00:42:46 GMT 2020,20,154489
Thu Aug  6 00:42:47 GMT 2020,20,155136
Thu Aug  6 00:42:47 GMT 2020,20,158091
Thu Aug  6 00:42:48 GMT 2020,20,158276
Thu Aug  6 00:42:48 GMT 2020,20,166530
Thu Aug  6 00:42:48 GMT 2020,20,166526
Thu Aug  6 00:42:49 GMT 2020,20,166526
Thu Aug  6 00:42:49 GMT 2020,20,166570
Thu Aug  6 00:42:50 GMT 2020,20,166570
Thu Aug  6 00:42:50 GMT 2020,20,166570
Thu Aug  6 00:42:51 GMT 2020,20,166570
Thu Aug  6 00:42:51 GMT 2020,20,166570
Thu Aug  6 00:42:51 GMT 2020,17,166578
Thu Aug  6 00:42:52 GMT 2020,17,166454
Thu Aug  6 00:42:52 GMT 2020,17,166474
Thu Aug  6 00:42:53 GMT 2020,17,166478
Thu Aug  6 00:42:53 GMT 2020,17,166482
Thu Aug  6 00:42:54 GMT 2020,17,166486
Thu Aug  6 00:42:54 GMT 2020,17,166486
Thu Aug  6 00:42:54 GMT 2020,17,166486
Thu Aug  6 00:42:55 GMT 2020,17,166422
Thu Aug  6 00:42:55 GMT 2020,17,200542
Thu Aug  6 00:42:55 GMT 2020,17,170975
Thu Aug  6 00:42:56 GMT 2020,17,172869
Thu Aug  6 00:42:56 GMT 2020,0,172921
Thu Aug  6 00:42:57 GMT 2020,0,172921
Thu Aug  6 00:42:57 GMT 2020,0,172813
Thu Aug  6 00:42:58 GMT 2020,0,172833
Thu Aug  6 00:42:58 GMT 2020,0,172837
Thu Aug  6 00:42:59 GMT 2020,0,172841
Thu Aug  6 00:42:59 GMT 2020,0,172845
Thu Aug  6 00:43:00 GMT 2020,0,172849
Thu Aug  6 00:43:00 GMT 2020,0,172845
Thu Aug  6 00:43:01 GMT 2020,0,172845
Thu Aug  6 00:43:01 GMT 2020,0,172845
Thu Aug  6 00:43:01 GMT 2020,16,172873
Thu Aug  6 00:43:02 GMT 2020,16,172896
Thu Aug  6 00:43:02 GMT 2020,16,172832
Thu Aug  6 00:43:03 GMT 2020,16,172848
Thu Aug  6 00:43:03 GMT 2020,16,172864
Thu Aug  6 00:43:04 GMT 2020,16,172868
Thu Aug  6 00:43:04 GMT 2020,16,172872
Thu Aug  6 00:43:05 GMT 2020,16,172876
Thu Aug  6 00:43:05 GMT 2020,16,172876
Thu Aug  6 00:43:06 GMT 2020,16,172876
Thu Aug  6 00:43:06 GMT 2020,16,172876
Thu Aug  6 00:43:06 GMT 2020,0,172876
Thu Aug  6 00:43:07 GMT 2020,0,172876
Thu Aug  6 00:43:07 GMT 2020,0,172875
Thu Aug  6 00:43:08 GMT 2020,0,172823
Thu Aug  6 00:43:08 GMT 2020,0,139576
Thu Aug  6 00:43:08 GMT 2020,0,139136
