STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1397500,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",564271,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",230104,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",39687,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",176042,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57344,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",186823,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43697,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",237813,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",244792,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66407,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",505833,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",357031,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60105,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",267083,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65156,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",53646,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50573,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",265209,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55885,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",253073,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",298750,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48541,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",199323,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49167,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",221823,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59844,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",282969,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85834,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",266042,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63698,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",382969,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",339948,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",35052,0,0,0,True
