Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
54,2391684,54,0,0,30,19
131,2391780,132,0,0,130,35
232,2392888,232,0,0,231,24
332,2392956,332,0,0,331,22
434,2392368,435,0,0,433,12
534,2393228,536,0,0,533,16
634,2393568,634,0,0,633,16
734,2393396,735,0,0,733,16
838,2393204,840,0,0,837,8
937,2394028,938,0,0,935,15
1037,2394544,1037,0,0,1035,21
1137,2394544,1137,0,0,1136,15
1241,2393976,1242,0,0,1239,7
1339,2390852,1339,0,0,1337,11
1442,2391400,1443,0,0,1440,15
1542,2391204,1543,0,0,1540,20
1645,2389540,1646,0,0,1642,2
1740,2387628,1741,0,0,1739,24
1842,2388232,1843,0,0,1840,13
1944,2388232,1945,0,0,1942,16
2047,2387448,2049,0,0,2044,7
2095,2387668,2097,0,0,2093,10
2193,2388316,2193,0,0,2192,18
2293,2388120,2293,0,0,2292,14
2396,2387328,2399,0,0,2394,8
2501,2387536,2502,0,0,2497,7
2595,2388408,2595,0,0,2593,17
2697,2388456,2698,0,0,2694,14
2800,2388044,2801,0,0,2798,17
2899,2388324,2900,0,0,2897,7
2998,2388656,3000,0,0,2996,16
3097,2388932,3097,0,0,3096,18
3200,2388540,3201,0,0,3198,13
3302,2388540,3304,0,0,3300,7
3398,2388828,3399,0,0,3397,15
3501,2389272,3502,0,0,3499,19
3602,2388148,3603,0,0,3600,13
3702,2387924,3703,0,0,3700,16
3800,2388188,3800,0,0,3799,28
3900,2388396,3901,0,0,3899,0
4003,2388548,4004,0,0,4001,30
4105,2389452,4107,0,0,4102,25
4202,2390072,4203,0,0,4201,31
4302,2392080,4302,0,0,4301,32
4401,2391796,4402,0,0,4401,28
4502,2393924,4502,0,0,4501,23
4602,2404384,4602,0,0,4601,32
4703,2403332,4703,0,0,4702,34
4803,2387036,4804,0,0,4802,28
4903,2387460,4903,0,0,4902,25
5006,2387460,5006,0,0,5004,19
5104,2393052,5105,0,0,5103,27
5206,2393056,5206,0,0,5205,7
5305,2394528,5306,0,0,5305,33
5405,2396152,5405,68392,68392,5404,34
5505,2396056,5506,68392,68392,5505,45
5606,2425892,5606,68392,68392,5605,18
5706,2428364,5707,68392,68392,5705,31
5808,2429208,5808,68392,68392,5807,28
5907,2429684,5908,68392,68392,5907,27
6010,2429788,6010,68392,68392,6008,19
6109,2430716,6110,68392,68392,6108,30
6210,2431388,6210,68392,68392,6208,23
6309,2430796,6310,68392,68392,6308,31
6410,2430056,6410,68392,68392,6409,22
6511,2430428,6511,68392,68392,6509,19
6611,2430488,6611,68392,68392,6610,20
6711,2427040,6712,68392,68392,6710,17
6812,2426448,6812,68392,68392,6811,16
6912,2426396,6912,68392,68392,6911,7
7013,2427092,7014,68392,68392,7012,16
7113,2426944,7114,68392,68392,7112,14
7214,2426648,7214,68392,68392,7213,17
7314,2426352,7314,68392,68392,7313,14
7415,2427748,7416,68392,68392,7414,25
7517,2427748,7517,68392,68392,7516,25
7616,2427532,7616,68392,68392,7615,17
7716,2427052,7717,68392,68392,7715,13
7817,2427160,7818,68392,68392,7816,14
7918,2428244,7918,68392,68392,7916,19
8017,2428244,8018,68392,68392,8016,19
8118,2428096,8119,68392,68392,8117,19
8219,2427352,8219,68392,68392,8218,5
8320,2428460,8320,68392,68392,8319,12
8420,2428756,8420,68392,68392,8419,18
8520,2428756,8521,68392,68392,8519,17
8621,2428020,8621,68392,68392,8620,16
8722,2427964,8723,68392,68392,8721,1
8822,2428424,8823,68392,68392,8821,23
8922,2428104,8923,68392,68392,8921,19
9023,2428104,9023,68392,68392,9022,16
9123,2427500,9124,68392,68392,9122,12
9224,2427500,9225,68392,68392,9223,10
9324,2428784,9325,68392,68392,9323,16
9425,2428636,9425,68392,68392,9423,18
9525,2428536,9526,68392,68392,9524,22
9626,2428048,9626,68392,68392,9625,11
9727,2428620,9727,68392,68392,9726,21
9827,2429056,9827,68392,68392,9826,18
9927,2429056,9928,68392,68392,9926,20
10028,2428020,10028,68392,68392,10027,18
10129,2428060,10129,68392,68392,10127,25
10229,2428208,10229,68392,68392,10227,27
10329,2428208,10329,68392,68392,10328,16
10430,2428028,10430,68392,68392,10428,19
10530,2428028,10530,68392,68392,10529,2
10631,2428344,10632,68392,68392,10630,20
10732,2428736,10732,68392,68392,10730,19
10832,2428912,10832,68392,68392,10831,20
10932,2428464,10933,68392,68392,10931,15
11034,2428728,11034,68392,68392,11032,8
11133,2429200,11134,68392,68392,11132,22
11234,2429200,11234,68392,68392,11232,18
11335,2429200,11335,68392,68392,11333,20
11435,2428460,11435,68392,68392,11434,6
11536,2429240,11537,68392,68392,11535,16
11636,2429308,11636,68392,68392,11635,18
11736,2429532,11737,68392,68392,11735,21
11838,2428792,11838,68392,68392,11836,10
11939,2429260,11940,68392,68392,11938,7
12039,2430072,12039,68392,68392,12038,24
12139,2430072,12139,68392,68392,12138,15
12240,2430072,12240,68392,68392,12238,17
12342,2429332,12342,68392,68392,12340,6
12441,2429732,12441,68392,68392,12440,19
12541,2430104,12541,68392,68392,12539,16
12642,2430060,12642,68392,68392,12640,18
12742,2429372,12743,68392,68392,12741,17
12844,2429528,12844,68392,68392,12842,9
12943,2430176,12944,68392,68392,12942,20
13044,2430056,13044,68392,68392,13043,14
13144,2430056,13145,68392,68392,13143,20
13245,2429612,13245,68392,68392,13243,14
13346,2429464,13347,68392,68392,13345,12
13446,2430400,13447,68392,68392,13445,20
13546,2430376,13547,68392,68392,13545,19
13647,2430312,13647,68392,68392,13646,21
13747,2429792,13748,68392,68392,13746,8
13848,2430548,13848,68392,68392,13847,16
13949,2430908,13949,68392,68392,13947,23
14048,2430908,14048,68392,68392,14047,33
14148,2431388,14149,68392,68392,14147,40
14249,2432108,14250,68392,68392,14248,25
14349,2432488,14349,68392,68392,14348,28
14450,2432340,14450,68392,68392,14449,19
14550,2431600,14551,68392,68392,14549,8
14651,2432900,14652,68392,68392,14650,28
14751,2433848,14751,68392,68392,14750,32
14851,2434096,14852,68392,68392,14850,29
14952,2434248,14953,68392,68392,14951,26
15053,2435964,15053,68392,68392,15051,23
15153,2435932,15153,68392,68392,15152,43
15253,2438740,15253,68392,68392,15252,35
15353,2434196,15354,68392,68392,15352,13
15454,2434048,15455,68392,68392,15452,1
15554,2437924,15554,68392,68392,15553,35
15654,2440716,15655,68392,68392,15653,41
15755,2442140,15755,68392,68392,15753,47
15856,2444568,15856,68392,68392,15854,38
15956,2450796,15956,68392,68392,15954,62
16055,2420424,16056,68392,68392,16055,55
16156,2426640,16156,68392,68392,16155,70
16256,2428436,16256,68392,68392,16255,42
16356,2470632,16356,68392,68392,16356,32
16456,2521800,16457,68392,68392,16456,33
16557,2522724,16558,68392,68392,16556,35
16658,2522780,16659,68392,68392,16657,35
16758,2522900,16759,68392,68392,16757,29
16859,2522208,16859,68392,68392,16858,0
16960,2521900,16960,68392,68392,16959,29
17060,2523456,17061,68392,68392,17059,43
17160,2524200,17160,68392,68392,17159,33
17261,2523756,17261,68392,68392,17260,50
17362,2523756,17363,68392,68392,17361,39
17462,2523080,17463,68392,68392,17462,32
17563,2523296,17564,68392,68392,17563,28
17663,2523848,17664,68392,68392,17663,32
17764,2523836,17765,68392,68392,17763,35
17864,2523688,17865,68392,68392,17863,36
17965,2523940,17965,68392,68392,17964,31
18065,2523052,18065,68392,68392,18064,29
18167,2517756,18168,68392,68392,18166,33
18266,2518416,18267,68392,68392,18266,32
18367,2518416,18367,68392,68392,18366,34
18467,2518428,18468,68392,68392,18466,40
18568,2518460,18568,68392,68392,18567,40
18668,2517788,18668,68392,68392,18667,32
18768,2517968,18769,1696848,1696848,18768,25
18872,2517108,18873,1696848,1696848,18870,0
18971,2517108,18972,1696848,1696848,18969,60
19072,2516732,19072,1696848,1696848,19069,56
19171,2516732,19172,1696848,1696848,19170,59
19272,2516732,19272,1696848,1696848,19270,53
19372,2516732,19373,1696848,1696848,19371,52
19474,2515696,19475,1696848,1696848,19472,39
19573,2516280,19574,1696848,1696848,19572,62
19675,2516540,19676,1696848,1696848,19673,52
19774,2516736,19775,1696848,1696848,19772,58
19875,2516736,19876,1696848,1696848,19873,60
19977,2516588,19979,1696848,1696848,19974,58
20077,2516588,20078,1696848,1696848,20075,63
20177,2516440,20178,1696848,1696848,20175,57
20278,2516588,20280,1696848,1696848,20276,35
20378,2516920,20379,1696848,1696848,20376,56
20478,2517088,20479,1696848,1696848,20476,51
20580,2517088,20581,1696848,1696848,20577,51
20679,2517088,20680,1696848,1696848,20677,59
20781,2517336,20782,1696848,1696848,20778,55
20881,2517392,20882,1696848,1696848,20879,50
20983,2516800,20984,1696848,1696848,20979,28
21084,2517040,21085,1696848,1696848,21081,52
21181,2516920,21182,1696848,1696848,21180,58
21284,2517112,21285,1696848,1696848,21282,55
21384,2447256,21385,1696848,1696848,21383,65
21483,2447108,21484,1696848,1696848,21482,52
21586,2447180,21586,1696848,1696848,21584,52
21684,2446444,21684,1696848,1696848,21683,43
21787,2446896,21788,1696848,1696848,21785,45
21885,2446868,21886,1696848,1696848,21884,62
21985,2447108,21986,1696848,1696848,21984,50
22086,2447108,22086,1696848,1696848,22085,56
22186,2447108,22187,1696848,1696848,22185,53
22288,2446960,22288,1696848,1696848,22286,61
22387,2446736,22388,1696848,1696848,22386,45
22489,2446904,22489,1696848,1696848,22487,42
22589,2447180,22589,1696848,1696848,22588,58
22690,2447184,22691,1696848,1696848,22688,51
22791,2447232,22792,1696848,1696848,22789,63
22891,2447296,22891,1696848,1696848,22889,55
22991,2447296,22992,1696848,1696848,22990,63
23092,2447148,23093,1696848,1696848,23091,53
23193,2447148,23194,1696848,1696848,23191,30
23293,2446984,23293,1696848,1696848,23291,60
23393,2447408,23394,1696848,1696848,23392,57
23494,2447588,23494,1696848,1696848,23492,61
23595,2447276,23596,1696848,1696848,23593,60
23695,2447188,23695,1696848,1696848,23693,51
23796,2447188,23797,1696848,1696848,23794,55
23897,2447040,23898,1696848,1696848,23895,45
23996,2447636,23996,1696848,1696848,23994,60
24097,2447960,24097,1696848,1696848,24095,35
24197,2448156,24198,1696848,1696848,24196,35
24298,2448008,24298,1696848,1696848,24296,28
24398,2448092,24399,1696848,1696848,24397,25
24499,2447944,24499,1696848,1696848,24497,28
24549,2447796,24550,1696848,1696848,24547,5
24652,2447772,24653,1696848,1696848,24648,20
24750,2448052,24750,1696848,1696848,24748,30
24851,2448052,24851,1696848,1696848,24849,28
24951,2448272,24951,1696848,1696848,24949,32
25051,2448272,25052,1696848,1696848,25049,31
25151,2448272,25152,1696848,1696848,25150,28
25252,2447828,25252,1696848,1696848,25250,18
25354,2447828,25355,1696848,1696848,25352,13
25453,2448648,25454,1696848,1696848,25451,31
25553,2448648,25554,1696848,1696848,25552,35
25654,2448748,25654,1696848,1696848,25652,30
25754,2448716,25755,1696848,1696848,25753,29
25855,2448816,25855,1696848,1696848,25853,31
25955,2448520,25956,1696848,1696848,25953,22
26057,2448636,26058,1696848,1696848,26055,15
26157,2449124,26157,1696848,1696848,26155,33
26257,2449124,26257,1696848,1696848,26255,28
26357,2449320,26358,1696848,1696848,26356,35
