STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",1866823,0,2,2,True
"TfprPrefetchingStrategy",962396,0,1,1,True
"TfprPrefetchingStrategy",1317031,0,1,1,True
"TfprPrefetchingStrategy",1823,0,0,0,True
"TfprPrefetchingStrategy",1289219,0,1,1,True
"TfprPrefetchingStrategy",1407,0,0,0,True
"TfprPrefetchingStrategy",1244166,0,2,2,True
"TfprPrefetchingStrategy",868542,0,1,1,True
"TfprPrefetchingStrategy",1050781,0,1,1,True
"TfprPrefetchingStrategy",1406,0,0,0,True
"TfprPrefetchingStrategy",1160000,0,2,2,True
"TfprPrefetchingStrategy",744792,0,1,1,True
"TfprPrefetchingStrategy",1381354,0,1,1,True
"TfprPrefetchingStrategy",2343,0,0,0,True
"TfprPrefetchingStrategy",1010834,0,1,1,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",1204479,0,2,2,True
"TfprPrefetchingStrategy",901718,0,1,1,True
"TfprPrefetchingStrategy",930937,0,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
