Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
1,145780,2660846.1580756013,405677.0199312715,405677.0199312715,32.628865979381445,948971.1639871383,948971.1639871383
2,146675,2615054.087431694,560481.8258196721,560481.8258196721,33.09226070500761,828833.7303030303,828833.7303030303
3,145275,2558147.5779310344,426599.72827586206,426599.72827586206,32.2649950059453,1347646.20043573,1347646.20043573
4,145173,2543996.5521049,717600.5555555555,717600.5555555555,31.238935397725566,1355675.625814863,1355675.625814863
5,144041,2660094.3393602227,632340.1961057023,632340.1961057023,29.922809457579973,1712439.175141243,1712439.175141243
6,143845,2596679.8913649027,824429.1155988858,824429.1155988858,29.985376044568245,1615116.2482946794,1615116.2482946794
7,145374,2677733.5988973123,710113.5037904893,709778.300482426,32.26619157110688,1241415.2939759037,1240829.2939759037
8,147688,2656636.352781547,798923.8995929444,691674.789687924,35.44261776721426,878816.2895522388,760842.2686567164
9,147887,2602919.190304125,231191.3340108401,227336.46951219512,37.32879642482062,231191.3340108401,227336.46951219512
10,148097,2642533.0419485793,1060908.155615697,1060908.155615697,36.78332777900868,1580667.5947580645,1580667.5947580645
