Treatment,Subject,App package,Run number,cpu,mem
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,6.807589285714286,241313.98660714287
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,28.0,235539.66826923078
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,38.51626794258376,236947.11483253588
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,50.798974358974355,244565.58974358975
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,29.205050505050508,247745.5909090909
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,22.0,245591.50256410256
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,7.099999999999952,165678.47922437673
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,20.146107784431138,165362.06886227545
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,20.495575221238937,164322.21828908555
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,1,20.145508982035924,165832.41616766466
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,2,29.017964071856298,164681.5239520958
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,3,17.18452380952381,164980.79464285713
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,1,85.0,156904.77064220182
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,2,0.9000000000000012,157461.54545454544
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,3,22.0,158125.62037037036
baseline,baseline.com.newsblur,com.newsblur,1,16.309734513274336,177715.45575221238
baseline,baseline.com.newsblur,com.newsblur,2,31.38131868131871,175922.4945054945
baseline,baseline.com.newsblur,com.newsblur,3,8.723333333333333,176701.25
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,1,18.367251461988307,162478.0994152047
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,2,18.726392961876833,162238.77126099708
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,3,0.0,162647.51488095237
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,0.9000000000000038,163220.86590038316
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,14.224621212121196,162846.14393939395
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,21.629213483146067,163172.41947565542
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,21.583941605839417,155710.48540145985
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,28.0,154683.9885496183
baseline,baseline.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,3,22.58686131386862,155224.1094890511
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,1,21.40421052631576,332893.6736842105
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,2,20.099999999999973,337922.4157894737
nappagreedy,nappagreedy.io.github.project_travel_mate,io.github.project_travel_mate,3,0.0,339537.10101010103
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,1,32.20098039215685,174725.92156862744
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,2,85.0,175722.38383838383
nappatfpr,nappatfpr.com.ak.uobtimetable,com.ak.uobtimetable,3,4.300000000000008,176113.5922330097
nappatfpr,nappatfpr.com.newsblur,com.newsblur,1,0.0,177622.93846153846
nappatfpr,nappatfpr.com.newsblur,com.newsblur,2,0.9000000000000029,176105.02339181287
