Treatment,Subject,App package,Run number,Duration [ms],Memory Usage [KB],Battery Power [uW] (Raw),Battery Power [uW] (Delta),CPU Load [%],Battery Power [uW] (Raw) (Non zero),Battery Power [uW] (Delta) (Non zero)
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,176994,2513230.629671574,526055.0441676105,526055.0441676105,47.783554083743645,882253.7587844254,882253.7587844254
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,181042,2607923.5786956823,1389897.8256096868,0.0,58.02493074792244,1393758.6529030472,0.0
baseline,baseline.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,179640,2506952.535714286,1865954.178013393,1865954.178013393,55.11723576759805,2162865.3861578265,2162865.3861578265
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,1,181169,2516033.399003874,873389.260653016,873389.260653016,58.884892086330936,1070701.7598371778,1070701.7598371778
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,2,180493,2510536.053333333,342175.17,342175.17,56.50359567901234,495906.04347826086,495906.04347826086
nappagreedy,nappagreedy.io.github.hidroh.materialistic,io.github.hidroh.materialistic,3,180075,2542616.122494432,318984.5579064588,318984.5579064588,57.577140924400176,922538.2705314009,922538.2705314009
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,1,152535,2585208.0893561104,555726.7036793693,555081.7036793693,16.11760840998686,555726.7036793693,555081.7036793693
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,2,162497,2602420.411837238,755863.1220715167,755863.1220715167,22.44451294697904,797664.2706571242,797664.2706571242
nappatfpr,nappatfpr.appteam.nith.hillffair,appteam.nith.hillffair,3,160078,2508373.8309329995,1344575.1734502192,1344575.1734502192,20.944270507201,1952078.6836363636,1952078.6836363636
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,1,162130,2657882.4622991346,1358192.564276885,1358192.564276885,22.06801878129388,1430700.240234375,1430700.240234375
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,2,161995,2690394.869511441,361615.86827458255,361615.86827458255,22.03402622644605,416773.2423378475,416773.2423378475
nappagreedy,nappagreedy.appteam.nith.hillffair,appteam.nith.hillffair,3,161523,2556431.935483871,623991.5763027295,623991.5763027295,22.094342831985912,1079264.4002145922,1079264.4002145922
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,1,67850,2674014.932153392,402803.110619469,402803.110619469,32.73257281088748,1306701.0,1306701.0
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,2,67891,2655782.4660766963,937157.3716814159,937157.3716814159,33.07227138643068,971548.4678899082,971548.4678899082
baseline,baseline.com.ak.uobtimetable,com.ak.uobtimetable,3,67802,2432162.008862629,208327.97636632202,208327.97636632202,31.82833292242036,723272.0,723272.0
baseline,baseline.com.newsblur,com.newsblur,1,110585,2351253.822463768,810422.4682971014,806429.4682971014,21.348123916981727,810422.4682971014,806429.4682971014
baseline,baseline.com.newsblur,com.newsblur,2,113316,2639735.4553492484,810607.2210433244,810607.2210433244,29.285817813394875,997602.57562568,997602.57562568
baseline,baseline.com.newsblur,com.newsblur,3,113118,2381255.9220549157,906974.3622674934,906974.3622674934,29.787210673436675,1568107.2817764166,1568107.2817764166
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,1,161829,2450211.452631579,711433.7789473684,711433.7789473684,21.75773639160732,1847211.5,1847211.5
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,2,161864,2700486.495049505,253760.69306930693,253760.69306930693,22.141167992108613,513238.14768460573,513238.14768460573
baseline,baseline.appteam.nith.hillffair,appteam.nith.hillffair,3,162518,2455326.9272503085,831134.5887792849,831134.5887792849,22.3386713363265,1084553.7433628319,1084553.7433628319
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,1,154664,2574592.784974093,1527403.1554404146,1527403.1554404146,29.985103626943005,1898800.7020933977,1898800.7020933977
nappagreedy,nappagreedy.de.danoeh.antennapod.debug,de.danoeh.antennapod.debug,2,154568,2532729.913156189,1314065.4018146468,1314065.4018146468,29.521062864549577,1383085.2080491132,1383085.2080491132
