TREATMENT,SUBJECT_NAME,APP_PACKAGE,RUN_NUMBER,F1_SCORE_1,F1_SCORE_2,TRUE_POSITIVE,FALSE_POSITIVE,FALSE_NEGATIVE
nappagreedy,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappagreedy,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,2,0.5,0.5,3,0,6
nappagreedy,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappagreedy,Materialistic,io.github.hidroh.materialistic,1,0.012903225806451613,0.012903225806451613,2,0,306
nappagreedy,Materialistic,io.github.hidroh.materialistic,2,0.011834319526627219,0.011834319526627219,2,0,334
nappagreedy,Materialistic,io.github.hidroh.materialistic,3,0.012195121951219513,0.012195121951219513,2,0,324
nappagreedy,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappagreedy,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,100
nappatfpr,UOB TimeTable,com.ak.uobtimetable,1,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,2,0.0,0.0,0,0,3
nappatfpr,UOB TimeTable,com.ak.uobtimetable,3,0.0,0.0,0,0,3
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,1,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,2,0.5,0.5,3,0,6
nappatfpr,AntennaPod,de.danoeh.antennapod.debug,3,0.5,0.5,3,0,6
nappatfpr,Materialistic,io.github.hidroh.materialistic,1,0.012779552715654953,0.012779552715654952,2,0,309
nappatfpr,Materialistic,io.github.hidroh.materialistic,2,0.012084592145015106,0.012084592145015106,2,0,327
nappatfpr,Materialistic,io.github.hidroh.materialistic,3,0.011730205278592374,0.011730205278592375,2,0,337
nappatfpr,RedReader,org.quantumbadger.redreader,1,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,2,0.0,0.0,0,0,100
nappatfpr,RedReader,org.quantumbadger.redreader,3,0.0,0.0,0,0,100
nappagreedy,Hillffair,appteam.nith.hillffair,1,0.3636363636363636,0.36363636363636365,2,0,7
nappagreedy,Hillffair,appteam.nith.hillffair,2,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,Hillffair,appteam.nith.hillffair,3,0.36363636363636365,0.36363636363636365,2,1,6
nappagreedy,NewsBlur,com.newsblur,1,0.0,0.0,0,0,15
nappagreedy,NewsBlur,com.newsblur,2,0.0,0.0,0,0,14
nappagreedy,NewsBlur,com.newsblur,3,0.0,0.0,0,0,14
nappagreedy,Travel Mate,io.github.project_travel_mate,1,0.0,0.0,0,0,8
nappagreedy,Travel Mate,io.github.project_travel_mate,2,0.0,0.0,0,0,9
nappagreedy,Travel Mate,io.github.project_travel_mate,3,0.0,0.0,0,0,9
nappatfpr,Hillffair,appteam.nith.hillffair,1,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,Hillffair,appteam.nith.hillffair,2,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,Hillffair,appteam.nith.hillffair,3,0.36363636363636365,0.36363636363636365,2,1,6
nappatfpr,NewsBlur,com.newsblur,1,0.0,0.0,0,0,15
nappatfpr,NewsBlur,com.newsblur,2,0.0,0.0,0,0,14
nappatfpr,NewsBlur,com.newsblur,3,0.0,0.0,0,0,14
nappatfpr,Travel Mate,io.github.project_travel_mate,1,0.0,0.0,0,0,8
nappatfpr,Travel Mate,io.github.project_travel_mate,2,0.0,0.0,0,0,9
nappatfpr,Travel Mate,io.github.project_travel_mate,3,0.0,0.0,0,0,9
