datetime,cpu,mem
Mon Aug  3 17:32:33 GMT 2020,9.9,112465
Mon Aug  3 17:32:34 GMT 2020,9.9,131169
Mon Aug  3 17:32:34 GMT 2020,9.9,148022
Mon Aug  3 17:32:35 GMT 2020,9.9,148002
Mon Aug  3 17:32:35 GMT 2020,9.9,148002
Mon Aug  3 17:32:35 GMT 2020,9.9,148040
Mon Aug  3 17:32:36 GMT 2020,9.9,148040
Mon Aug  3 17:32:36 GMT 2020,9.9,148036
Mon Aug  3 17:32:36 GMT 2020,9.9,148036
Mon Aug  3 17:32:37 GMT 2020,9.9,147320
Mon Aug  3 17:32:37 GMT 2020,9.9,147336
Mon Aug  3 17:32:38 GMT 2020,9.9,147518
Mon Aug  3 17:32:38 GMT 2020,9.9,147537
Mon Aug  3 17:32:38 GMT 2020,18,183681
Mon Aug  3 17:32:39 GMT 2020,18,151079
Mon Aug  3 17:32:39 GMT 2020,18,153024
Mon Aug  3 17:32:39 GMT 2020,18,153191
Mon Aug  3 17:32:40 GMT 2020,18,161513
Mon Aug  3 17:32:40 GMT 2020,18,161505
Mon Aug  3 17:32:40 GMT 2020,18,161549
Mon Aug  3 17:32:41 GMT 2020,18,161549
Mon Aug  3 17:32:41 GMT 2020,18,161549
Mon Aug  3 17:32:42 GMT 2020,18,161549
Mon Aug  3 17:32:42 GMT 2020,18,161365
Mon Aug  3 17:32:43 GMT 2020,18,161385
Mon Aug  3 17:32:43 GMT 2020,18,161389
Mon Aug  3 17:32:43 GMT 2020,0,161393
Mon Aug  3 17:32:44 GMT 2020,0,161397
Mon Aug  3 17:32:44 GMT 2020,0,161397
Mon Aug  3 17:32:45 GMT 2020,0,161397
Mon Aug  3 17:32:45 GMT 2020,0,161397
Mon Aug  3 17:32:46 GMT 2020,0,161397
Mon Aug  3 17:32:46 GMT 2020,0,161397
Mon Aug  3 17:32:47 GMT 2020,0,161397
Mon Aug  3 17:32:47 GMT 2020,0,161511
Mon Aug  3 17:32:47 GMT 2020,0,165262
Mon Aug  3 17:32:48 GMT 2020,0,167052
Mon Aug  3 17:32:48 GMT 2020,0,167317
Mon Aug  3 17:32:48 GMT 2020,18,167317
Mon Aug  3 17:32:49 GMT 2020,18,167317
Mon Aug  3 17:32:49 GMT 2020,18,167317
Mon Aug  3 17:32:50 GMT 2020,18,167317
Mon Aug  3 17:32:50 GMT 2020,18,167317
Mon Aug  3 17:32:51 GMT 2020,18,167317
Mon Aug  3 17:32:51 GMT 2020,18,167317
Mon Aug  3 17:32:51 GMT 2020,18,167301
Mon Aug  3 17:32:52 GMT 2020,18,167305
Mon Aug  3 17:32:52 GMT 2020,18,167169
Mon Aug  3 17:32:53 GMT 2020,18,167254
Mon Aug  3 17:32:53 GMT 2020,16,167278
Mon Aug  3 17:32:54 GMT 2020,16,167282
Mon Aug  3 17:32:54 GMT 2020,16,167286
Mon Aug  3 17:32:55 GMT 2020,16,167286
Mon Aug  3 17:32:55 GMT 2020,16,167286
Mon Aug  3 17:32:55 GMT 2020,16,167286
Mon Aug  3 17:32:56 GMT 2020,16,167286
Mon Aug  3 17:32:56 GMT 2020,16,167286
Mon Aug  3 17:32:57 GMT 2020,16,167286
Mon Aug  3 17:32:57 GMT 2020,16,167286
Mon Aug  3 17:32:58 GMT 2020,16,167226
Mon Aug  3 17:32:58 GMT 2020,16,167242
Mon Aug  3 17:32:59 GMT 2020,17,167246
Mon Aug  3 17:32:59 GMT 2020,17,167250
Mon Aug  3 17:33:00 GMT 2020,17,167244
Mon Aug  3 17:33:00 GMT 2020,17,134152
Mon Aug  3 17:33:00 GMT 2020,17,133724
Mon Aug  3 17:33:01 GMT 2020,17,133724
Mon Aug  3 17:33:01 GMT 2020,17,133723
Mon Aug  3 17:33:01 GMT 2020,17,183653
Mon Aug  3 17:33:02 GMT 2020,17,167392
Mon Aug  3 17:33:02 GMT 2020,17,168359
Mon Aug  3 17:33:03 GMT 2020,17,168227
Mon Aug  3 17:33:03 GMT 2020,17,168247
Mon Aug  3 17:33:03 GMT 2020,21,168263
Mon Aug  3 17:33:04 GMT 2020,21,168263
Mon Aug  3 17:33:04 GMT 2020,21,168267
Mon Aug  3 17:33:05 GMT 2020,21,168267
Mon Aug  3 17:33:05 GMT 2020,21,168267
Mon Aug  3 17:33:06 GMT 2020,21,168263
Mon Aug  3 17:33:06 GMT 2020,21,168187
Mon Aug  3 17:33:07 GMT 2020,21,134754
Mon Aug  3 17:33:07 GMT 2020,21,134294
Mon Aug  3 17:33:07 GMT 2020,21,134294
Mon Aug  3 17:33:08 GMT 2020,21,134237
Mon Aug  3 17:33:08 GMT 2020,21,150977
Mon Aug  3 17:33:09 GMT 2020,20,168306
Mon Aug  3 17:33:09 GMT 2020,20,168828
Mon Aug  3 17:33:09 GMT 2020,20,168828
Mon Aug  3 17:33:10 GMT 2020,20,168828
Mon Aug  3 17:33:10 GMT 2020,20,168828
Mon Aug  3 17:33:11 GMT 2020,20,168757
