Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
26,2397752,27,2030197,2030197,82,30
83,2398880,84,2030197,2030197,183,20
184,2399628,184,2030197,2030197,283,13
284,2399468,284,2030197,2030197,387,1
390,2399264,391,2030197,2030197,484,20
485,2399976,486,2030197,2030197,585,13
586,2400520,587,2030197,2030197,685,20
686,2399840,686,2030197,2030197,786,1
787,2399644,788,2030197,2030197,886,18
887,2400676,887,2030197,2030197,987,18
988,2401224,988,2030197,2030197,1088,14
1090,2398348,1091,2030197,2030197,1189,9
1191,2398188,1193,2030197,2030197,1288,16
1289,2397928,1289,2030197,2030197,1389,14
1390,2398240,1391,2030197,2030197,1491,14
1493,2397016,1494,2030197,2030197,1591,6
1593,2397228,1595,2030197,2030197,1690,17
1691,2397788,1691,2030197,2030197,1791,15
1793,2397788,1793,2030197,2030197,1893,12
1895,2397000,1896,2030197,2030197,1993,8
1995,2397540,1996,2030197,2030197,2092,18
2093,2398064,2094,2030197,2030197,2193,13
2194,2398064,2194,2030197,2030197,2295,16
2296,2397280,2297,2030197,2030197,2397,3
2399,2397128,2400,2030197,2030197,2496,21
2498,2398040,2499,2030197,2030197,2597,15
2599,2398040,2600,2030197,2030197,2699,17
2701,2397452,2703,2030197,2030197,2801,6
2804,2397452,2806,2030197,2030197,2897,16
2898,2398332,2899,2030197,2030197,2998,20
3000,2404804,3000,2030197,2030197,3098,21
3099,2409864,3100,2030197,2030197,3199,17
3200,2417824,3200,2030197,2030197,3299,17
3300,2398056,3301,2030197,2030197,3401,15
3403,2398252,3404,2030197,2030197,3502,7
3503,2397232,3504,2030197,2030197,3602,15
3603,2397504,3604,2030197,2030197,3701,29
3701,2398416,3702,2030197,2030197,3803,23
3805,2399120,3806,2030197,2030197,3904,20
3906,2400152,3907,2030197,2030197,4002,30
4003,2401352,4004,2030197,2030197,4102,30
4102,2403120,4103,2030197,2030197,4202,20
4203,2404108,4203,2030197,2030197,4303,17
4303,2399192,4304,2030197,2030197,4403,24
4404,2400260,4404,2030197,2030197,4503,0
4504,2399448,4504,2030197,2030197,4605,21
4606,2399004,4607,2030197,2030197,4705,25
4706,2400284,4706,2030197,2030197,4805,28
4806,2400632,4806,2030197,2030197,4905,35
4906,2401276,4906,2030197,2030197,5005,5
5006,2400480,5007,2030197,2030197,5106,14
5107,2400852,5108,2030197,2030197,5207,23
5208,2401080,5209,2030197,2030197,5306,25
5307,2401312,5308,2030197,2030197,5407,21
5408,2404088,5409,2030197,2030197,5507,58
5508,2408520,5509,2030197,2030197,5608,20
5609,2409708,5609,2030197,2030197,5708,21
5709,2409988,5709,2030197,2030197,5809,1
5810,2409988,5811,2030197,2030197,5910,16
5911,2410708,5911,2030197,2030197,6009,18
6010,2410696,6010,2030197,2030197,6110,14
6111,2410764,6111,2030197,2030197,6210,11
6211,2410108,6211,2030197,2030197,6311,8
6312,2410264,6313,2030197,2030197,6411,14
6412,2410832,6413,2030197,2030197,6514,17
6516,2410832,6517,2030197,2030197,6613,17
6613,2410088,6614,2030197,2030197,6713,11
6714,2408608,6714,2030197,2030197,6814,20
6814,2408972,6815,2030197,2030197,6914,17
6915,2409168,6915,2030197,2030197,7014,16
7015,2409108,7015,2030197,2030197,7115,11
7116,2408520,7116,2030197,2030197,7217,12
7218,2408596,7218,2030197,2030197,7317,18
7318,2409472,7318,2030197,2030197,7418,18
7418,2409472,7419,2030197,2030197,7518,12
7519,2409020,7519,2030197,2030197,7619,5
7620,2409052,7621,2030197,2030197,7720,15
7721,2409756,7721,2030197,2030197,7820,16
7820,2409756,7821,2030197,2030197,7920,15
7921,2409016,7921,2030197,2030197,8021,2
8021,2408832,8022,2030197,2030197,8122,18
8122,2409072,8123,2030197,2030197,8222,16
8223,2409272,8223,2030197,2030197,8322,17
8323,2409272,8323,2030197,2030197,8423,7
8424,2408520,8425,2030197,2030197,8524,13
8524,2408648,8525,2030197,2030197,8624,16
8625,2409164,8625,2030197,2030197,8724,17
8725,2409164,8725,2030197,2030197,8825,12
8826,2408572,8826,2030197,2030197,8926,7
8926,2408652,8927,2030197,2030197,9027,20
9028,2408752,9028,2030197,2030197,9127,20
9128,2409300,9129,2030197,2030197,9227,18
9228,2409396,9229,2030197,2030197,9328,6
9329,2408780,9329,2030197,2030197,9428,11
9429,2408788,9429,2030197,2030197,9529,17
9530,2409488,9531,2030197,2030197,9630,14
9631,2409488,9631,2030197,2030197,9730,20
9731,2409488,9731,2030197,2030197,9830,4
9831,2408452,9831,2030197,2030197,9931,20
9932,2409564,9933,2030197,2030197,10031,14
10032,2409564,10032,2030197,2030197,10132,18
10132,2409784,10133,2030197,2030197,10233,10
10234,2408804,10234,2030197,2030197,10334,11
10335,2409168,10335,2030197,2030197,10434,17
10434,2409772,10435,2030197,2030197,10534,15
10535,2409772,10536,2030197,2030197,10634,17
10635,2409772,10636,2030197,2030197,10735,4
10737,2408736,10737,2030197,2030197,10837,16
10838,2409392,10838,2030197,2030197,10937,20
10938,2409864,10938,2030197,2030197,11037,16
11038,2409844,11038,2030197,2030197,11138,13
11139,2409460,11139,2030197,2030197,11240,4
11241,2409512,11241,2030197,2030197,11339,15
11340,2409940,11341,2030197,2030197,11439,49
11440,2415276,11440,2030197,2030197,11540,31
11540,2424508,11541,2030197,2030197,11641,18
11642,2431356,11642,2030197,2030197,11741,32
11742,2433600,11743,2030197,2030197,11842,29
11842,2438400,11843,2030197,2030197,11942,28
11942,2443764,11943,2030197,2030197,12042,11
12042,2449524,12043,2030197,2030197,12143,23
12144,2454304,12145,2030197,2030197,12243,31
12244,2456844,12244,2030197,2030197,12343,32
12344,2453568,12344,2030197,2030197,12444,15
12445,2454560,12445,2030197,2030197,12544,33
12545,2455700,12545,2030197,2030197,12644,31
12645,2456524,12646,2030197,2030197,12748,32
12750,2457860,12751,2030197,2030197,12846,27
12846,2458444,12847,2030197,2030197,12946,27
12947,2462796,12947,2030197,2030197,13047,25
13048,2458376,13048,2030197,2030197,13148,21
13149,2458256,13149,2030197,2030197,13248,8
13249,2457356,13249,2030197,2030197,13349,26
13349,2458300,13350,2030197,2030197,13449,23
13450,2459224,13450,2030197,2030197,13549,32
13550,2459116,13550,2030197,2030197,13649,7
13650,2459208,13650,2030197,2030197,13750,21
13751,2460188,13752,2030197,2030197,13850,21
13851,2460040,13852,2030197,2030197,13951,19
13952,2459296,13952,2030197,2030197,14051,1
14052,2459176,14052,2030197,2030197,14152,16
14153,2460104,14153,2030197,2030197,14253,15
14254,2460104,14255,2030197,2030197,14352,14
14353,2460104,14353,2030197,2030197,14453,2
14453,2459608,14453,2030197,2030197,14554,19
14555,2460292,14555,2030197,2030197,14653,16
14654,2460568,14654,2030197,2030197,14754,16
14754,2460720,14755,2030197,2030197,14854,11
14855,2459820,14855,2030197,2030197,14955,10
14957,2460060,14957,2030197,2030197,15056,17
15056,2461332,15057,2030197,2030197,15156,19
15157,2461244,15158,2030197,2030197,15256,18
15257,2461244,15258,2030197,2030197,15360,9
15361,2460604,15362,2030197,2030197,15460,17
15461,2461136,15462,2030197,2030197,15561,19
15562,2461516,15563,2030197,2030197,15661,19
15662,2461516,15662,2030197,2030197,15761,13
15762,2460776,15762,2030197,2030197,15862,5
15863,2460776,15864,2030197,2030197,15963,18
15963,2461412,15964,2030197,2030197,16063,17
16064,2461836,16064,2030197,2030197,16163,20
16164,2462080,16164,2030197,2030197,16264,12
16265,2461584,16265,2030197,2030197,16365,8
16366,2461760,16366,2030197,2030197,16465,26
16466,2461588,16466,2030197,2030197,16565,21
16566,2458344,16566,2030197,2030197,16665,27
16666,2465872,16666,2030197,2030197,16766,17
16767,2474008,16767,2030197,2030197,16867,18
16868,2456808,16868,2030197,2030197,16967,21
16967,2456808,16968,2030197,2030197,17067,16
17068,2456740,17069,2030197,2030197,17169,10
17170,2456044,17171,2030197,2030197,17269,17
17270,2456704,17270,2030197,2030197,17369,20
17370,2457204,17370,2030197,2030197,17469,16
17470,2457204,17471,2030197,2030197,17570,13
17571,2456948,17571,2030197,2030197,17671,13
17672,2456948,17672,2030197,2030197,17771,20
17772,2457812,17772,2030197,2030197,17871,18
17872,2457664,17873,2030197,2030197,17972,17
17973,2457056,17973,2030197,2030197,18073,4
18074,2456700,18074,2030197,2030197,18174,21
18175,2457028,18175,2030197,2030197,18275,18
18276,2457308,18277,2030197,2030197,18375,21
18376,2457564,18376,2030197,2030197,18476,16
18477,2457120,18477,2030197,2030197,18579,19
18580,2457576,18580,2030197,2030197,18678,20
18679,2458080,18679,2030197,2030197,18729,19
18730,2458080,18730,2030197,2030197,18830,15
18830,2458080,18831,2030197,2030197,18931,6
18932,2457284,18932,2030197,2030197,19031,14
19032,2457540,19033,2030197,2030197,19131,15
19132,2457788,19132,2030197,2030197,19232,19
19233,2457788,19233,2030197,2030197,19333,15
19333,2457036,19334,2030197,2030197,19434,5
19435,2457544,19435,2030197,2030197,19534,19
19534,2458532,19535,2030197,2030197,19634,16
19635,2458684,19635,2030197,2030197,19734,17
19735,2458840,19736,2030197,2030197,19836,7
19837,2458248,19838,2030197,2030197,19937,17
19938,2459148,19938,2030197,2030197,20037,19
20038,2458976,20038,2030197,2030197,20137,20
20138,2459120,20139,2030197,2030197,20238,11
20239,2458832,20239,2030197,2030197,20338,10
20338,2458956,20339,2030197,2030197,20439,14
20440,2459228,20441,2030197,2030197,20539,18
20540,2459252,20540,2030197,2030197,20640,16
20640,2458508,20641,2030197,2030197,20741,1
20742,2458508,20742,2030197,2030197,20841,17
20842,2459384,20842,2030197,2030197,20942,15
20943,2459424,20944,2030197,2030197,21042,17
21042,2459300,21044,2030197,2030197,21142,13
21144,2459060,21144,2030197,2030197,21243,10
