datetime,cpu,mem
Mon Aug  3 17:36:41 GMT 2020,0.5,103533
Mon Aug  3 17:36:41 GMT 2020,0.5,103512
Mon Aug  3 17:36:42 GMT 2020,0.5,103540
Mon Aug  3 17:36:42 GMT 2020,0.5,103540
Mon Aug  3 17:36:42 GMT 2020,0.5,103544
Mon Aug  3 17:36:43 GMT 2020,0.5,103544
Mon Aug  3 17:36:43 GMT 2020,0.5,103544
Mon Aug  3 17:36:44 GMT 2020,0.5,103544
Mon Aug  3 17:36:44 GMT 2020,0.5,102504
Mon Aug  3 17:36:44 GMT 2020,0.5,102524
Mon Aug  3 17:36:45 GMT 2020,0.5,102528
Mon Aug  3 17:36:45 GMT 2020,0.5,102528
Mon Aug  3 17:36:45 GMT 2020,15,102531
Mon Aug  3 17:36:46 GMT 2020,15,103010
Mon Aug  3 17:36:46 GMT 2020,15,89662
Mon Aug  3 17:36:46 GMT 2020,15,105453
Mon Aug  3 17:36:47 GMT 2020,15,110751
Mon Aug  3 17:36:47 GMT 2020,15,118266
Mon Aug  3 17:36:48 GMT 2020,15,116582
Mon Aug  3 17:36:48 GMT 2020,15,116575
Mon Aug  3 17:36:48 GMT 2020,15,116576
Mon Aug  3 17:36:49 GMT 2020,15,116580
Mon Aug  3 17:36:49 GMT 2020,15,116196
Mon Aug  3 17:36:50 GMT 2020,15,116216
Mon Aug  3 17:36:50 GMT 2020,15,116220
Mon Aug  3 17:36:50 GMT 2020,0,116224
Mon Aug  3 17:36:51 GMT 2020,0,116224
Mon Aug  3 17:36:51 GMT 2020,0,116224
Mon Aug  3 17:36:52 GMT 2020,0,116224
Mon Aug  3 17:36:52 GMT 2020,0,116226
Mon Aug  3 17:36:53 GMT 2020,0,116226
Mon Aug  3 17:36:53 GMT 2020,0,116226
Mon Aug  3 17:36:54 GMT 2020,0,116230
Mon Aug  3 17:36:54 GMT 2020,0,116230
Mon Aug  3 17:36:54 GMT 2020,0,116202
Mon Aug  3 17:36:55 GMT 2020,0,116218
Mon Aug  3 17:36:55 GMT 2020,17,116222
Mon Aug  3 17:36:56 GMT 2020,17,116218
Mon Aug  3 17:36:56 GMT 2020,17,116218
Mon Aug  3 17:36:57 GMT 2020,17,119007
Mon Aug  3 17:36:57 GMT 2020,17,158869
Mon Aug  3 17:36:57 GMT 2020,17,178762
Mon Aug  3 17:36:58 GMT 2020,17,181275
Mon Aug  3 17:36:58 GMT 2020,17,181431
Mon Aug  3 17:36:59 GMT 2020,17,181654
Mon Aug  3 17:36:59 GMT 2020,17,180592
Mon Aug  3 17:37:00 GMT 2020,17,180826
Mon Aug  3 17:37:01 GMT 2020,0,181086
Mon Aug  3 17:37:01 GMT 2020,0,181082
Mon Aug  3 17:37:02 GMT 2020,0,181126
Mon Aug  3 17:37:02 GMT 2020,0,181150
Mon Aug  3 17:37:03 GMT 2020,0,181163
Mon Aug  3 17:37:04 GMT 2020,0,181256
Mon Aug  3 17:37:05 GMT 2020,0,181248
Mon Aug  3 17:37:05 GMT 2020,0,180960
Mon Aug  3 17:37:06 GMT 2020,0.1,180960
Mon Aug  3 17:37:06 GMT 2020,0.1,180968
Mon Aug  3 17:37:07 GMT 2020,0.1,180981
Mon Aug  3 17:37:08 GMT 2020,0.1,180986
Mon Aug  3 17:37:08 GMT 2020,0.1,180986
