Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
27,2656116,28,0,0,89,20
90,2656380,91,0,0,189,23
190,2657836,190,0,0,289,20
291,2657444,291,0,0,390,9
391,2656620,392,0,0,491,7
493,2657432,494,0,0,593,16
595,2658020,596,0,0,693,15
693,2657824,694,0,0,793,3
794,2657036,794,0,0,893,11
894,2658136,895,0,0,994,18
994,2658148,995,0,0,1094,11
1094,2657364,1095,0,0,1196,3
1198,2657840,1200,0,0,1295,17
1296,2658448,1297,0,0,1397,13
1399,2658448,1400,0,0,1499,12
1501,2657680,1503,0,0,1599,3
1601,2657956,1602,0,0,1697,15
1698,2658260,1698,0,0,1800,16
1802,2658260,1803,0,0,1901,13
1903,2657672,1905,0,0,2000,14
2001,2657904,2002,0,0,2099,18
2101,2658932,2102,0,0,2202,13
2204,2658932,2205,0,0,2302,15
2303,2657952,2304,0,0,2403,5
2405,2657952,2407,0,0,2501,15
2502,2657776,2503,0,0,2602,14
2603,2657848,2603,0,0,2705,11
2706,2657072,2708,0,0,2804,9
2807,2657072,2808,0,0,2903,19
2904,2657616,2905,0,0,3005,14
3006,2657616,3006,0,0,3107,11
3109,2656832,3111,0,0,3207,8
3210,2657116,3211,0,0,3305,24
3306,2671448,3307,0,0,3406,28
3406,2673108,3407,0,0,3506,14
3507,2656220,3508,0,0,3607,13
3608,2656256,3609,0,0,3713,24
3715,2656616,3715,0,0,3807,26
3808,2656464,3809,0,0,3908,21
3909,2658320,3910,0,0,4008,29
4009,2659632,4010,0,0,4112,26
4114,2653908,4115,0,0,4209,20
4210,2655876,4210,0,0,4309,27
4310,2657568,4310,0,0,4410,31
4410,2652476,4411,0,0,4512,17
4513,2652628,4514,0,0,4613,24
4614,2652936,4615,0,0,4712,29
4713,2678248,4713,0,0,4813,14
4813,2677856,4814,0,0,4914,14
4915,2678924,4915,0,0,5014,24
5014,2679024,5015,0,0,5114,29
5114,2679740,5115,0,0,5214,14
5215,2679692,5215,0,0,5314,33
5315,2689728,5315,0,0,5415,24
5415,2689044,5416,0,0,5515,16
5516,2688308,5516,0,0,5616,21
5618,2691600,5619,0,0,5716,34
5717,2692076,5717,0,0,5816,25
5817,2688148,5817,0,0,5917,10
5917,2687168,5918,0,0,6018,10
6018,2687756,6019,0,0,6118,16
6119,2688176,6119,0,0,6219,20
6219,2688408,6220,0,0,6319,5
6320,2687808,6320,0,0,6421,12
6422,2688344,6422,0,0,6521,13
6521,2689072,6522,0,0,6621,14
6622,2689044,6622,0,0,6722,5
6722,2688620,6723,0,0,6824,7
6825,2688716,6825,0,0,6925,14
6926,2689212,6926,0,0,7025,15
7026,2689212,7026,0,0,7126,10
7127,2688820,7127,0,0,7227,9
7228,2688820,7228,0,0,7327,15
7328,2690072,7329,0,0,7427,15
7428,2689924,7428,0,0,7528,16
7529,2689092,7529,0,0,7629,11
7630,2689332,7631,0,0,7729,13
