datetime,cpu,mem
Mon Aug  3 18:28:30 GMT 2020,0.1,205332
Mon Aug  3 18:28:31 GMT 2020,0.1,208359
Mon Aug  3 18:28:31 GMT 2020,0.1,210515
Mon Aug  3 18:28:32 GMT 2020,0.1,213802
Mon Aug  3 18:28:32 GMT 2020,0.1,217728
Mon Aug  3 18:28:32 GMT 2020,0.1,224199
Mon Aug  3 18:28:33 GMT 2020,0.1,222829
Mon Aug  3 18:28:34 GMT 2020,0.1,222833
Mon Aug  3 18:28:34 GMT 2020,0.1,222842
Mon Aug  3 18:28:35 GMT 2020,0.1,222842
Mon Aug  3 18:28:35 GMT 2020,0.1,222842
Mon Aug  3 18:28:36 GMT 2020,0.1,222848
Mon Aug  3 18:28:36 GMT 2020,0.1,222844
Mon Aug  3 18:28:37 GMT 2020,0.1,222847
Mon Aug  3 18:28:37 GMT 2020,0.1,222850
Mon Aug  3 18:28:38 GMT 2020,0.1,243079
Mon Aug  3 18:28:38 GMT 2020,0.1,236914
Mon Aug  3 18:28:39 GMT 2020,0.1,235282
Mon Aug  3 18:28:39 GMT 2020,0.1,235438
Mon Aug  3 18:28:40 GMT 2020,0.1,235442
Mon Aug  3 18:28:40 GMT 2020,0.1,235434
Mon Aug  3 18:28:41 GMT 2020,0.1,235438
Mon Aug  3 18:28:41 GMT 2020,0.1,235442
Mon Aug  3 18:28:42 GMT 2020,0.1,235455
Mon Aug  3 18:28:43 GMT 2020,0.1,249972
Mon Aug  3 18:28:43 GMT 2020,0.1,248112
Mon Aug  3 18:28:44 GMT 2020,0.1,243909
Mon Aug  3 18:28:44 GMT 2020,0.1,240581
Mon Aug  3 18:28:45 GMT 2020,0.1,240589
Mon Aug  3 18:28:46 GMT 2020,0.1,240589
Mon Aug  3 18:28:46 GMT 2020,0.1,240589
Mon Aug  3 18:28:47 GMT 2020,0.1,240586
Mon Aug  3 18:28:47 GMT 2020,0.1,206676
Mon Aug  3 18:28:48 GMT 2020,0.1,222040
Mon Aug  3 18:28:49 GMT 2020,0.1,222034
Mon Aug  3 18:28:49 GMT 2020,0.1,262933
Mon Aug  3 18:28:50 GMT 2020,0.1,252572
Mon Aug  3 18:28:50 GMT 2020,0.1,255713
Mon Aug  3 18:28:51 GMT 2020,0.1,241119
Mon Aug  3 18:28:52 GMT 2020,0.1,241116
Mon Aug  3 18:28:52 GMT 2020,0.1,207165
Mon Aug  3 18:28:53 GMT 2020,0.1,206839
Mon Aug  3 18:28:53 GMT 2020,0.1,206673
Mon Aug  3 18:28:54 GMT 2020,0,240010
Mon Aug  3 18:28:55 GMT 2020,0,257945
Mon Aug  3 18:28:55 GMT 2020,0,253181
Mon Aug  3 18:28:56 GMT 2020,0,245589
Mon Aug  3 18:28:56 GMT 2020,0,245586
Mon Aug  3 18:28:57 GMT 2020,0,208059
Mon Aug  3 18:28:58 GMT 2020,0,207725
Mon Aug  3 18:28:58 GMT 2020,0,207723
Mon Aug  3 18:28:59 GMT 2020,0,224455
Mon Aug  3 18:28:59 GMT 2020,0,256779
Mon Aug  3 18:29:00 GMT 2020,0,247543
Mon Aug  3 18:29:01 GMT 2020,0,244035
Mon Aug  3 18:29:01 GMT 2020,0,243991
Mon Aug  3 18:29:02 GMT 2020,0,243991
Mon Aug  3 18:29:03 GMT 2020,0,243991
Mon Aug  3 18:29:03 GMT 2020,0,243988
Mon Aug  3 18:29:04 GMT 2020,0,207445
Mon Aug  3 18:29:05 GMT 2020,0,206749
Mon Aug  3 18:29:05 GMT 2020,0,206747
Mon Aug  3 18:29:06 GMT 2020,0,223399
Mon Aug  3 18:29:06 GMT 2020,0,223973
Mon Aug  3 18:29:07 GMT 2020,0,223515
Mon Aug  3 18:29:08 GMT 2020,0,240627
Mon Aug  3 18:29:08 GMT 2020,0,254261
Mon Aug  3 18:29:09 GMT 2020,0,246254
Mon Aug  3 18:29:10 GMT 2020,0,241938
Mon Aug  3 18:29:10 GMT 2020,0,241954
Mon Aug  3 18:29:11 GMT 2020,0,241958
Mon Aug  3 18:29:12 GMT 2020,0,241962
Mon Aug  3 18:29:12 GMT 2020,0,241995
Mon Aug  3 18:29:13 GMT 2020,0,234647
Mon Aug  3 18:29:14 GMT 2020,0,253009
Mon Aug  3 18:29:14 GMT 2020,0,247657
Mon Aug  3 18:29:15 GMT 2020,0,244226
Mon Aug  3 18:29:16 GMT 2020,0,244230
Mon Aug  3 18:29:16 GMT 2020,0,244238
Mon Aug  3 18:29:17 GMT 2020,0,244236
Mon Aug  3 18:29:18 GMT 2020,0,210297
Mon Aug  3 18:29:18 GMT 2020,0,226450
Mon Aug  3 18:29:19 GMT 2020,0,226444
Mon Aug  3 18:29:20 GMT 2020,0,226225
Mon Aug  3 18:29:20 GMT 2020,0,226846
Mon Aug  3 18:29:21 GMT 2020,0,226464
Mon Aug  3 18:29:21 GMT 2020,0,246024
Mon Aug  3 18:29:22 GMT 2020,0,246803
Mon Aug  3 18:29:23 GMT 2020,0,288225
Mon Aug  3 18:29:23 GMT 2020,0,383411
Mon Aug  3 18:29:24 GMT 2020,0,383063
Mon Aug  3 18:29:25 GMT 2020,0,383000
Mon Aug  3 18:29:25 GMT 2020,0,367837
Mon Aug  3 18:29:26 GMT 2020,0,384565
Mon Aug  3 18:29:27 GMT 2020,0,384585
Mon Aug  3 18:29:28 GMT 2020,0,384585
Mon Aug  3 18:29:28 GMT 2020,0,384589
Mon Aug  3 18:29:29 GMT 2020,0,384589
Mon Aug  3 18:29:30 GMT 2020,0,384486
Mon Aug  3 18:29:31 GMT 2020,0,367941
Mon Aug  3 18:29:31 GMT 2020,0,367961
Mon Aug  3 18:29:32 GMT 2020,0,384616
