Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
80,2699068,80,0,0,80,43
183,2696996,183,0,0,181,14
282,2665564,282,0,0,281,36
382,2671856,382,0,0,381,27
482,2673824,482,0,0,482,28
583,2677880,584,0,0,583,35
683,2679364,684,0,0,683,40
784,2685060,784,0,0,783,30
884,2693512,884,0,0,884,35
985,2697732,985,0,0,984,40
1085,2698820,1085,0,0,1085,34
1185,2699688,1185,0,0,1185,22
1286,2700420,1286,0,0,1285,14
1386,2705276,1387,0,0,1386,29
1486,2704044,1487,0,0,1486,29
1587,2705692,1587,0,0,1586,29
1688,2707820,1689,0,0,1687,11
1789,2710100,1790,0,0,1788,32
1888,2711876,1888,0,0,1887,20
1988,2710212,1988,0,0,1988,18
2089,2709640,2089,0,0,2088,13
2190,2710512,2191,0,0,2189,13
2291,2710860,2291,0,0,2290,16
2391,2711108,2391,0,0,2390,14
2492,2709532,2492,0,0,2492,18
2593,2709772,2593,0,0,2593,7
2694,2710260,2695,0,0,2694,17
2795,2710728,2795,0,0,2794,21
2895,2710728,2895,0,0,2894,15
2995,2712512,2995,0,0,2995,26
3096,2709196,3097,0,0,3095,17
3197,2708352,3197,0,0,3196,26
3296,2688516,3297,0,0,3296,17
3397,2688516,3398,0,0,3397,17
3498,2687144,3499,0,0,3497,0
3598,2687260,3598,0,0,3597,23
3699,2687700,3700,0,0,3698,21
3799,2687948,3800,0,0,3799,24
3900,2688364,3900,0,0,3899,33
4000,2687436,4000,0,0,3999,16
4100,2687852,4101,0,0,4100,24
4202,2688060,4202,0,0,4201,17
4302,2688140,4302,0,0,4301,26
4402,2687548,4403,0,0,4402,26
4503,2687548,4503,0,0,4502,8
4604,2688160,4604,0,0,4603,19
4704,2688524,4704,0,0,4703,18
4805,2688772,4805,0,0,4804,24
4905,2688772,4905,0,0,4904,22
5006,2687836,5007,0,0,5005,15
5106,2688356,5107,0,0,5106,14
5206,2689080,5207,0,0,5206,16
5311,2689080,5312,0,0,5308,17
5408,2689328,5409,0,0,5407,23
5509,2688736,5510,0,0,5508,17
5610,2688800,5611,0,0,5609,16
5710,2689560,5711,0,0,5709,21
5812,2689560,5812,0,0,5811,14
5912,2689808,5913,0,0,5911,20
6013,2688944,6013,0,0,6012,24
6113,2688584,6113,0,0,6112,12
6213,2690632,6214,0,0,6213,29
6314,2691112,6314,0,0,6313,32
6415,2691360,6415,0,0,6414,32
6515,2691512,6515,0,0,6514,31
6618,2693024,6618,0,0,6616,27
6716,2691500,6717,0,0,6715,41
6817,2692848,6817,0,0,6816,26
6917,2699352,6918,0,0,6916,40
7018,2695724,7018,0,0,7017,34
7119,2695592,7119,0,0,7117,15
7218,2695980,7218,0,0,7217,34
7318,2696472,7319,0,0,7318,35
7419,2697048,7419,0,0,7418,44
7519,2697944,7519,0,0,7518,30
7619,2700700,7620,0,0,7619,30
7720,2702064,7720,0,0,7719,27
7820,2696692,7821,0,0,7820,27
7921,2696616,7921,0,0,7920,26
8021,2696172,8021,0,0,8020,8
8122,2696496,8123,0,0,8121,17
8222,2697496,8222,0,0,8221,22
8322,2697292,8323,0,0,8322,17
8423,2697440,8423,0,0,8422,20
8523,2696552,8524,0,0,8523,13
8625,2697628,8625,0,0,8624,10
8724,2697576,8725,0,0,8724,20
8825,2697660,8825,0,0,8824,20
8925,2697512,8926,0,0,8925,14
9026,2697124,9026,0,0,9025,14
9127,2697296,9128,0,0,9126,4
9227,2697868,9227,0,0,9226,19
9328,2698068,9328,0,0,9327,17
9428,2698116,9428,0,0,9427,22
9528,2697252,9529,0,0,9528,14
9630,2697252,9630,0,0,9629,7
9730,2698324,9731,0,0,9729,24
9830,2698324,9830,0,0,9829,23
9930,2698324,9931,0,0,9930,22
10031,2698412,10031,0,0,10030,19
10132,2697652,10132,0,0,10131,8
10233,2698152,10233,0,0,10232,18
10333,2698568,10333,0,0,10332,18
10437,2698420,10438,0,0,10435,19
10537,2698420,10539,0,0,10536,23
10638,2697976,10640,0,0,10636,15
10737,2698200,10738,0,0,10735,11
10836,2698796,10836,0,0,10835,21
10935,2697360,10936,0,0,10935,28
11036,2698980,11036,0,0,11035,34
11139,2699280,11140,0,0,11137,31
11237,2699876,11238,0,0,11236,30
11338,2699924,11339,0,0,11337,40
11438,2697820,11439,0,0,11437,39
11538,2705412,11538,0,0,11537,34
11638,2694252,11638,0,0,11637,35
11739,2693364,11739,0,0,11738,10
11840,2693428,11840,0,0,11838,26
11940,2693804,11940,0,0,11939,20
12040,2702696,12040,0,0,12039,41
12140,2700400,12140,0,0,12139,34
12240,2695916,12240,0,0,12239,13
12341,2697552,12341,0,0,12340,18
12441,2697404,12442,0,0,12441,16
12541,2692668,12542,0,0,12541,21
12642,2692668,12642,0,0,12641,15
12742,2692028,12743,0,0,12742,18
12843,2692648,12843,0,0,12842,20
12943,2692708,12943,0,0,12942,19
13043,2688748,13044,0,0,13043,22
13144,2689024,13145,0,0,13143,36
13246,2688284,13246,0,0,13245,24
13347,2688456,13347,0,0,13346,23
13447,2688896,13447,0,0,13446,24
13549,2688276,13549,0,0,13548,0
13649,2688524,13649,0,0,13648,26
13749,2688524,13750,0,0,13749,26
13850,2688312,13851,0,0,13849,23
13951,2688412,13951,0,0,13950,20
14052,2688568,14052,0,0,14050,23
14152,2688568,14153,0,0,14151,24
14252,2688420,14253,0,0,14251,31
14353,2688420,14353,0,0,14352,29
14453,2688124,14454,0,0,14452,27
14554,2688280,14554,0,0,14553,18
14654,2688728,14655,0,0,14653,28
14755,2688896,14756,0,0,14754,26
14855,2688748,14856,0,0,14854,32
14956,2688908,14956,0,0,14955,32
15056,2689008,15057,0,0,15055,31
15157,2688636,15158,0,0,15156,18
15257,2688988,15257,0,0,15256,22
15357,2689096,15357,0,0,15356,25
15458,2689096,15459,0,0,15457,23
15558,2689096,15559,0,0,15557,31
15659,2689404,15659,0,0,15658,36
15759,2689164,15760,0,0,15759,32
15861,2689868,15861,0,0,15860,42
15961,2686936,15961,0,0,15960,46
16064,2687792,16065,0,0,16062,40
16163,2687792,16164,0,0,16162,48
16263,2689592,16264,0,0,16262,44
16362,2689036,16363,0,0,16362,43
16463,2689504,16463,0,0,16462,23
16564,2685328,16565,0,0,16564,0
16664,2685732,16664,0,0,16663,28
16764,2685436,16764,0,0,16763,25
16864,2684696,16865,0,0,16864,15
16965,2684744,16966,0,0,16965,5
17066,2685168,17067,0,0,17065,23
17166,2685044,17166,0,0,17165,17
17266,2684896,17266,0,0,17265,17
17366,2684304,17367,0,0,17366,18
17466,2684304,17467,0,0,17466,2
17567,2684800,17567,0,0,17566,0
17668,2685808,17669,0,0,17667,39
17769,2686512,17769,0,0,17767,48
17873,2686760,17875,0,0,17870,42
17973,2687524,17974,0,0,17970,44
18072,2687196,18073,0,0,18070,38
18171,2688532,18171,0,0,18170,46
18271,2689216,18271,0,0,18270,53
18371,2701556,18372,0,0,18371,41
18472,2702912,18473,0,0,18471,42
18571,2693680,18572,0,0,18571,30
18675,2693836,18676,0,0,18673,10
18773,2694700,18773,0,0,18772,35
18873,2695048,18873,0,0,18872,38
18975,2698624,18976,0,0,18974,36
19074,2699172,19075,0,0,19074,33
19175,2694888,19175,0,0,19174,19
19275,2704172,19275,0,0,19274,45
19375,2703696,19376,0,0,19375,38
19476,2696376,19476,0,0,19475,35
19576,2697244,19576,0,0,19575,32
19677,2693260,19678,0,0,19676,15
19777,2694020,19778,0,0,19776,21
19882,2694416,19883,0,0,19879,24
19931,2694568,19933,0,0,19929,24
20030,2690132,20032,0,0,20029,32
20132,2690124,20135,0,0,20130,24
20233,2689524,20235,0,0,20231,23
20331,2689848,20332,0,0,20330,17
20431,2690980,20431,0,0,20430,29
20533,2691276,20534,0,0,20532,38
20633,2692020,20634,0,0,20632,49
20733,2692368,20734,0,0,20732,45
20834,2692816,20835,0,0,20832,47
20934,2692940,20935,0,0,20933,28
21033,2694052,21034,0,0,21032,43
21133,2695936,21134,0,0,21132,46
21233,2696256,21234,0,0,21233,47
21336,2696496,21336,0,0,21335,32
21436,2691760,21437,0,0,21435,32
21535,2690276,21536,0,0,21535,22
21636,2690456,21636,0,0,21635,12
21736,2690256,21737,0,0,21735,18
21837,2690480,21837,0,0,21836,22
21937,2689860,21937,0,0,21936,24
22037,2690080,22038,0,0,22036,21
22138,2689560,22138,0,0,22137,11
22238,2689684,22239,0,0,22237,19
22339,2690296,22339,0,0,22338,25
22440,2691204,22440,0,0,22439,35
22540,2691608,22540,0,0,22539,38
22640,2692308,22640,0,0,22639,38
22741,2692756,22741,0,0,22739,30
22840,2693864,22841,0,0,22840,50
22941,2694792,22941,0,0,22940,40
23042,2696448,23043,0,0,23041,49
23141,2706992,23142,0,0,23140,46
23241,2710984,23242,0,0,23241,40
23341,2696580,23342,0,0,23341,31
23443,2696696,23443,0,0,23442,27
23542,2696968,23543,0,0,23542,34
23643,2705676,23643,0,0,23642,45
23743,2705696,23743,0,0,23742,37
23844,2697116,23844,0,0,23843,27
23944,2701608,23944,0,0,23943,29
24044,2702240,24044,0,0,24043,41
24145,2698940,24145,0,0,24144,39
24245,2706284,24246,0,0,24244,40
24345,2698876,24346,0,0,24345,32
24446,2694512,24447,0,0,24445,13
24546,2694372,24547,0,0,24546,18
24651,2694520,24652,0,0,24649,26
24752,2694716,24753,0,0,24750,30
24852,2695176,24854,0,0,24850,25
24953,2694968,24955,0,0,24951,28
25055,2694492,25056,0,0,25052,21
25153,2694428,25154,0,0,25152,13
25251,2695340,25252,0,0,25250,22
25352,2695832,25352,0,0,25351,36
25455,2696676,25456,0,0,25453,45
25555,2697172,25556,0,0,25554,50
25655,2697916,25656,0,0,25654,47
25755,2697472,25756,0,0,25754,28
25855,2698880,25856,0,0,25854,42
25955,2698736,25955,0,0,25954,48
26054,2695284,26055,0,0,26054,40
26156,2695296,26157,0,0,26155,29
26257,2690116,26258,0,0,26256,31
26356,2689000,26356,0,0,26355,35
26456,2689000,26457,0,0,26455,8
26557,2690060,26557,0,0,26556,27
26658,2690060,26659,0,0,26657,21
26757,2689616,26758,0,0,26756,25
26857,2689616,26858,0,0,26857,22
26958,2689048,26958,0,0,26957,18
27059,2688780,27059,0,0,27058,14
27159,2689712,27159,0,0,27158,22
27259,2690004,27259,0,0,27258,38
27360,2690748,27360,0,0,27359,40
27461,2691452,27461,0,0,27460,44
27562,2691752,27563,0,0,27561,33
27663,2691752,27666,0,0,27661,38
27762,2692400,27762,0,0,27761,43
27861,2693216,27862,0,0,27861,53
27962,2698084,27962,0,0,27961,42
28062,2701332,28064,0,0,28061,44
28162,2698540,28162,0,0,28161,45
28264,2698392,28265,0,0,28263,18
28363,2698788,28363,0,0,28362,30
28463,2706744,28463,0,0,28462,39
28564,2707604,28564,0,0,28563,42
28664,2696648,28665,0,0,28663,37
28765,2691172,28766,0,0,28764,13
28865,2691032,28866,0,0,28864,7
28965,2689196,28966,0,0,28964,36
29066,2689416,29067,0,0,29065,23
29166,2689416,29167,0,0,29165,22
29267,2689416,29267,0,0,29266,20
29367,2688904,29368,0,0,29366,25
29470,2688988,29471,0,0,29468,6
29568,2689584,29569,0,0,29566,32
29669,2689436,29670,0,0,29667,31
29769,2689288,29770,0,0,29768,33
29871,2689624,29872,0,0,29869,33
29972,2689556,29973,0,0,29970,30
30073,2688568,30074,0,0,30071,16
30172,2689552,30172,0,0,30170,29
30271,2689692,30271,0,0,30270,24
30374,2689692,30375,0,0,30372,25
30474,2689692,30475,0,0,30473,32
30575,2689692,30576,0,0,30573,32
30676,2688804,30677,0,0,30674,28
30776,2688804,30777,0,0,30774,20
30875,2689200,30875,0,0,30873,30
30974,2686304,30975,0,0,30974,26
31077,2686420,31077,0,0,31075,26
31178,2686420,31179,0,0,31176,31
31279,2686420,31280,0,0,31277,35
31380,2685680,31382,0,0,31378,25
31479,2685880,31480,0,0,31477,25
31578,2686864,31578,0,0,31577,27
31680,2687044,31681,0,0,31678,25
31782,2686896,31783,0,0,31779,26
31881,2687148,31882,0,0,31879,31
31982,2686404,31983,0,0,31980,27
32083,2686500,32084,0,0,32081,20
32180,2687324,32181,0,0,32179,43
32281,2687740,32282,0,0,32280,37
32381,2688420,32382,0,0,32380,44
32484,2689268,32485,0,0,32482,40
32585,2689268,32586,0,0,32583,46
32684,2689920,32685,0,0,32683,32
32784,2691904,32784,0,0,32782,40
32883,2692360,32883,0,0,32882,44
32983,2692520,32984,0,0,32983,28
33084,2687488,33084,0,0,33083,29
33184,2687000,33184,0,0,33183,34
33284,2685668,33285,0,0,33284,7
33385,2685552,33386,0,0,33385,16
33485,2686352,33486,0,0,33485,23
33586,2686352,33586,0,0,33585,21
33686,2685316,33686,0,0,33685,24
33786,2685316,33787,0,0,33785,21
33887,2684576,33887,0,0,33886,12
33987,2682428,33988,0,0,33986,11
34088,2683204,34088,0,0,34087,36
34189,2683948,34190,0,0,34187,38
34289,2684444,34289,0,0,34287,42
34389,2685436,34390,0,0,34388,40
34494,2684764,34496,0,0,34491,31
34591,2686056,34592,0,0,34590,42
34691,2688280,34691,0,0,34690,51
34792,2688780,34792,0,0,34791,47
34893,2688652,34895,0,0,34891,28
34992,2683644,34993,0,0,34991,34
35091,2682824,35092,0,0,35091,24
35193,2683080,35193,0,0,35192,16
35293,2684368,35293,0,0,35292,23
35393,2684368,35393,0,0,35392,18
35493,2683924,35494,0,0,35492,20
35594,2683924,35594,0,0,35593,17
35694,2683332,35694,0,0,35693,20
35794,2683500,35795,0,0,35794,1
35895,2683800,35896,0,0,35894,22
35995,2684628,35996,0,0,35994,33
36096,2685416,36096,0,0,36095,35
36196,2685912,36197,0,0,36195,36
36297,2686212,36297,0,0,36296,37
36399,2686460,36400,0,0,36397,31
36500,2687616,36501,0,0,36498,49
36600,2689544,36602,0,0,36599,46
36699,2690100,36699,0,0,36698,43
36800,2697716,36800,0,0,36799,44
36901,2693852,36901,0,0,36900,51
37001,2692612,37002,0,0,37000,16
37101,2693568,37101,0,0,37100,36
37203,2696288,37203,0,0,37201,31
37303,2695656,37304,0,0,37302,37
37403,2694536,37403,0,0,37402,40
37503,2702644,37503,0,0,37502,41
37604,2695100,37604,0,0,37603,17
37704,2695912,37705,0,0,37703,15
37805,2696180,37806,0,0,37804,28
37905,2696584,37906,0,0,37904,26
38005,2692144,38006,0,0,38004,26
38105,2688256,38106,0,0,38105,28
38211,2687800,38212,0,0,38208,21
38309,2688052,38310,0,0,38307,11
38407,2687948,38407,0,0,38406,27
38508,2688140,38509,0,0,38507,22
38611,2688140,38612,0,0,38609,23
38714,2688140,38715,0,0,38711,27
38812,2687992,38813,0,0,38810,24
38914,2687400,38916,0,0,38912,18
39012,2687900,39013,0,0,39011,19
39110,2688712,39111,0,0,39109,22
39214,2688712,39215,0,0,39212,19
39315,2688672,39316,0,0,39313,21
39415,2688672,39417,0,0,39413,25
39515,2688672,39516,0,0,39514,22
39616,2688616,39617,0,0,39614,7
39714,2688340,39715,0,0,39713,20
39815,2688744,39815,0,0,39814,21
39917,2688744,39918,0,0,39916,23
40019,2688624,40021,0,0,40017,23
40121,2688908,40123,0,0,40118,28
40222,2688464,40223,0,0,40219,25
40322,2688616,40323,0,0,40319,10
40419,2689272,40419,0,0,40417,23
40521,2689492,40522,0,0,40519,23
40621,2689492,40623,0,0,40620,25
40723,2689344,40724,0,0,40720,26
40825,2689516,40827,0,0,40823,30
40920,2687188,40920,0,0,40919,45
41022,2687660,41023,0,0,41021,32
41122,2688568,41123,0,0,41121,43
41222,2689940,41222,0,0,41221,43
41327,2689792,41328,0,0,41324,43
41425,2691436,41426,0,0,41423,48
41523,2690748,41524,0,0,41522,50
41623,2702908,41624,0,0,41622,36
41724,2703640,41725,0,0,41723,36
41825,2703812,41826,0,0,41824,44
41924,2696364,41925,0,0,41924,30
42024,2696496,42025,0,0,42024,25
42125,2700044,42125,0,0,42124,37
42225,2703784,42226,0,0,42225,32
42326,2704668,42326,0,0,42325,32
42426,2698072,42426,0,0,42425,43
42526,2698752,42527,0,0,42526,42
42627,2694500,42627,0,0,42626,27
42727,2694744,42728,0,0,42727,21
42828,2694664,42828,0,0,42827,26
42928,2694880,42929,0,0,42927,5
43028,2695032,43029,0,0,43028,23
43134,2695236,43136,0,0,43132,24
43231,2691240,43232,0,0,43229,40
43331,2691092,43332,0,0,43329,32
43431,2691092,43432,0,0,43430,38
43534,2690352,43535,0,0,43532,27
