datetime,cpu,mem
Mon Aug  3 19:49:01 GMT 2020,22,76660
Mon Aug  3 19:49:01 GMT 2020,22,76033
Mon Aug  3 19:49:02 GMT 2020,22,76057
Mon Aug  3 19:49:02 GMT 2020,22,76057
Mon Aug  3 19:49:03 GMT 2020,22,76057
Mon Aug  3 19:49:03 GMT 2020,22,76057
Mon Aug  3 19:49:03 GMT 2020,22,76053
Mon Aug  3 19:49:04 GMT 2020,22,75586
Mon Aug  3 19:49:04 GMT 2020,22,75602
Mon Aug  3 19:49:04 GMT 2020,22,75606
Mon Aug  3 19:49:05 GMT 2020,22,75615
Mon Aug  3 19:49:05 GMT 2020,22,75615
Mon Aug  3 19:49:06 GMT 2020,22,75615
Mon Aug  3 19:49:06 GMT 2020,22,92234
Mon Aug  3 19:49:06 GMT 2020,22,81305
Mon Aug  3 19:49:07 GMT 2020,22,126990
Mon Aug  3 19:49:07 GMT 2020,22,126262
Mon Aug  3 19:49:07 GMT 2020,22,126492
Mon Aug  3 19:49:08 GMT 2020,22,126673
Mon Aug  3 19:49:08 GMT 2020,22,128338
Mon Aug  3 19:49:09 GMT 2020,22,130602
Mon Aug  3 19:49:09 GMT 2020,22,133050
Mon Aug  3 19:49:10 GMT 2020,22,121180
Mon Aug  3 19:49:10 GMT 2020,22,121144
Mon Aug  3 19:49:11 GMT 2020,22,121240
Mon Aug  3 19:49:12 GMT 2020,22,121240
Mon Aug  3 19:49:13 GMT 2020,22,121240
Mon Aug  3 19:49:13 GMT 2020,22,135037
Mon Aug  3 19:49:14 GMT 2020,22,135332
Mon Aug  3 19:49:14 GMT 2020,22,134868
Mon Aug  3 19:49:15 GMT 2020,22,132207
Mon Aug  3 19:49:16 GMT 2020,22,161903
Mon Aug  3 19:49:16 GMT 2020,22,192779
Mon Aug  3 19:49:17 GMT 2020,22,184031
Mon Aug  3 19:49:18 GMT 2020,22,189472
Mon Aug  3 19:49:18 GMT 2020,22,189496
Mon Aug  3 19:49:19 GMT 2020,22,179914
Mon Aug  3 19:49:20 GMT 2020,22,161553
Mon Aug  3 19:49:20 GMT 2020,22,174242
Mon Aug  3 19:49:21 GMT 2020,22,174238
Mon Aug  3 19:49:21 GMT 2020,22,180960
