Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
25,2643056,26,0,0,85,28
86,2643832,87,0,0,185,26
186,2644164,187,0,0,286,20
287,2645016,288,0,0,391,5
393,2644424,395,0,0,488,20
489,2645992,490,0,0,589,18
591,2646176,592,0,0,691,11
693,2645536,694,0,0,792,15
794,2645192,795,0,0,891,12
892,2646180,893,0,0,992,17
994,2646976,994,0,0,1093,16
1094,2646388,1095,0,0,1196,6
1198,2646616,1199,0,0,1293,22
1294,2647116,1295,0,0,1396,15
1399,2645940,1400,0,0,1497,12
1499,2644948,1500,0,0,1596,10
1598,2645348,1599,0,0,1696,18
1697,2645312,1698,0,0,1795,15
1797,2645312,1797,0,0,1898,8
1902,2644960,1904,0,0,1997,22
1998,2645308,1999,0,0,2097,15
2098,2645892,2098,0,0,2198,14
2200,2645892,2201,0,0,2303,7
2306,2643932,2307,0,0,2399,13
2402,2644516,2403,0,0,2499,17
2500,2644832,2501,0,0,2601,15
2603,2644796,2604,0,0,2702,6
2710,2644856,2713,0,0,2803,15
2805,2644980,2807,0,0,2901,25
2903,2653352,2903,0,0,3001,29
3002,2663764,3002,0,0,3102,17
3103,2662280,3103,0,0,3202,14
3203,2641932,3204,0,0,3303,15
3305,2641932,3306,0,0,3404,8
3407,2641344,3409,0,0,3504,15
3505,2641760,3506,0,0,3606,21
3608,2642120,3608,0,0,3707,13
3708,2641920,3708,0,0,3808,16
3809,2642048,3810,0,0,3907,26
3908,2643776,3908,0,0,4007,23
4008,2643932,4008,0,0,4110,17
4112,2645084,4113,0,0,4208,29
4209,2647192,4210,0,0,4308,39
4308,2647524,4309,0,0,4408,17
4409,2649272,4409,0,0,4508,22
4509,2645808,4509,0,0,4609,26
4609,2647616,4609,0,0,4709,19
4709,2655088,4710,0,0,4810,34
4811,2671256,4811,0,0,4910,31
4910,2683952,4911,0,0,5010,25
5010,2673020,5010,0,0,5111,21
5112,2673268,5112,0,0,5211,30
5212,2674544,5213,0,0,5311,32
5312,2674172,5313,0,0,5411,25
5411,2673400,5412,0,0,5512,21
5513,2673824,5513,0,0,5612,31
5612,2674512,5613,0,0,5712,32
5713,2674480,5713,0,0,5813,0
5813,2672556,5813,0,0,5913,22
5913,2672764,5914,0,0,6014,37
6015,2673456,6015,0,0,6114,48
6115,2673688,6115,0,0,6214,38
6215,2673316,6215,0,0,6315,31
6315,2672868,6316,0,0,6416,33
6416,2674336,6417,0,0,6516,41
6517,2675400,6517,0,0,6616,38
6617,2675516,6617,0,0,6716,35
6717,2675608,6717,0,0,6817,30
6818,2674896,6818,0,0,6917,31
6918,2676684,6918,0,0,7018,43
7018,2678668,7018,0,0,7118,36
7118,2678872,7119,0,0,7218,37
7219,2679008,7219,0,0,7319,27
7319,2677756,7319,0,0,7420,28
7421,2678828,7421,0,0,7521,33
7521,2680408,7522,0,0,7621,35
7622,2681032,7622,0,0,7721,35
7722,2681132,7722,0,0,7822,27
7822,2665788,7823,0,0,7923,4
7924,2665980,7924,0,0,8023,19
8024,2663104,8025,0,0,8124,16
8126,2663852,8126,0,0,8224,19
8224,2664112,8225,0,0,8324,20
8325,2664112,8325,0,0,8425,20
8426,2664112,8426,0,0,8527,4
8528,2663352,8529,0,0,8628,15
8629,2663960,8629,0,0,8729,17
8730,2664572,8731,0,0,8828,16
8829,2664564,8829,0,0,8929,16
8930,2664564,8930,0,0,9029,18
9030,2664564,9031,0,0,9130,10
9131,2663716,9131,0,0,9231,12
9231,2664584,9232,0,0,9332,20
9333,2664688,9333,0,0,9432,19
9433,2664688,9433,0,0,9532,18
9533,2664688,9533,0,0,9633,19
9634,2664120,9634,0,0,9735,4
9736,2663992,9736,0,0,9834,21
9835,2664508,9836,0,0,9936,19
9937,2664716,9937,0,0,10035,20
10036,2664716,10036,0,0,10136,20
10136,2664716,10137,0,0,10236,19
10237,2664656,10237,0,0,10338,2
10339,2664360,10340,0,0,10438,18
10439,2664680,10439,0,0,10538,33
10539,2666020,10539,0,0,10638,33
10639,2666792,10640,0,0,10739,30
10740,2666920,10740,0,0,10839,25
10840,2667188,10840,0,0,10941,21
