datetime,cpu,mem
Mon Aug  3 20:03:24 GMT 2020,20,101260
Mon Aug  3 20:03:24 GMT 2020,20,101583
Mon Aug  3 20:03:24 GMT 2020,20,101611
Mon Aug  3 20:03:25 GMT 2020,20,101051
Mon Aug  3 20:03:25 GMT 2020,20,101195
Mon Aug  3 20:03:26 GMT 2020,20,101195
Mon Aug  3 20:03:26 GMT 2020,20,101228
Mon Aug  3 20:03:26 GMT 2020,20,101228
Mon Aug  3 20:03:27 GMT 2020,20,101228
Mon Aug  3 20:03:27 GMT 2020,20,101258
Mon Aug  3 20:03:28 GMT 2020,20,101258
Mon Aug  3 20:03:28 GMT 2020,20,101258
Mon Aug  3 20:03:28 GMT 2020,20,101258
Mon Aug  3 20:03:29 GMT 2020,20,101244
Mon Aug  3 20:03:29 GMT 2020,20,101493
Mon Aug  3 20:03:29 GMT 2020,20,101620
Mon Aug  3 20:03:30 GMT 2020,20,101624
Mon Aug  3 20:03:30 GMT 2020,20,101628
Mon Aug  3 20:03:30 GMT 2020,20,101774
Mon Aug  3 20:03:31 GMT 2020,20,101914
Mon Aug  3 20:03:31 GMT 2020,20,103403
Mon Aug  3 20:03:31 GMT 2020,20,88770
Mon Aug  3 20:03:32 GMT 2020,20,88953
Mon Aug  3 20:03:32 GMT 2020,20,88952
Mon Aug  3 20:03:33 GMT 2020,20,105671
Mon Aug  3 20:03:33 GMT 2020,20,106854
Mon Aug  3 20:03:33 GMT 2020,20,106809
Mon Aug  3 20:03:34 GMT 2020,20,125176
Mon Aug  3 20:03:34 GMT 2020,20,133663
Mon Aug  3 20:03:35 GMT 2020,20,108935
Mon Aug  3 20:03:35 GMT 2020,20,109048
Mon Aug  3 20:03:35 GMT 2020,20,109536
Mon Aug  3 20:03:36 GMT 2020,20,109487
Mon Aug  3 20:03:36 GMT 2020,0,109455
Mon Aug  3 20:03:37 GMT 2020,0,109554
Mon Aug  3 20:03:37 GMT 2020,0,92180
Mon Aug  3 20:03:38 GMT 2020,0,108316
Mon Aug  3 20:03:38 GMT 2020,0,108316
Mon Aug  3 20:03:38 GMT 2020,0,108314
Mon Aug  3 20:03:39 GMT 2020,0,108369
Mon Aug  3 20:03:39 GMT 2020,0,108037
Mon Aug  3 20:03:40 GMT 2020,0,108009
Mon Aug  3 20:03:40 GMT 2020,0,108011
Mon Aug  3 20:03:41 GMT 2020,0,108203
Mon Aug  3 20:03:41 GMT 2020,0,110159
Mon Aug  3 20:03:41 GMT 2020,0,110471
Mon Aug  3 20:03:42 GMT 2020,0,110484
Mon Aug  3 20:03:42 GMT 2020,0,110482
Mon Aug  3 20:03:43 GMT 2020,0,113033
Mon Aug  3 20:03:43 GMT 2020,0,114000
Mon Aug  3 20:03:43 GMT 2020,30,119519
Mon Aug  3 20:03:44 GMT 2020,30,119175
Mon Aug  3 20:03:44 GMT 2020,30,118215
Mon Aug  3 20:03:45 GMT 2020,30,118331
Mon Aug  3 20:03:45 GMT 2020,30,122017
Mon Aug  3 20:03:46 GMT 2020,30,122013
Mon Aug  3 20:03:46 GMT 2020,30,122017
Mon Aug  3 20:03:47 GMT 2020,30,122009
Mon Aug  3 20:03:47 GMT 2020,30,122017
Mon Aug  3 20:03:48 GMT 2020,30,122013
Mon Aug  3 20:03:48 GMT 2020,30,122017
Mon Aug  3 20:03:49 GMT 2020,30,122011
Mon Aug  3 20:03:49 GMT 2020,30,121997
Mon Aug  3 20:03:50 GMT 2020,0,121768
Mon Aug  3 20:03:50 GMT 2020,0,125071
Mon Aug  3 20:03:51 GMT 2020,0,127635
Mon Aug  3 20:03:51 GMT 2020,0,126170
Mon Aug  3 20:03:52 GMT 2020,0,126350
Mon Aug  3 20:03:52 GMT 2020,0,127026
Mon Aug  3 20:03:53 GMT 2020,0,127026
Mon Aug  3 20:03:53 GMT 2020,0,127026
Mon Aug  3 20:03:54 GMT 2020,0,127025
Mon Aug  3 20:03:54 GMT 2020,0,129569
Mon Aug  3 20:03:55 GMT 2020,0,129103
Mon Aug  3 20:03:55 GMT 2020,0,129035
Mon Aug  3 20:03:56 GMT 2020,0,129051
Mon Aug  3 20:03:56 GMT 2020,0,129059
Mon Aug  3 20:03:57 GMT 2020,0,129063
Mon Aug  3 20:03:57 GMT 2020,0,129067
Mon Aug  3 20:03:58 GMT 2020,0,129067
Mon Aug  3 20:03:58 GMT 2020,0,129068
Mon Aug  3 20:03:59 GMT 2020,24,97882
Mon Aug  3 20:03:59 GMT 2020,24,95643
Mon Aug  3 20:04:00 GMT 2020,24,94931
Mon Aug  3 20:04:00 GMT 2020,24,94868
Mon Aug  3 20:04:01 GMT 2020,24,128237
Mon Aug  3 20:04:01 GMT 2020,24,178042
Mon Aug  3 20:04:02 GMT 2020,24,133366
Mon Aug  3 20:04:02 GMT 2020,24,133171
Mon Aug  3 20:04:03 GMT 2020,24,134526
Mon Aug  3 20:04:03 GMT 2020,24,135688
Mon Aug  3 20:04:04 GMT 2020,24,136000
Mon Aug  3 20:04:04 GMT 2020,24,138698
Mon Aug  3 20:04:05 GMT 2020,0,135146
Mon Aug  3 20:04:06 GMT 2020,0,136400
Mon Aug  3 20:04:06 GMT 2020,0,140239
Mon Aug  3 20:04:07 GMT 2020,0,140723
Mon Aug  3 20:04:08 GMT 2020,0,140713
Mon Aug  3 20:04:08 GMT 2020,0,141959
Mon Aug  3 20:04:09 GMT 2020,0,142483
Mon Aug  3 20:04:10 GMT 2020,0,143383
Mon Aug  3 20:04:10 GMT 2020,0,138551
Mon Aug  3 20:04:11 GMT 2020,41,104710
Mon Aug  3 20:04:11 GMT 2020,41,104426
Mon Aug  3 20:04:12 GMT 2020,41,104414
Mon Aug  3 20:04:13 GMT 2020,41,137935
Mon Aug  3 20:04:13 GMT 2020,41,138349
Mon Aug  3 20:04:14 GMT 2020,41,141381
Mon Aug  3 20:04:14 GMT 2020,41,141341
Mon Aug  3 20:04:15 GMT 2020,41,142101
Mon Aug  3 20:04:15 GMT 2020,41,142223
Mon Aug  3 20:04:16 GMT 2020,41,140367
Mon Aug  3 20:04:16 GMT 2020,41,141711
Mon Aug  3 20:04:17 GMT 2020,42,143136
Mon Aug  3 20:04:18 GMT 2020,42,108618
Mon Aug  3 20:04:18 GMT 2020,42,108582
Mon Aug  3 20:04:19 GMT 2020,42,125150
Mon Aug  3 20:04:19 GMT 2020,42,142614
Mon Aug  3 20:04:20 GMT 2020,42,142847
Mon Aug  3 20:04:20 GMT 2020,42,135215
Mon Aug  3 20:04:21 GMT 2020,42,135235
Mon Aug  3 20:04:22 GMT 2020,42,135982
Mon Aug  3 20:04:22 GMT 2020,42,136206
Mon Aug  3 20:04:23 GMT 2020,42,136134
Mon Aug  3 20:04:23 GMT 2020,42,136142
Mon Aug  3 20:04:24 GMT 2020,42,135886
Mon Aug  3 20:04:25 GMT 2020,42,135886
Mon Aug  3 20:04:25 GMT 2020,42,135886
Mon Aug  3 20:04:26 GMT 2020,42,135834
Mon Aug  3 20:04:26 GMT 2020,42,135850
Mon Aug  3 20:04:27 GMT 2020,42,135854
