Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
25,2503464,26,0,0,24,29
127,2503324,127,0,0,125,15
227,2504008,227,0,0,226,21
280,2504508,281,0,0,278,17
380,2504792,381,0,0,378,27
484,2504156,485,0,0,481,23
580,2504156,581,0,0,579,26
679,2506084,680,0,0,678,29
780,2506284,781,0,0,779,23
881,2505692,883,0,0,880,11
984,2505608,986,0,0,983,22
1082,2505856,1082,0,0,1081,19
1186,2503048,1187,0,0,1184,18
1284,2502384,1285,0,0,1283,21
1387,2503020,1388,0,0,1385,10
1486,2503624,1487,0,0,1485,20
1587,2503328,1588,0,0,1586,20
1691,2503592,1692,0,0,1688,15
1791,2502556,1793,0,0,1789,17
1890,2502720,1891,0,0,1888,13
1989,2503448,1990,0,0,1988,19
2093,2503152,2094,0,0,2091,16
2196,2502528,2198,0,0,2194,15
2296,2502552,2297,0,0,2294,10
2391,2502860,2391,0,0,2390,24
2492,2503056,2493,0,0,2491,20
2595,2502612,2596,0,0,2593,10
2696,2502868,2697,0,0,2694,5
2793,2508904,2794,0,0,2792,23
2893,2523992,2893,0,0,2892,30
2993,2522464,2994,0,0,2992,24
3095,2501840,3096,0,0,3094,5
3194,2502288,3195,0,0,3193,20
3298,2502236,3299,0,0,3296,23
3399,2501888,3400,0,0,3397,14
3500,2502152,3501,0,0,3498,8
3597,2502936,3597,0,0,3596,18
3703,2502936,3704,0,0,3700,16
3798,2502884,3798,0,0,3797,27
3899,2502856,3900,0,0,3897,13
3998,2503248,3999,0,0,3997,31
4102,2504268,4105,0,0,4100,30
4204,2504432,4205,0,0,4201,28
4302,2505296,4302,0,0,4300,25
4401,2507020,4401,0,0,4399,34
4500,2508200,4500,0,0,4499,30
4601,2507676,4602,0,0,4600,17
4702,2503008,4702,0,0,4701,20
4803,2503112,4803,0,0,4802,26
4903,2502964,4903,0,0,4902,25
5003,2502964,5003,0,0,5002,4
5104,2503908,5104,0,0,5103,21
5204,2503940,5205,0,0,5203,14
5304,2504172,5304,0,0,5303,15
5404,2504008,5405,0,0,5403,1
5505,2503896,5506,0,0,5504,16
5606,2504520,5606,0,0,5605,15
5706,2504076,5706,0,0,5704,14
5806,2504348,5807,0,0,5805,15
5906,2506160,5906,0,0,5905,31
6006,2507004,6007,0,0,6005,30
6107,2506412,6107,0,0,6106,27
6209,2508004,6209,0,0,6207,23
6308,2508656,6309,0,0,6307,44
6409,2508780,6409,0,0,6408,27
6510,2503748,6510,0,0,6509,25
6611,2504920,6612,0,0,6610,38
6710,2505908,6711,0,0,6710,38
6811,2506292,6811,0,0,6810,39
6911,2507404,6912,0,0,6910,26
7012,2510468,7012,0,0,7011,31
7112,2509616,7112,0,0,7111,44
7212,2507044,7213,0,0,7211,29
7313,2507972,7314,0,0,7312,29
7413,2509200,7413,0,0,7412,32
7514,2509316,7515,0,0,7513,21
7614,2509320,7615,0,0,7614,13
7716,2509764,7716,0,0,7715,14
7815,2510048,7815,0,0,7815,17
7916,2509900,7916,0,0,7915,14
8016,2509456,8016,0,0,8015,11
8118,2509240,8118,0,0,8117,5
8217,2510064,8217,0,0,8216,18
8317,2510800,8317,0,0,8316,30
8417,2510824,8418,0,0,8417,26
8518,2511204,8519,0,0,8517,0
8619,2511748,8619,0,0,8618,39
8722,2512492,8724,0,0,8721,43
8821,2514632,8821,0,0,8820,60
8920,2513364,8920,0,0,8919,29
9020,2515092,9020,0,0,9019,37
9121,2510980,9121,0,0,9120,39
9221,2511756,9222,0,0,9220,40
9321,2511652,9321,0,0,9320,23
9421,2513632,9422,0,0,9421,37
9522,2513964,9523,0,0,9521,40
9623,2514860,9623,0,0,9622,36
9722,2516268,9723,0,0,9722,34
9824,2515996,9824,0,0,9823,39
9924,2518616,9924,0,0,9923,43
10026,2514348,10026,0,0,10024,51
10126,2514944,10126,0,0,10125,55
10229,2514508,10231,0,0,10226,36
10329,2515204,10329,0,0,10328,55
10428,2516300,10428,0,0,10426,48
10528,2517224,10529,0,0,10527,53
10628,2518100,10629,0,0,10627,55
10728,2515936,10728,0,0,10727,51
10828,2518732,10828,0,0,10827,40
10930,2514372,10930,0,0,10928,43
11030,2515304,11030,0,0,11029,37
11132,2514776,11133,0,0,11129,30
11236,2516580,11237,0,0,11235,34
11331,2517096,11332,0,0,11330,33
11432,2517772,11432,0,0,11430,38
11531,2517708,11531,0,0,11530,43
11631,2511832,11632,0,0,11630,35
11732,2512116,11732,0,0,11731,22
11832,2507412,11833,1219628,1219628,11831,28
11932,2507412,11933,1219628,1219628,11931,18
12033,2506516,12034,1219628,1219628,12032,7
12133,2506796,12134,1219628,1219628,12132,14
12233,2503100,12234,1219628,1219628,12232,24
12334,2503172,12334,1219628,1219628,12333,26
12434,2502640,12435,1219628,1219628,12433,21
12534,2502640,12534,1219628,1219628,12533,1
12635,2503260,12636,1219628,1219628,12634,20
12737,2503260,12738,1219628,1219628,12736,17
12836,2503812,12836,1219628,1219628,12835,31
12937,2503760,12938,1219628,1219628,12935,25
13038,2504288,13039,1219628,1219628,13036,24
13137,2506040,13138,1219628,1219628,13136,41
13239,2505724,13240,1219628,1219628,13238,45
13340,2506492,13341,1219628,1219628,13339,55
13443,2507476,13444,1219628,1219628,13440,43
13540,2507316,13541,1219628,1219628,13539,57
13640,2507916,13641,1219628,1219628,13639,38
13740,2502884,13741,1219628,1219628,13740,29
13841,2502164,13841,1219628,1219628,13840,26
13941,2501920,13941,1219628,1219628,13940,22
14041,2502340,14042,1219628,1219628,14041,21
14142,2502100,14142,1219628,1219628,14141,20
14242,2501352,14242,1219628,1219628,14241,11
14343,2501284,14344,1219628,1219628,14342,8
14443,2502028,14443,1219628,1219628,14442,20
14544,2502028,14544,1219628,1219628,14543,18
14644,2502028,14645,1219628,1219628,14643,18
14744,2501756,14745,1219628,1219628,14743,12
14845,2503380,14846,1219628,1219628,14844,35
14945,2503720,14945,1219628,1219628,14944,33
15045,2503968,15046,1219628,1219628,15044,36
15148,2504120,15149,1219628,1219628,15147,29
15247,2504692,15247,1219628,1219628,15245,32
15347,2506608,15348,1219628,1219628,15346,37
15447,2506900,15448,1219628,1219628,15446,46
15548,2506752,15548,1219628,1219628,15547,35
15648,2501432,15649,1219628,1219628,15647,18
15748,2503136,15749,1219628,1219628,15748,52
15849,2504020,15849,1219628,1219628,15848,42
15949,2504060,15949,1219628,1219628,15948,46
16049,2504268,16050,1219628,1219628,16049,40
16151,2505720,16151,1219628,1219628,16150,27
16251,2505916,16251,1219628,1219628,16250,23
16351,2506180,16352,1219628,1219628,16350,18
16452,2505264,16452,1219628,1219628,16451,6
16553,2500940,16553,1219628,1219628,16551,10
16652,2500432,16653,1219628,1219628,16651,32
16753,2501300,16753,1219628,1219628,16752,46
16853,2501204,16854,1219628,1219628,16852,32
16955,2501708,16956,1219628,1219628,16953,32
17054,2502212,17055,1219628,1219628,17053,38
17155,2502880,17156,1219628,1219628,17154,50
17254,2516404,17255,1219628,1219628,17254,59
17354,2500096,17355,1219628,1219628,17354,31
17455,2501212,17455,1219628,1219628,17454,40
17556,2496328,17557,1219628,1219628,17555,31
17656,2496728,17656,1219628,1219628,17655,27
17756,2497160,17757,1219628,1219628,17755,10
17857,2497880,17857,1219628,1219628,17856,26
17957,2497880,17958,1219628,1219628,17956,26
18058,2497732,18058,1219628,1219628,18057,28
18158,2497356,18159,1219628,1219628,18157,12
18259,2497748,18259,1219628,1219628,18258,19
18359,2497880,18359,1219628,1219628,18358,25
18459,2497880,18460,1219628,1219628,18458,21
18559,2497584,18560,1219628,1219628,18558,17
18660,2499008,18660,1219628,1219628,18659,35
18762,2499444,18766,1219628,1219628,18760,35
18861,2499940,18861,1219628,1219628,18860,41
18963,2500288,18964,1219628,1219628,18961,39
19063,2501248,19064,1219628,1219628,19061,46
19162,2503368,19163,1219628,1219628,19161,52
19262,2504272,19263,1219628,1219628,19261,58
19363,2504908,19363,1219628,1219628,19362,26
19463,2499432,19464,1219628,1219628,19462,23
19563,2501528,19564,1219628,1219628,19562,31
19664,2501432,19664,1219628,1219628,19663,34
19764,2501284,19764,1219628,1219628,19763,33
19865,2500932,19865,1219628,1219628,19864,26
19966,2503472,19966,1219628,1219628,19965,33
20069,2504036,20070,1219628,1219628,20067,21
20166,2505772,20166,1219628,1219628,20165,50
20266,2504836,20267,1219628,1219628,20265,20
20367,2505320,20368,1219628,1219628,20366,3
20467,2508728,20468,1219628,1219628,20466,49
20567,2509628,20568,1219628,1219628,20566,22
20668,2509628,20669,1219628,1219628,20667,21
20768,2509036,20769,1219628,1219628,20767,11
20870,2509748,20872,1219628,1219628,20868,12
20969,2510576,20970,1219628,1219628,20968,22
21070,2510824,21070,1219628,1219628,21068,33
21170,2510824,21171,1219628,1219628,21169,18
21274,2510128,21276,1219628,1219628,21272,12
21373,2510060,21374,1219628,1219628,21371,25
21473,2510516,21473,1219628,1219628,21471,31
21575,2510724,21575,1219628,1219628,21572,32
21676,2510724,21677,1219628,1219628,21674,38
21775,2510132,21776,1219628,1219628,21774,12
21879,2510616,21880,1219628,1219628,21875,6
21976,2511100,21976,1219628,1219628,21974,23
22077,2511100,22078,1219628,1219628,22075,20
22179,2511364,22180,1219628,1219628,22176,19
22280,2511360,22282,1219628,1219628,22278,25
22381,2510376,22383,1219628,1219628,22378,6
22480,2510676,22481,1219628,1219628,22477,20
22579,2511168,22580,1219628,1219628,22578,22
22683,2511168,22685,1219628,1219628,22680,22
22784,2511168,22785,1219628,1219628,22781,22
22882,2510420,22883,1219628,1219628,22880,15
22985,2510696,22987,1219628,1219628,22981,14
23081,2511272,23082,1219628,1219628,23080,22
23184,2511272,23186,1219628,1219628,23181,22
23285,2511132,23287,1219628,1219628,23283,22
23385,2510924,23387,1219628,1219628,23384,18
23486,2510828,23487,1219628,1219628,23484,6
23583,2511208,23584,1219628,1219628,23582,28
23686,2511688,23686,1219628,1219628,23684,20
23786,2511688,23787,1219628,1219628,23785,24
23887,2511688,23888,1219628,1219628,23886,20
23990,2510948,23991,1219628,1219628,23988,8
