Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
57,2688828,58,3578087,0,56,19
157,2688236,158,3578087,0,156,0
260,2688936,261,3578087,0,258,22
362,2689128,363,3578087,0,359,23
462,2688036,463,3578087,0,460,16
565,2688576,567,3578087,0,562,11
662,2689272,663,3578087,0,661,19
764,2689500,764,3578087,0,762,19
863,2689940,864,3578087,0,862,14
965,2689404,965,3578087,0,963,14
1069,2690164,1070,3578087,0,1066,4
1166,2690532,1167,3578087,0,1164,25
1270,2690552,1272,3578087,0,1268,20
1373,2690524,1374,3578087,0,1370,20
1471,2690460,1472,3578087,0,1469,14
1571,2691284,1572,3578087,0,1569,18
1670,2691276,1671,3578087,0,1669,15
1778,2690980,1779,3578087,0,1775,18
1874,2691540,1875,3578087,0,1873,30
1984,2691096,1987,3578087,0,1980,4
2078,2691360,2079,3578087,0,2076,14
2177,2691860,2178,3578087,0,2176,19
2279,2691564,2279,3578087,0,2277,17
2383,2691476,2385,3578087,0,2380,20
2484,2691972,2486,3578087,0,2481,10
2579,2690016,2580,3578087,0,2578,22
2681,2690432,2682,3578087,0,2679,17
2783,2690628,2785,3578087,0,2781,17
2883,2689592,2884,3578087,0,2881,16
2985,2689592,2987,3578087,0,2983,7
3086,2690972,3087,3578087,0,3083,20
3182,2692060,3183,3578087,0,3181,26
3286,2692060,3287,3578087,0,3284,17
3386,2691284,3387,3578087,0,3384,19
3486,2691668,3487,3578087,0,3484,13
3587,2692304,3587,3578087,0,3584,19
3690,2692828,3691,3578087,0,3685,18
3785,2692332,3785,3578087,0,3784,32
3885,2691796,3886,3578087,0,3884,26
3987,2692612,3989,3578087,0,3985,17
4087,2694196,4088,3578087,0,4085,36
4187,2694940,4187,3578087,0,4185,30
4288,2695700,4289,3578087,0,4286,38
4388,2698208,4389,3578087,0,4387,33
4487,2703104,4488,3578087,0,4487,36
4589,2703744,4589,3578087,0,4588,36
4689,2700360,4689,3578087,0,4688,45
4789,2700008,4789,3578087,0,4788,36
4890,2700804,4890,3578087,0,4888,40
4990,2701664,4990,3578087,0,4989,38
5091,2703196,5092,3578087,0,5090,40
5191,2699968,5192,3578087,0,5190,27
5292,2701308,5293,3578087,0,5291,25
5392,2698452,5393,3578087,0,5391,33
5492,2698736,5493,3578087,0,5491,31
5593,2698068,5593,3578087,0,5592,22
5693,2704460,5693,3578087,0,5692,34
5794,2681940,5794,3578087,0,5793,57
5894,2682460,5895,3578087,0,5893,40
5994,2684496,5995,3578087,0,5994,34
6096,2687772,6097,3578087,0,6094,36
6196,2710496,6196,3578087,0,6195,38
6296,2711208,6297,3578087,0,6295,27
6397,2711608,6398,3578087,0,6396,22
6497,2711248,6498,3578087,0,6496,14
6597,2711248,6598,3578087,0,6596,8
6697,2712328,6697,3578087,0,6696,33
6798,2712576,6799,3578087,0,6797,32
6899,2711104,6899,3578087,0,6897,47
7000,2710440,7000,3578087,0,6998,32
7100,2710504,7100,3578087,0,7098,28
7202,2712428,7203,3578087,0,7200,26
7301,2703512,7301,3578087,0,7299,32
7403,2703392,7404,3578087,0,7401,28
7504,2701644,7506,3578087,0,7502,11
7604,2702052,7605,3578087,0,7602,10
7702,2701940,7703,3578087,0,7701,17
7804,2701940,7805,3578087,0,7802,17
7906,2701644,7908,3578087,0,7904,18
8006,2700896,8008,3578087,0,8004,19
8109,2700276,8113,3578087,0,8106,0
8206,2700376,8207,3578087,0,8204,19
8307,2700768,8308,3578087,0,8305,26
8406,2700908,8406,3578087,0,8405,26
8510,2701172,8512,3578087,0,8507,28
8609,2700752,8610,3578087,0,8607,30
8717,2700752,8718,3578087,0,8712,10
8809,2701156,8810,3578087,0,8807,24
8911,2701356,8912,3578087,0,8908,23
9010,2701356,9011,3578087,0,9009,23
9113,2701356,9114,3578087,0,9110,21
9213,2701356,9214,3578087,0,9211,22
9315,2700764,9317,3578087,0,9312,21
9411,2702424,9411,3578087,0,9410,50
9511,2686552,9512,3578087,0,9510,36
9619,2686800,9621,3578087,0,9614,35
9716,2687296,9717,3578087,0,9713,41
9818,2687792,9819,3578087,0,9814,47
9916,2687392,9917,3578087,0,9914,40
10015,2689064,10016,3578087,0,10014,35
10115,2688996,10116,3578087,0,10114,0
10215,2686460,10216,3578087,0,10214,35
10316,2688028,10317,3578087,0,10314,29
10415,2688300,10415,3578087,0,10414,42
10515,2692096,10516,3578087,0,10514,45
10616,2695780,10616,3578087,0,10615,43
10716,2700772,10716,3578087,0,10715,55
10817,2701896,10817,3578087,0,10816,49
10917,2676272,10917,3578087,0,10916,42
11018,2676348,11019,3578087,0,11017,21
11117,2676960,11117,3578087,0,11117,35
11218,2678044,11218,3578087,0,11217,31
11318,2678428,11318,3578087,0,11317,27
