datetime,cpu,mem
Mon Aug  3 17:59:29 GMT 2020,31,112562
Mon Aug  3 17:59:29 GMT 2020,31,112790
Mon Aug  3 17:59:30 GMT 2020,31,112810
Mon Aug  3 17:59:30 GMT 2020,31,112842
Mon Aug  3 17:59:30 GMT 2020,31,112842
Mon Aug  3 17:59:31 GMT 2020,31,112842
Mon Aug  3 17:59:31 GMT 2020,31,112842
Mon Aug  3 17:59:32 GMT 2020,31,112850
Mon Aug  3 17:59:32 GMT 2020,31,112238
Mon Aug  3 17:59:32 GMT 2020,31,112254
Mon Aug  3 17:59:33 GMT 2020,31,112291
Mon Aug  3 17:59:33 GMT 2020,31,112291
Mon Aug  3 17:59:34 GMT 2020,31,112291
Mon Aug  3 17:59:34 GMT 2020,31,112252
Mon Aug  3 17:59:34 GMT 2020,31,93655
Mon Aug  3 17:59:35 GMT 2020,31,93626
Mon Aug  3 17:59:35 GMT 2020,31,104829
Mon Aug  3 17:59:35 GMT 2020,31,104989
Mon Aug  3 17:59:36 GMT 2020,31,79946
Mon Aug  3 17:59:36 GMT 2020,31,96614
Mon Aug  3 17:59:36 GMT 2020,31,118974
Mon Aug  3 17:59:37 GMT 2020,31,102885
Mon Aug  3 17:59:37 GMT 2020,31,102640
Mon Aug  3 17:59:38 GMT 2020,31,102601
Mon Aug  3 17:59:38 GMT 2020,31,103039
Mon Aug  3 17:59:38 GMT 2020,31,103073
Mon Aug  3 17:59:39 GMT 2020,31,135135
Mon Aug  3 17:59:39 GMT 2020,31,103302
Mon Aug  3 17:59:40 GMT 2020,31,103396
Mon Aug  3 17:59:40 GMT 2020,31,70064
Mon Aug  3 17:59:41 GMT 2020,31,70095
Mon Aug  3 17:59:41 GMT 2020,31,86149
Mon Aug  3 17:59:42 GMT 2020,31,69312
Mon Aug  3 17:59:42 GMT 2020,31,83947
Mon Aug  3 17:59:42 GMT 2020,31,103129
Mon Aug  3 17:59:43 GMT 2020,31,108906
Mon Aug  3 17:59:43 GMT 2020,31,110588
Mon Aug  3 17:59:44 GMT 2020,31,112809
Mon Aug  3 17:59:44 GMT 2020,31,113719
Mon Aug  3 17:59:45 GMT 2020,31,114707
Mon Aug  3 17:59:46 GMT 2020,31,114707
Mon Aug  3 17:59:46 GMT 2020,31,114707
Mon Aug  3 17:59:47 GMT 2020,31,114760
Mon Aug  3 17:59:47 GMT 2020,0,114508
Mon Aug  3 17:59:48 GMT 2020,0,114514
Mon Aug  3 17:59:49 GMT 2020,0,101963
Mon Aug  3 17:59:49 GMT 2020,0,122493
Mon Aug  3 17:59:50 GMT 2020,0,122493
Mon Aug  3 17:59:51 GMT 2020,0,122493
Mon Aug  3 17:59:51 GMT 2020,0,122493
Mon Aug  3 17:59:52 GMT 2020,0,122493
Mon Aug  3 17:59:53 GMT 2020,0,121276
Mon Aug  3 17:59:53 GMT 2020,30,87397
Mon Aug  3 17:59:54 GMT 2020,30,86585
Mon Aug  3 17:59:54 GMT 2020,30,86584
Mon Aug  3 17:59:55 GMT 2020,30,120245
Mon Aug  3 17:59:56 GMT 2020,30,121936
Mon Aug  3 17:59:56 GMT 2020,30,122004
Mon Aug  3 17:59:57 GMT 2020,30,122004
Mon Aug  3 17:59:57 GMT 2020,30,122000
Mon Aug  3 17:59:58 GMT 2020,30,118680
Mon Aug  3 17:59:59 GMT 2020,30,118696
Mon Aug  3 17:59:59 GMT 2020,30,118700
Mon Aug  3 18:00:00 GMT 2020,26,118649
Mon Aug  3 18:00:00 GMT 2020,26,83922
Mon Aug  3 18:00:01 GMT 2020,26,83602
Mon Aug  3 18:00:01 GMT 2020,26,83601
Mon Aug  3 18:00:02 GMT 2020,26,100245
Mon Aug  3 18:00:03 GMT 2020,26,119370
Mon Aug  3 18:00:03 GMT 2020,26,119571
Mon Aug  3 18:00:04 GMT 2020,26,119483
Mon Aug  3 18:00:04 GMT 2020,26,119498
Mon Aug  3 18:00:05 GMT 2020,30,85663
Mon Aug  3 18:00:06 GMT 2020,30,85067
Mon Aug  3 18:00:06 GMT 2020,30,85067
Mon Aug  3 18:00:07 GMT 2020,30,118824
Mon Aug  3 18:00:07 GMT 2020,30,119853
Mon Aug  3 18:00:08 GMT 2020,30,119817
Mon Aug  3 18:00:08 GMT 2020,30,119493
Mon Aug  3 18:00:09 GMT 2020,30,119509
Mon Aug  3 18:00:10 GMT 2020,30,119513
Mon Aug  3 18:00:10 GMT 2020,30,119517
Mon Aug  3 18:00:11 GMT 2020,30,119521
Mon Aug  3 18:00:11 GMT 2020,30,119517
Mon Aug  3 18:00:12 GMT 2020,25,85317
