Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
13,2439632,14,1306377,0,13,29
114,2438660,114,1306377,0,113,12
214,2439724,214,1306377,0,213,16
315,2439528,315,1306377,0,314,19
415,2439492,416,1306377,0,415,7
517,2439792,518,1306377,0,516,13
616,2440976,617,1306377,0,616,15
717,2440780,717,1306377,0,716,14
818,2439988,818,1306377,0,817,13
870,2436460,871,1306377,0,869,0
971,2437796,972,1306377,0,970,20
1075,2437732,1076,1306377,0,1072,14
1171,2437576,1171,1306377,0,1170,17
1273,2437576,1273,1306377,0,1272,1
1372,2437924,1373,1306377,0,1371,16
1473,2438844,1474,1306377,0,1472,18
1572,2438844,1573,1306377,0,1572,16
1674,2437860,1674,1306377,0,1673,6
1774,2438468,1775,1306377,0,1773,16
1874,2438272,1874,1306377,0,1873,17
1974,2438044,1975,1306377,0,1974,20
2074,2437808,2075,1306377,0,2074,2
2176,2438268,2177,1306377,0,2175,17
2276,2437900,2276,1306377,0,2275,15
2376,2438112,2377,1306377,0,2376,16
2479,2437576,2480,1306377,0,2477,7
2579,2438040,2579,1306377,0,2578,29
2679,2438392,2679,1306377,0,2678,13
2779,2438392,2779,1306377,0,2778,16
2879,2437804,2880,1306377,0,2879,4
2981,2438324,2981,1306377,0,2980,12
3081,2457520,3081,1306377,0,3080,27
3180,2454932,3181,1306377,0,3180,27
3281,2437040,3281,1306377,0,3280,10
3382,2437240,3383,1306377,0,3381,11
3483,2437772,3483,1306377,0,3482,16
3583,2437380,3583,1306377,0,3582,17
3683,2437152,3683,1306377,0,3682,4
3784,2438236,3785,1306377,0,3784,29
3885,2438488,3885,1306377,0,3884,30
3984,2438396,3985,1306377,0,3984,27
4086,2438892,4087,1306377,0,4085,16
4185,2440108,4186,1306377,0,4185,29
4286,2440980,4286,1306377,0,4285,26
4391,2441724,4392,1306377,0,4387,16
4487,2441744,4487,1306377,0,4486,46
4587,2439308,4588,1306377,0,4587,23
4688,2434200,4688,1306377,0,4687,16
4788,2436532,4788,1306377,0,4787,23
4888,2437276,4889,1306377,0,4888,27
4989,2438112,4989,1306377,0,4988,17
5090,2442304,5090,1306377,0,5089,25
5190,2442560,5190,1306377,0,5189,32
5290,2439072,5290,1306377,0,5290,19
5391,2440060,5391,1306377,0,5390,32
5491,2441172,5492,1306377,0,5491,0
5591,2441324,5592,1306377,0,5591,38
5692,2442096,5692,1306377,0,5692,26
5793,2444600,5794,1306377,0,5792,35
5893,2443800,5893,1306377,0,5892,43
5993,2440540,5994,1306377,0,5993,39
6093,2438668,6094,1306377,0,6093,34
6194,2439992,6194,1306377,0,6193,35
6294,2439996,6295,1306377,0,6294,37
6395,2441124,6395,1306377,0,6394,24
6495,2444160,6495,1306377,0,6494,31
6595,2443244,6596,1306377,0,6595,35
6696,2439108,6696,1306377,0,6695,33
6798,2442088,6799,1306377,0,6797,42
6898,2459956,6898,1306377,0,6897,55
6998,2459668,6998,1306377,0,6997,46
7099,2459428,7100,1306377,0,7098,30
7199,2461780,7200,1306377,0,7198,41
7299,2461172,7299,1306377,0,7298,35
7399,2460820,7400,1306377,0,7399,30
7500,2455180,7501,1306377,0,7499,0
7600,2456156,7601,1306377,0,7600,43
7702,2457460,7702,1306377,0,7701,47
7802,2458800,7803,1306377,0,7801,52
7903,2458652,7903,1306377,0,7902,43
8004,2459652,8005,1306377,0,8002,34
8103,2461816,8103,1306377,0,8102,51
8203,2460764,8203,1306377,0,8202,39
8303,2460952,8304,1306377,0,8303,33
8404,2456320,8404,1306377,0,8403,40
8506,2457996,8506,1306377,0,8504,42
8606,2458560,8606,1306377,0,8604,57
8706,2459404,8706,1306377,0,8705,52
8806,2459024,8807,1306377,0,8805,48
8906,2460136,8907,1306377,0,8905,36
9008,2462448,9008,1306377,0,9006,49
9106,2461132,9107,1306377,0,9106,35
9207,2461424,9208,1306377,0,9206,44
9307,2457952,9308,1306377,0,9306,44
9411,2459468,9413,1306377,0,9409,35
9509,2456884,9510,1306377,0,9508,59
9609,2457628,9610,1306377,0,9608,49
9710,2457784,9711,1306377,0,9709,45
9810,2458616,9811,1306377,0,9809,30
9911,2458708,9911,1306377,0,9910,39
10011,2444580,10011,1306377,0,10010,50
10113,2444400,10114,1306377,0,10112,23
10212,2440176,10213,1306377,0,10211,42
10313,2441352,10314,1306377,0,10312,25
10414,2442956,10414,1306377,0,10413,38
10514,2443760,10515,1306377,0,10513,37
10615,2443660,10615,1306377,0,10613,39
10716,2443848,10717,1306377,0,10714,29
10815,2445496,10816,1306377,0,10814,28
10915,2447020,10915,1306377,0,10914,51
11015,2447140,11015,1306377,0,11014,30
11116,2441844,11116,1306377,0,11115,40
11216,2442292,11216,1306377,0,11215,27
11317,2442888,11317,1306377,0,11316,36
11417,2443292,11418,1306377,0,11416,36
11518,2443344,11518,1306377,0,11517,36
11618,2444516,11618,1306377,0,11617,36
11718,2451028,11718,1306377,0,11717,52
11818,2452892,11818,1306377,0,11817,55
11918,2452780,11918,1306377,0,11917,45
12019,2446828,12020,1306377,0,12018,30
12119,2441096,12119,1306377,0,12118,48
12220,2442372,12221,1306377,0,12219,40
12320,2442640,12321,1306377,0,12319,38
12421,2440768,12421,1306377,0,12420,30
12522,2441004,12523,1306377,0,12521,26
12621,2442096,12622,1306377,0,12621,38
12723,2443148,12723,1306377,0,12722,40
12823,2444532,12823,1306377,0,12822,51
12924,2439224,12925,1306377,0,12923,18
13025,2439380,13028,1306377,0,13024,30
13124,2440556,13125,1306377,0,13123,41
13224,2442860,13225,1306377,0,13223,44
13324,2443360,13325,1306377,0,13324,39
13425,2443692,13425,1306377,0,13424,15
13526,2445260,13526,1306377,0,13525,29
13626,2444968,13626,1306377,0,13625,32
13726,2445148,13726,1306377,0,13725,41
13826,2444704,13827,1306377,0,13826,29
13926,2445280,13927,1306377,0,13926,12
14029,2447828,14030,1306377,0,14029,32
14130,2448152,14131,1306377,0,14129,29
14230,2448152,14231,1306377,0,14229,35
14331,2448796,14331,1306377,0,14330,54
14434,2448460,14436,1306377,0,14432,37
14534,2448716,14534,1306377,0,14532,46
14633,2449936,14633,1306377,0,14632,51
14733,2449928,14734,1306377,0,14732,44
14834,2450184,14836,1306377,0,14833,45
14935,2453120,14936,1306377,0,14934,36
15035,2456068,15036,1306377,0,15034,22
15135,2465368,15135,1306377,0,15134,40
15236,2465796,15236,1306377,0,15235,26
15336,2465796,15336,1306377,0,15335,21
15440,2465808,15441,1306377,0,15438,20
15541,2465216,15542,1306377,0,15539,14
15640,2465588,15641,1306377,0,15639,8
15739,2466556,15739,1306377,0,15738,25
15844,2466708,15846,1306377,0,15841,18
15943,2466560,15944,1306377,0,15941,26
16044,2466408,16045,1306377,0,16041,25
16146,2465968,16148,1306377,0,16143,16
16248,2466216,16251,1306377,0,16245,6
16342,2466980,16343,1306377,0,16341,26
16444,2467004,16445,1306377,0,16442,18
16547,2467004,16549,1306377,0,16545,22
16646,2467004,16647,1306377,0,16644,25
16748,2464416,16749,1306377,0,16746,24
16850,2464820,16851,1306377,0,16847,14
16946,2464792,16946,1306377,0,16945,21
17049,2464712,17050,1306377,0,17047,20
