datetime,cpu,mem
Mon Aug  3 19:36:46 GMT 2020,6,80140
Mon Aug  3 19:36:46 GMT 2020,6,79555
Mon Aug  3 19:36:46 GMT 2020,6,79593
Mon Aug  3 19:36:47 GMT 2020,6,79637
Mon Aug  3 19:36:47 GMT 2020,6,79637
Mon Aug  3 19:36:47 GMT 2020,6,79637
Mon Aug  3 19:36:48 GMT 2020,6,79642
Mon Aug  3 19:36:48 GMT 2020,6,79650
Mon Aug  3 19:36:49 GMT 2020,6,79114
Mon Aug  3 19:36:49 GMT 2020,6,79130
Mon Aug  3 19:36:49 GMT 2020,6,79138
Mon Aug  3 19:36:50 GMT 2020,6,79138
Mon Aug  3 19:36:50 GMT 2020,6,79147
Mon Aug  3 19:36:50 GMT 2020,19,99622
Mon Aug  3 19:36:51 GMT 2020,19,85489
Mon Aug  3 19:36:51 GMT 2020,19,103004
Mon Aug  3 19:36:52 GMT 2020,19,133349
Mon Aug  3 19:36:52 GMT 2020,19,146605
Mon Aug  3 19:36:52 GMT 2020,19,147176
Mon Aug  3 19:36:53 GMT 2020,19,147114
Mon Aug  3 19:36:53 GMT 2020,19,147497
Mon Aug  3 19:36:54 GMT 2020,19,149635
Mon Aug  3 19:36:54 GMT 2020,19,152047
Mon Aug  3 19:36:55 GMT 2020,19,155691
Mon Aug  3 19:36:56 GMT 2020,19,140267
Mon Aug  3 19:36:56 GMT 2020,19,140271
Mon Aug  3 19:36:57 GMT 2020,19,140291
Mon Aug  3 19:36:58 GMT 2020,19,154145
Mon Aug  3 19:36:58 GMT 2020,19,154161
Mon Aug  3 19:36:59 GMT 2020,19,159255
Mon Aug  3 19:37:00 GMT 2020,0,165874
Mon Aug  3 19:37:00 GMT 2020,0,182414
Mon Aug  3 19:37:01 GMT 2020,0,202659
Mon Aug  3 19:37:02 GMT 2020,0,204259
Mon Aug  3 19:37:03 GMT 2020,0,209547
Mon Aug  3 19:37:03 GMT 2020,0,209559
Mon Aug  3 19:37:04 GMT 2020,0,209527
Mon Aug  3 19:37:04 GMT 2020,0,195417
Mon Aug  3 19:37:05 GMT 2020,0,195137
Mon Aug  3 19:37:06 GMT 2020,0,201781
Mon Aug  3 19:37:06 GMT 2020,0,180751
Mon Aug  3 19:37:07 GMT 2020,0,180623
Mon Aug  3 19:37:07 GMT 2020,0,180596
Mon Aug  3 19:37:08 GMT 2020,0,182185
Mon Aug  3 19:37:09 GMT 2020,0,182456
Mon Aug  3 19:37:09 GMT 2020,0,182416
Mon Aug  3 19:37:10 GMT 2020,0,182927
Mon Aug  3 19:37:11 GMT 2020,33,204038
Mon Aug  3 19:37:11 GMT 2020,33,205242
Mon Aug  3 19:37:12 GMT 2020,33,206599
Mon Aug  3 19:37:13 GMT 2020,33,208556
Mon Aug  3 19:37:14 GMT 2020,33,195368
Mon Aug  3 19:37:14 GMT 2020,33,194836
Mon Aug  3 19:37:15 GMT 2020,33,194999
Mon Aug  3 19:37:16 GMT 2020,33,194975
Mon Aug  3 19:37:17 GMT 2020,33,238082
Mon Aug  3 19:37:18 GMT 2020,33,238359
Mon Aug  3 19:37:19 GMT 2020,33,236851
Mon Aug  3 19:37:19 GMT 2020,33,194538
Mon Aug  3 19:37:20 GMT 2020,33,194473
Mon Aug  3 19:37:21 GMT 2020,33,229418
Mon Aug  3 19:37:22 GMT 2020,33,229442
Mon Aug  3 19:37:23 GMT 2020,33,228733
Mon Aug  3 19:37:23 GMT 2020,33,194723
Mon Aug  3 19:37:24 GMT 2020,33,194666
Mon Aug  3 19:37:25 GMT 2020,33,208553
Mon Aug  3 19:37:26 GMT 2020,33,208560
Mon Aug  3 19:37:27 GMT 2020,0.1,213963
Mon Aug  3 19:37:28 GMT 2020,0.1,213940
Mon Aug  3 19:37:29 GMT 2020,0.1,198166
Mon Aug  3 19:37:30 GMT 2020,0.1,198110
Mon Aug  3 19:37:30 GMT 2020,0.1,187305
Mon Aug  3 19:37:31 GMT 2020,0.1,187282
Mon Aug  3 19:37:32 GMT 2020,0.1,187702
Mon Aug  3 19:37:32 GMT 2020,0.1,187662
Mon Aug  3 19:37:33 GMT 2020,0.1,187641
Mon Aug  3 19:37:34 GMT 2020,0.1,206365
Mon Aug  3 19:37:34 GMT 2020,0.1,212141
Mon Aug  3 19:37:35 GMT 2020,0.1,211929
Mon Aug  3 19:37:36 GMT 2020,0.1,212609
Mon Aug  3 19:37:36 GMT 2020,0.1,210561
Mon Aug  3 19:37:37 GMT 2020,0.1,198869
Mon Aug  3 19:37:39 GMT 2020,0.1,198797
Mon Aug  3 19:37:39 GMT 2020,0.1,198879
Mon Aug  3 19:37:40 GMT 2020,0.1,209847
Mon Aug  3 19:37:41 GMT 2020,0.1,210265
Mon Aug  3 19:37:42 GMT 2020,0.1,197019
Mon Aug  3 19:37:43 GMT 2020,45,197549
Mon Aug  3 19:37:44 GMT 2020,45,214465
Mon Aug  3 19:37:45 GMT 2020,45,198637
Mon Aug  3 19:37:46 GMT 2020,45,198593
Mon Aug  3 19:37:46 GMT 2020,45,189570
Mon Aug  3 19:37:47 GMT 2020,45,189595
Mon Aug  3 19:37:48 GMT 2020,45,189621
Mon Aug  3 19:37:48 GMT 2020,45,189592
Mon Aug  3 19:37:49 GMT 2020,45,193808
Mon Aug  3 19:37:50 GMT 2020,45,195890
Mon Aug  3 19:37:50 GMT 2020,45,196258
Mon Aug  3 19:37:51 GMT 2020,45,196190
Mon Aug  3 19:37:52 GMT 2020,45,196190
Mon Aug  3 19:37:53 GMT 2020,45,195910
Mon Aug  3 19:37:53 GMT 2020,45,195897
Mon Aug  3 19:37:54 GMT 2020,42,195803
Mon Aug  3 19:37:55 GMT 2020,42,195930
