Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
16,2367992,17,947950,0,88,16
90,2368284,91,947950,0,187,25
188,2368648,189,947950,0,287,17
288,2369132,288,947950,0,391,17
393,2368336,395,947950,0,489,6
490,2368852,491,947950,0,589,18
591,2369928,591,947950,0,689,17
691,2370032,691,947950,0,790,18
792,2369516,793,947950,0,891,9
893,2369516,894,947950,0,990,16
992,2370840,992,947950,0,1093,16
1095,2370644,1095,947950,0,1194,10
1196,2369936,1198,947950,0,1295,10
1297,2369896,1298,947950,0,1394,22
1395,2369872,1396,947950,0,1496,14
1498,2369676,1499,947950,0,1597,16
1599,2369076,1601,947950,0,1696,12
1701,2369424,1702,947950,0,1796,20
1797,2369732,1797,947950,0,1897,14
1899,2369732,1900,947950,0,1998,8
2000,2368948,2002,947950,0,2100,10
2104,2369452,2106,947950,0,2197,16
2199,2369852,2200,947950,0,2298,15
2299,2369828,2300,947950,0,2401,7
2404,2368996,2406,947950,0,2499,14
2502,2369800,2503,947950,0,2600,17
2601,2370132,2602,947950,0,2702,16
2705,2370132,2706,947950,0,2803,11
2805,2369544,2806,947950,0,2902,10
2904,2369640,2905,947950,0,3002,19
3003,2370604,3004,947950,0,3103,18
3105,2370604,3106,947950,0,3206,8
3210,2370396,3212,947950,0,3304,21
3306,2370744,3306,947950,0,3403,17
3405,2371092,3405,947950,0,3506,17
3509,2371092,3510,947950,0,3608,5
3611,2370496,3612,947950,0,3706,17
3710,2371216,3711,947950,0,3806,36
3807,2371436,3807,947950,0,3906,36
3907,2379488,3908,947950,0,4006,31
4008,2392292,4008,947950,0,4107,39
4108,2392848,4108,947950,0,4207,35
4209,2370684,4209,947950,0,4308,16
4309,2372328,4310,947950,0,4408,26
4409,2368216,4410,947950,0,4510,32
4512,2369484,4512,947950,0,4610,13
4611,2369236,4611,947950,0,4711,27
4714,2370688,4714,947950,0,4811,39
4812,2373008,4812,947950,0,4912,26
4913,2381796,4914,947950,0,5013,30
5014,2397968,5014,947950,0,5113,32
5113,2418632,5114,947950,0,5214,24
5215,2427628,5216,947950,0,5313,32
5314,2410668,5314,947950,0,5414,25
5414,2419504,5414,947950,0,5515,28
5515,2436672,5516,947950,0,5615,37
5615,2414212,5616,947950,0,5715,33
5715,2413308,5715,947950,0,5815,0
5816,2413648,5816,947950,0,5916,40
5917,2414360,5918,947950,0,6016,38
6017,2414112,6017,947950,0,6116,40
6117,2413876,6117,947950,0,6217,30
6217,2413716,6217,947950,0,6317,32
6318,2414596,6319,947950,0,6417,40
6418,2414928,6418,947950,0,6518,38
6518,2414480,6519,947950,0,6618,37
6619,2414116,6619,947950,0,6718,26
6719,2414000,6720,947950,0,6820,39
6821,2415248,6821,947950,0,6920,34
6921,2416144,6922,947950,0,7020,34
7021,2416340,7021,947950,0,7120,33
7121,2416216,7121,947950,0,7221,20
7222,2415824,7223,947950,0,7322,37
7322,2417028,7323,947950,0,7422,35
7422,2419212,7423,947950,0,7522,36
7522,2418648,7523,947950,0,7622,37
7623,2418676,7623,947950,0,7722,28
7723,2418180,7724,947950,0,7823,30
7824,2419276,7825,947950,0,7923,35
7924,2420300,7924,947950,0,8023,37
8024,2420644,8024,947950,0,8124,36
8124,2420656,8125,947950,0,8224,38
8225,2420956,8225,947950,0,8325,19
8325,2420504,8326,947950,0,8425,21
8426,2422308,8426,947950,0,8525,16
8526,2407220,8527,947950,0,8626,18
8627,2406924,8627,947950,0,8726,14
8727,2406924,8728,947950,0,8827,19
8828,2406176,8828,947950,0,8928,9
8929,2406552,8930,947950,0,9028,20
9029,2402960,9030,947950,0,9129,18
9130,2402916,9131,947950,0,9229,19
9230,2402792,9231,947950,0,9330,18
9331,2402788,9332,947950,0,9431,18
9431,2402108,9432,947950,0,9531,1
9532,2402072,9533,947950,0,9632,18
9633,2402868,9634,947950,0,9733,16
9734,2403032,9734,947950,0,9833,17
9834,2402588,9834,947950,0,9933,18
9934,2402588,9935,947950,0,10034,17
10035,2402588,10035,947950,0,10135,5
10135,2402148,10136,947950,0,10236,10
10237,2402404,10237,947950,0,10335,17
10336,2403368,10337,947950,0,10436,22
10437,2403760,10437,947950,0,10540,28
10542,2404456,10543,947950,0,10640,33
10642,2404952,10643,947950,0,10741,21
10744,2405252,10746,947950,0,10839,32
10840,2407016,10841,947950,0,10939,37
10940,2408748,10941,947950,0,11040,41
11042,2406972,11042,947950,0,11139,35
11141,2404724,11141,947950,0,11240,23
11240,2404516,11241,947950,0,11341,11
11343,2404072,11344,947950,0,11441,29
11442,2404672,11443,947950,0,11541,24
11542,2404920,11542,947950,0,11641,26
11643,2404920,11643,947950,0,11742,34
11743,2404920,11743,947950,0,11842,21
11843,2401364,11844,947950,0,11943,3
11945,2400624,11945,947950,0,12043,11
12045,2401296,12045,947950,0,12146,18
12147,2401528,12148,947950,0,12243,32
12244,2402780,12245,947950,0,12344,30
12345,2403204,12345,947950,0,12444,30
12445,2403900,12445,947950,0,12545,17
12546,2403760,12547,947950,0,12645,37
12646,2405604,12646,947950,0,12745,33
12746,2405668,12747,947950,0,12846,0
12847,2408620,12847,947950,0,12946,49
12948,2401988,12949,947950,0,13047,55
13048,2404100,13048,947950,0,13147,50
13148,2404608,13148,947950,0,13247,49
13248,2411136,13249,947950,0,13348,26
13349,2413276,13350,947950,0,13448,37
13450,2414212,13450,947950,0,13548,42
13550,2414924,13550,947950,0,13649,38
13650,2415220,13651,947950,0,13749,45
13751,2416120,13752,947950,0,13850,25
13852,2415772,13852,947950,0,13950,39
13951,2417548,13952,947950,0,14050,32
14052,2418012,14053,947950,0,14151,40
14152,2418436,14153,947950,0,14253,50
14255,2418896,14256,947950,0,14353,54
14355,2418944,14355,947950,0,14454,50
14457,2419296,14458,947950,0,14553,46
14554,2419792,14555,947950,0,14655,37
14657,2420928,14657,947950,0,14756,50
14761,2421676,14762,947950,0,14856,59
14856,2421780,14857,947950,0,14959,35
14960,2422556,14960,947950,0,15057,40
15057,2422300,15058,947950,0,15160,22
15161,2422152,15163,947950,0,15261,27
15263,2421744,15265,947950,0,15359,29
15361,2421964,15362,947950,0,15459,42
15461,2423044,15461,947950,0,15561,32
15562,2423044,15563,947950,0,15662,19
15664,2422896,15665,947950,0,15763,21
15764,2422896,15766,947950,0,15863,23
15867,2422492,15868,947950,0,15966,20
15969,2421408,15970,947950,0,16065,43
16068,2421612,16069,947950,0,16163,42
16165,2422584,16166,947950,0,16263,19
16264,2422900,16265,947950,0,16365,21
16366,2422868,16367,947950,0,16466,22
16468,2423116,16469,947950,0,16567,12
16572,2422228,16575,947950,0,16667,16
16670,2422720,16671,947950,0,16766,20
16767,2423296,16768,947950,0,16868,22
16870,2423296,16871,947950,0,16967,33
16967,2424200,16968,947950,0,17067,37
17068,2424740,17069,947950,0,17171,43
17174,2424692,17175,947950,0,17272,22
17275,2425152,17277,947950,0,17371,43
17372,2425756,17372,947950,0,17471,37
17472,2426984,17472,947950,0,17574,40
17576,2428312,17577,947950,0,17672,55
17673,2427108,17673,1077833,129883,17772,27
17773,2427408,17773,1077833,129883,17873,15
17873,2421900,17874,1077833,129883,17973,29
17974,2422508,17974,1077833,129883,18074,32
18074,2422980,18075,1077833,129883,18174,19
18174,2423028,18175,1077833,129883,18274,22
18275,2422840,18276,1077833,129883,18374,15
18375,2422348,18376,1077833,129883,18475,15
18476,2422572,18477,1077833,129883,18576,20
18577,2423728,18577,1077833,129883,18678,18
18680,2423728,18681,1077833,129883,18776,31
18777,2422048,18777,1077833,129883,18876,33
18877,2422000,18878,1077833,129883,18977,27
