STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",777968,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45625,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",510052,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46979,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",269479,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52708,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",336510,1,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",95677,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",302812,1,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57760,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",354271,1,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62188,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",4377083,1,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52969,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",913073,1,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55989,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2786979,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69167,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1537344,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57917,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",541406,1,1,4,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61250,0,0,0,True
