Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
60,2472960,60,0,0,33,11
133,2473232,134,0,0,133,26
234,2469356,235,0,0,233,23
340,2469032,341,0,0,337,5
438,2469940,439,0,0,435,25
536,2470688,537,0,0,535,36
637,2470260,638,0,0,636,22
739,2470552,740,0,0,737,15
788,2470872,789,0,0,786,21
887,2471436,888,0,0,886,25
989,2471560,990,0,0,988,24
1093,2470524,1095,0,0,1091,7
1190,2471564,1191,0,0,1189,15
1290,2471380,1291,0,0,1289,14
1393,2471380,1395,0,0,1391,17
1497,2470988,1498,0,0,1492,9
1595,2471032,1595,0,0,1592,12
1692,2471328,1693,0,0,1691,18
1793,2471412,1793,0,0,1791,14
1898,2470708,1899,0,0,1895,8
1995,2470808,1995,0,0,1993,10
2095,2471572,2095,0,0,2094,24
2196,2471900,2197,0,0,2194,23
2300,2471556,2302,0,0,2297,13
2399,2470968,2400,0,0,2395,0
2496,2472000,2496,0,0,2495,23
2598,2472000,2599,0,0,2596,20
2699,2471260,2700,0,0,2697,16
2803,2471360,2805,0,0,2800,3
2899,2471744,2899,0,0,2897,17
3000,2471896,3001,0,0,2998,16
3101,2472048,3103,0,0,3100,17
3205,2471384,3206,0,0,3202,6
3302,2471644,3303,0,0,3300,14
3403,2471760,3404,0,0,3401,17
3504,2471848,3506,0,0,3502,19
3607,2471336,3609,0,0,3604,13
3704,2471920,3705,0,0,3703,28
3803,2472384,3804,0,0,3802,31
3903,2473224,3904,0,0,3903,28
4009,2473528,4011,0,0,4006,21
4105,2475208,4106,0,0,4104,47
4209,2475544,4211,0,0,4207,35
4307,2477112,4308,0,0,4305,36
4405,2477252,4406,0,0,4404,21
4506,2487144,4507,0,0,4506,36
4606,2493320,4607,0,0,4605,39
4707,2491444,4707,0,0,4706,33
4807,2470428,4808,0,0,4806,17
4907,2470492,4907,0,0,4906,17
5007,2470604,5007,0,0,5006,16
5107,2470456,5108,0,0,5107,5
5208,2470644,5209,0,0,5207,12
5308,2471508,5309,0,0,5308,17
5408,2471508,5409,0,0,5408,15
5509,2470972,5509,0,0,5508,10
5610,2471080,5610,0,0,5609,12
5709,2472960,5710,0,0,5709,34
5810,2473704,5810,0,0,5809,30
5910,2473624,5911,0,0,5910,21
6010,2474468,6011,0,0,6010,26
6111,2476744,6111,0,0,6110,32
6211,2476316,6212,0,0,6211,29
6311,2475712,6312,0,0,6311,17
6412,2471640,6413,0,0,6412,23
6512,2473232,6513,0,0,6512,40
6613,2473964,6613,0,0,6612,35
6713,2474400,6713,0,0,6712,24
6813,2476944,6814,0,0,6813,36
6915,2477344,6916,0,0,6913,36
7014,2477668,7014,0,0,7013,30
7115,2472476,7115,0,0,7114,8
7215,2471880,7215,0,0,7214,32
7315,2474160,7315,0,0,7314,36
7416,2475200,7416,0,0,7415,35
7516,2475788,7517,0,0,7516,17
7619,2476104,7620,0,0,7618,31
7718,2476312,7719,1982115,1982115,7718,19
7819,2476028,7819,1982115,1982115,7818,20
7920,2475052,7920,1982115,1982115,7919,5
8020,2476004,8021,1982115,1982115,8019,13
8120,2476792,8120,1982115,1982115,8119,25
8220,2477536,8220,1982115,1982115,8219,30
8320,2477440,8321,1982115,1982115,8319,21
8423,2478708,8423,1982115,1982115,8421,26
8521,2480168,8522,1982115,1982115,8520,28
8622,2481964,8622,1982115,1982115,8621,34
8722,2480368,8723,1982115,1982115,8721,27
8823,2476764,8824,1982115,1982115,8822,12
8923,2478096,8923,1982115,1982115,8922,30
9023,2479080,9023,1982115,1982115,9022,30
9123,2479760,9123,1982115,1982115,9122,26
9223,2481012,9224,1982115,1982115,9222,34
9324,2483284,9324,1982115,1982115,9323,30
9424,2483220,9424,1982115,1982115,9423,35
9525,2484736,9525,1982115,1982115,9524,23
9626,2480268,9626,1982115,1982115,9624,29
9725,2481960,9726,1982115,1982115,9725,49
9826,2482564,9826,1982115,1982115,9825,44
9927,2482988,9927,1982115,1982115,9926,29
10027,2484864,10028,1982115,1982115,10026,43
10128,2486568,10128,1982115,1982115,10127,37
10227,2484716,10228,1982115,1982115,10227,53
10328,2485016,10328,1982115,1982115,10327,27
10428,2480980,10429,1982115,1982115,10428,0
10529,2482780,10530,1982115,1982115,10528,52
10629,2483228,10630,1982115,1982115,10629,41
10730,2483972,10731,1982115,1982115,10729,38
10831,2483776,10832,1982115,1982115,10830,19
10931,2485956,10931,1982115,1982115,10930,33
11031,2487480,11031,1982115,1982115,11030,39
11131,2487676,11131,1982115,1982115,11130,33
11231,2482052,11232,1982115,1982115,11230,15
11333,2482280,11333,1982115,1982115,11332,9
11433,2482544,11433,1982115,1982115,11432,19
11533,2482544,11533,1982115,1982115,11532,21
11633,2480976,11633,1982115,1982115,11632,28
11733,2481000,11734,1982115,1982115,11732,12
11833,2480936,11834,1982115,1982115,11833,10
11933,2480736,11934,1982115,1982115,11933,18
12034,2480924,12034,1982115,1982115,12033,22
12134,2480924,12135,1982115,1982115,12133,20
12236,2480436,12237,1982115,1982115,12235,9
12335,2481744,12335,1982115,1982115,12334,39
