datetime,cpu,mem
Mon Aug  3 16:59:39 GMT 2020,0,113370
Mon Aug  3 16:59:39 GMT 2020,0,117769
Mon Aug  3 16:59:40 GMT 2020,0,118857
Mon Aug  3 16:59:40 GMT 2020,0,118665
Mon Aug  3 16:59:41 GMT 2020,0,118653
Mon Aug  3 16:59:41 GMT 2020,0,118677
Mon Aug  3 16:59:42 GMT 2020,0,118673
Mon Aug  3 16:59:42 GMT 2020,0,117486
Mon Aug  3 16:59:43 GMT 2020,0,117502
Mon Aug  3 16:59:43 GMT 2020,0,117506
Mon Aug  3 16:59:44 GMT 2020,0,117517
Mon Aug  3 16:59:44 GMT 2020,0,122937
Mon Aug  3 16:59:44 GMT 2020,0,123543
Mon Aug  3 16:59:45 GMT 2020,0,124135
Mon Aug  3 16:59:45 GMT 2020,0,125065
Mon Aug  3 16:59:46 GMT 2020,0,107869
Mon Aug  3 16:59:46 GMT 2020,0,126919
Mon Aug  3 16:59:47 GMT 2020,0,131655
Mon Aug  3 16:59:47 GMT 2020,0,129987
Mon Aug  3 16:59:48 GMT 2020,0,130003
Mon Aug  3 16:59:49 GMT 2020,0,130007
Mon Aug  3 16:59:49 GMT 2020,0,130003
Mon Aug  3 16:59:50 GMT 2020,0,137802
Mon Aug  3 16:59:51 GMT 2020,0,155294
Mon Aug  3 16:59:51 GMT 2020,0,180966
Mon Aug  3 16:59:52 GMT 2020,0,194410
Mon Aug  3 16:59:52 GMT 2020,0,202375
Mon Aug  3 16:59:53 GMT 2020,0,204784
Mon Aug  3 16:59:54 GMT 2020,42,261071
Mon Aug  3 16:59:54 GMT 2020,42,264691
Mon Aug  3 16:59:55 GMT 2020,42,263311
Mon Aug  3 16:59:56 GMT 2020,42,251263
Mon Aug  3 16:59:56 GMT 2020,42,251013
Mon Aug  3 16:59:57 GMT 2020,42,257271
Mon Aug  3 16:59:58 GMT 2020,42,267448
Mon Aug  3 16:59:59 GMT 2020,42,267311
Mon Aug  3 17:00:00 GMT 2020,0.1,266623
Mon Aug  3 17:00:01 GMT 2020,0.1,258728
Mon Aug  3 17:00:02 GMT 2020,0.1,259711
Mon Aug  3 17:00:02 GMT 2020,0.1,209906
Mon Aug  3 17:00:03 GMT 2020,0.1,209023
Mon Aug  3 17:00:04 GMT 2020,0.1,226602
Mon Aug  3 17:00:05 GMT 2020,0.1,228626
Mon Aug  3 17:00:05 GMT 2020,0.1,234567
Mon Aug  3 17:00:06 GMT 2020,48,242227
Mon Aug  3 17:00:07 GMT 2020,48,244765
Mon Aug  3 17:00:08 GMT 2020,48,251023
Mon Aug  3 17:00:09 GMT 2020,48,255299
Mon Aug  3 17:00:10 GMT 2020,48,260718
Mon Aug  3 17:00:11 GMT 2020,48,261270
Mon Aug  3 17:00:12 GMT 2020,77,260359
Mon Aug  3 17:00:13 GMT 2020,77,258159
Mon Aug  3 17:00:14 GMT 2020,77,211703
Mon Aug  3 17:00:15 GMT 2020,77,207423
Mon Aug  3 17:00:16 GMT 2020,77,241158
Mon Aug  3 17:00:17 GMT 2020,77,244253
Mon Aug  3 17:00:18 GMT 2020,65,250171
Mon Aug  3 17:00:19 GMT 2020,65,247987
Mon Aug  3 17:00:20 GMT 2020,65,248054
Mon Aug  3 17:00:21 GMT 2020,65,247919
Mon Aug  3 17:00:22 GMT 2020,65,253275
Mon Aug  3 17:00:23 GMT 2020,68,256452
Mon Aug  3 17:00:24 GMT 2020,68,250734
Mon Aug  3 17:00:25 GMT 2020,68,250510
Mon Aug  3 17:00:26 GMT 2020,68,217904
Mon Aug  3 17:00:27 GMT 2020,68,212738
Mon Aug  3 17:00:28 GMT 2020,59,246247
Mon Aug  3 17:00:29 GMT 2020,59,242763
Mon Aug  3 17:00:30 GMT 2020,59,255808
Mon Aug  3 17:00:31 GMT 2020,59,259350
Mon Aug  3 17:00:32 GMT 2020,59,265442
Mon Aug  3 17:00:33 GMT 2020,75,307739
Mon Aug  3 17:00:34 GMT 2020,75,315277
Mon Aug  3 17:00:35 GMT 2020,75,297136
Mon Aug  3 17:00:36 GMT 2020,75,292119
Mon Aug  3 17:00:37 GMT 2020,75,291664
Mon Aug  3 17:00:38 GMT 2020,69,291327
Mon Aug  3 17:00:39 GMT 2020,69,225676
Mon Aug  3 17:00:40 GMT 2020,69,224579
Mon Aug  3 17:00:41 GMT 2020,69,241640
Mon Aug  3 17:00:42 GMT 2020,69,239434
Mon Aug  3 17:00:43 GMT 2020,55,257080
Mon Aug  3 17:00:43 GMT 2020,55,257078
Mon Aug  3 17:00:44 GMT 2020,55,257549
Mon Aug  3 17:00:45 GMT 2020,55,259165
Mon Aug  3 17:00:46 GMT 2020,55,258609
Mon Aug  3 17:00:47 GMT 2020,53,246883
Mon Aug  3 17:00:48 GMT 2020,53,247490
Mon Aug  3 17:00:49 GMT 2020,53,254058
Mon Aug  3 17:00:50 GMT 2020,53,258512
Mon Aug  3 17:00:51 GMT 2020,53,261956
Mon Aug  3 17:00:52 GMT 2020,73,307132
Mon Aug  3 17:00:53 GMT 2020,73,306198
Mon Aug  3 17:00:54 GMT 2020,73,221715
Mon Aug  3 17:00:55 GMT 2020,73,221564
Mon Aug  3 17:00:56 GMT 2020,73,239055
Mon Aug  3 17:00:57 GMT 2020,73,237894
Mon Aug  3 17:00:58 GMT 2020,54,254427
Mon Aug  3 17:00:59 GMT 2020,54,255345
Mon Aug  3 17:01:00 GMT 2020,54,237921
Mon Aug  3 17:01:01 GMT 2020,54,237458
Mon Aug  3 17:01:02 GMT 2020,54,254313
Mon Aug  3 17:01:03 GMT 2020,56,239093
Mon Aug  3 17:01:03 GMT 2020,56,234333
Mon Aug  3 17:01:04 GMT 2020,56,238019
Mon Aug  3 17:01:05 GMT 2020,56,238374
Mon Aug  3 17:01:06 GMT 2020,56,238446
Mon Aug  3 17:01:07 GMT 2020,61,238404
Mon Aug  3 17:01:08 GMT 2020,61,221988
Mon Aug  3 17:01:09 GMT 2020,61,243038
Mon Aug  3 17:01:10 GMT 2020,61,242314
Mon Aug  3 17:01:11 GMT 2020,61,242310
Mon Aug  3 17:01:13 GMT 2020,49,242296
Mon Aug  3 17:01:14 GMT 2020,49,223318
Mon Aug  3 17:01:15 GMT 2020,49,245930
Mon Aug  3 17:01:16 GMT 2020,49,248825
Mon Aug  3 17:01:17 GMT 2020,49,267522
Mon Aug  3 17:01:18 GMT 2020,71,272612
Mon Aug  3 17:01:19 GMT 2020,71,283126
Mon Aug  3 17:01:20 GMT 2020,71,279446
Mon Aug  3 17:01:21 GMT 2020,71,277938
Mon Aug  3 17:01:22 GMT 2020,71,278450
Mon Aug  3 17:01:23 GMT 2020,57,278258
Mon Aug  3 17:01:24 GMT 2020,57,241876
Mon Aug  3 17:01:25 GMT 2020,57,258481
Mon Aug  3 17:01:26 GMT 2020,57,266114
Mon Aug  3 17:01:27 GMT 2020,57,269308
Mon Aug  3 17:01:28 GMT 2020,67,284732
Mon Aug  3 17:01:29 GMT 2020,67,293921
Mon Aug  3 17:01:30 GMT 2020,67,294567
Mon Aug  3 17:01:32 GMT 2020,67,290573
Mon Aug  3 17:01:33 GMT 2020,62,289689
Mon Aug  3 17:01:34 GMT 2020,62,289345
Mon Aug  3 17:01:35 GMT 2020,62,289689
Mon Aug  3 17:01:36 GMT 2020,62,269419
Mon Aug  3 17:01:37 GMT 2020,62,246176
Mon Aug  3 17:01:38 GMT 2020,52,263087
Mon Aug  3 17:01:39 GMT 2020,52,262109
Mon Aug  3 17:01:40 GMT 2020,52,262083
Mon Aug  3 17:01:41 GMT 2020,52,262053
Mon Aug  3 17:01:42 GMT 2020,52,227779
Mon Aug  3 17:01:43 GMT 2020,47,226645
Mon Aug  3 17:01:44 GMT 2020,47,242860
Mon Aug  3 17:01:45 GMT 2020,47,236094
Mon Aug  3 17:01:46 GMT 2020,47,253724
Mon Aug  3 17:01:47 GMT 2020,47,254045
Mon Aug  3 17:01:48 GMT 2020,56,254202
Mon Aug  3 17:01:49 GMT 2020,56,254436
Mon Aug  3 17:01:50 GMT 2020,56,253657
Mon Aug  3 17:01:51 GMT 2020,56,256977
Mon Aug  3 17:01:52 GMT 2020,56,256533
Mon Aug  3 17:01:53 GMT 2020,51,256513
Mon Aug  3 17:01:54 GMT 2020,51,273469
Mon Aug  3 17:01:55 GMT 2020,51,256793
Mon Aug  3 17:01:56 GMT 2020,51,266265
Mon Aug  3 17:01:57 GMT 2020,51,269865
Mon Aug  3 17:01:58 GMT 2020,56,273486
Mon Aug  3 17:01:59 GMT 2020,56,297274
Mon Aug  3 17:02:01 GMT 2020,56,311159
Mon Aug  3 17:02:02 GMT 2020,56,305783
Mon Aug  3 17:02:03 GMT 2020,92,304370
Mon Aug  3 17:02:05 GMT 2020,92,283012
Mon Aug  3 17:02:06 GMT 2020,92,271151
Mon Aug  3 17:02:07 GMT 2020,92,270658
Mon Aug  3 17:02:08 GMT 2020,78,285658
Mon Aug  3 17:02:09 GMT 2020,78,308302
Mon Aug  3 17:02:10 GMT 2020,78,310158
Mon Aug  3 17:02:11 GMT 2020,78,313667
Mon Aug  3 17:02:12 GMT 2020,78,317411
Mon Aug  3 17:02:13 GMT 2020,79,321759
Mon Aug  3 17:02:14 GMT 2020,79,320600
Mon Aug  3 17:02:16 GMT 2020,79,318942
Mon Aug  3 17:02:17 GMT 2020,79,311815
Mon Aug  3 17:02:18 GMT 2020,65,313655
Mon Aug  3 17:02:19 GMT 2020,65,315214
Mon Aug  3 17:02:21 GMT 2020,65,330104
Mon Aug  3 17:02:22 GMT 2020,65,266309
Mon Aug  3 17:02:23 GMT 2020,82,265129
Mon Aug  3 17:02:24 GMT 2020,82,259674
Mon Aug  3 17:02:25 GMT 2020,82,276178
Mon Aug  3 17:02:26 GMT 2020,82,276998
Mon Aug  3 17:02:27 GMT 2020,82,260290
Mon Aug  3 17:02:28 GMT 2020,57,279670
Mon Aug  3 17:02:29 GMT 2020,57,279046
Mon Aug  3 17:02:30 GMT 2020,57,275879
Mon Aug  3 17:02:31 GMT 2020,57,275353
Mon Aug  3 17:02:32 GMT 2020,57,276158
Mon Aug  3 17:02:34 GMT 2020,60,293653
Mon Aug  3 17:02:35 GMT 2020,60,297689
Mon Aug  3 17:02:36 GMT 2020,60,302382
Mon Aug  3 17:02:37 GMT 2020,60,271600
Mon Aug  3 17:02:38 GMT 2020,80,268197
Mon Aug  3 17:02:39 GMT 2020,80,268376
Mon Aug  3 17:02:40 GMT 2020,80,267542
Mon Aug  3 17:02:41 GMT 2020,80,267572
