STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",263646,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56979,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45052,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1311927,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50468,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1386458,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47813,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2431302,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1875833,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55729,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55573,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76302,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48438,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75938,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",105521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2018802,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50208,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",103698,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69271,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58854,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",6473750,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",137031,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2630781,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",3382761,2,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58281,0,0,0,True
