Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
47,2388636,48,0,0,29,22
132,2387852,133,0,0,130,23
232,2387572,232,0,0,230,26
336,2388640,336,0,0,332,15
436,2388640,437,0,0,433,18
538,2387700,540,0,0,535,12
593,2387680,595,0,0,585,17
688,2388900,689,0,0,685,23
787,2389036,788,0,0,785,0
891,2389036,893,0,0,888,21
988,2389280,989,0,0,986,27
1093,2388812,1095,0,0,1089,5
1192,2389416,1194,0,0,1189,13
1290,2389888,1291,0,0,1288,18
1393,2389740,1394,0,0,1390,21
1495,2387724,1496,0,0,1492,21
1592,2386780,1593,0,0,1591,15
1693,2386748,1695,0,0,1692,10
1791,2387400,1792,0,0,1791,22
1894,2387400,1895,0,0,1892,18
1996,2387400,1997,0,0,1994,19
2099,2387008,2101,0,0,2096,18
2199,2387212,2201,509377,509377,2195,9
2294,2388908,2295,509377,509377,2294,27
2395,2388908,2395,509377,509377,2394,17
2499,2387872,2500,509377,509377,2497,18
2601,2386496,2603,509377,509377,2599,8
2697,2387036,2698,509377,509377,2696,14
2798,2387664,2798,509377,509377,2797,15
2901,2387664,2902,509377,509377,2899,20
3001,2387664,3002,509377,509377,2999,16
3104,2386776,3105,509377,509377,3101,5
3201,2387792,3202,509377,509377,3199,20
3300,2388368,3300,509377,509377,3299,16
3400,2388368,3401,509377,509377,3399,14
3504,2388368,3505,509377,509377,3502,19
3606,2387496,3608,509377,509377,3604,5
3708,2389048,3710,509377,509377,3707,20
3804,2389288,3805,509377,509377,3803,32
3906,2397180,3907,509377,509377,3903,38
4004,2401084,4005,509377,509377,4004,42
4105,2408832,4106,509377,509377,4104,33
4206,2389144,4206,509377,509377,4205,32
4310,2389144,4311,509377,509377,4308,35
4410,2391512,4411,509377,509377,4408,32
4507,2394188,4508,509377,509377,4506,31
4607,2396176,4607,509377,509377,4606,25
4707,2392220,4707,509377,509377,4706,40
4808,2392932,4808,509377,509377,4807,45
4908,2392932,4908,509377,509377,4907,33
5008,2395168,5008,509377,509377,5007,40
5108,2396608,5109,509377,509377,5108,39
5209,2395872,5209,509377,509377,5208,38
5309,2396192,5309,509377,509377,5308,23
5410,2391736,5410,509377,509377,5409,28
5510,2391676,5511,509377,509377,5509,26
5610,2393684,5610,509377,509377,5609,31
5711,2393412,5711,509377,509377,5710,30
5811,2393988,5811,509377,509377,5810,8
5913,2395420,5914,509377,509377,5912,26
6012,2392128,6012,509377,509377,6011,39
6112,2365516,6113,509377,509377,6111,34
6213,2365408,6213,509377,509377,6212,29
6313,2366204,6314,509377,509377,6313,24
6414,2367892,6414,509377,509377,6413,22
6514,2368060,6515,509377,509377,6513,28
6615,2368424,6615,509377,509377,6614,26
6715,2367804,6715,509377,509377,6714,4
6816,2368916,6816,509377,509377,6815,0
6926,2369240,6927,509377,509377,6926,26
7027,2369636,7028,509377,509377,7026,54
7127,2371816,7128,509377,509377,7126,46
7229,2381756,7229,509377,509377,7227,30
7329,2404472,7329,509377,509377,7328,22
7429,2405344,7430,509377,509377,7428,28
7532,2404428,7533,509377,509377,7530,29
7634,2404396,7635,509377,509377,7631,23
7735,2404208,7737,509377,509377,7732,24
7833,2404848,7834,509377,509377,7831,27
7932,2406408,7932,509377,509377,7931,27
8034,2407472,8034,509377,509377,8032,26
8135,2407176,8137,509377,509377,8132,20
8234,2407176,8235,509377,509377,8233,20
8345,2407376,8347,509377,509377,8335,21
8434,2404860,8435,509377,509377,8433,25
8536,2404552,8537,509377,509377,8534,14
8635,2405388,8636,509377,509377,8634,21
8740,2405388,8742,509377,509377,8737,24
8842,2405360,8844,509377,509377,8838,22
8940,2405360,8942,509377,509377,8938,20
9040,2405360,9042,509377,509377,9038,22
9143,2404500,9145,509377,509377,9139,6
9239,2405028,9240,509377,509377,9238,16
9341,2405492,9341,509377,509377,9339,19
9440,2406204,9440,509377,509377,9438,31
9539,2406452,9540,509377,509377,9538,35
9643,2406880,9644,509377,509377,9641,38
9744,2406932,9745,509377,509377,9742,30
9847,2407924,9848,509377,509377,9845,31
9941,2408472,9942,509377,509377,9940,44
10046,2410024,10048,509377,509377,10044,37
10142,2409620,10143,509377,509377,10141,58
10243,2410384,10243,509377,509377,10242,35
10343,2404760,10344,509377,509377,10342,20
10444,2404612,10444,509377,509377,10443,13
10544,2407272,10545,509377,509377,10543,40
10644,2409036,10645,509377,509377,10643,50
10744,2410708,10745,509377,509377,10743,50
10845,2411076,10846,509377,509377,10844,53
10945,2413948,10946,509377,509377,10944,56
11049,2415852,11051,509377,509377,11047,42
11146,2391284,11147,509377,509377,11145,61
11249,2391536,11252,509377,509377,11247,29
11349,2391828,11350,509377,509377,11347,37
11448,2391740,11449,509377,509377,11447,35
11549,2392280,11550,509377,509377,11548,32
11649,2395540,11650,509377,509377,11648,61
11751,2398544,11751,509377,509377,11749,42
11857,2401524,11858,509377,509377,11851,36
11952,2403100,11952,509377,509377,11951,49
12053,2405380,12053,509377,509377,12051,61
12153,2408372,12155,509377,509377,12151,58
12253,2411580,12254,509377,509377,12252,75
12354,2415952,12355,509377,509377,12353,86
12454,2414008,12455,509377,509377,12453,77
12555,2414388,12556,509377,509377,12554,94
12656,2415616,12656,509377,509377,12655,70
12756,2416800,12756,509377,509377,12755,54
12856,2416748,12857,509377,509377,12855,53
12957,2417440,12958,509377,509377,12956,34
13058,2418904,13059,509377,509377,13056,42
13161,2419152,13162,509377,509377,13159,52
13260,2419680,13261,509377,509377,13259,62
13361,2419780,13362,509377,509377,13360,56
13461,2413568,13462,509377,509377,13460,47
13561,2413360,13562,509377,509377,13560,30
13662,2414900,13662,509377,509377,13661,62
13762,2418012,13763,509377,509377,13761,58
13862,2449172,13863,509377,509377,13861,68
13962,2455456,13963,509377,509377,13962,58
14063,2472032,14064,509377,509377,14063,60
14164,2490988,14164,509377,509377,14163,60
14263,2541696,14264,509377,509377,14263,68
14364,2574780,14364,509377,509377,14363,75
14465,2574784,14465,509377,509377,14464,29
14565,2575724,14566,509377,509377,14564,35
14665,2578716,14665,509377,509377,14664,49
14767,2578956,14768,509377,509377,14766,27
14866,2579612,14866,509377,509377,14865,48
14967,2580540,14967,509377,509377,14966,63
15067,2579948,15067,509377,509377,15066,33
15168,2580168,15169,509377,509377,15167,40
15269,2580392,15270,509377,509377,15268,54
15367,2579652,15368,509377,509377,15367,32
15470,2571908,15470,509377,509377,15468,21
15569,2571676,15569,509377,509377,15568,22
15670,2572132,15670,509377,509377,15669,33
15773,2572132,15775,509377,509377,15771,22
15873,2572132,15874,509377,509377,15871,22
15975,2559256,15977,509377,509377,15972,24
16074,2558272,16075,509377,509377,16072,17
16172,2559196,16173,509377,509377,16171,26
16272,2559344,16273,509377,509377,16271,33
16375,2559808,16375,509377,509377,16373,28
16473,2560204,16473,509377,509377,16472,37
16577,2560736,16579,509377,509377,16575,36
16680,2561108,16682,509377,509377,16677,40
16777,2561688,16778,509377,509377,16775,31
16876,2562228,16877,509377,509377,16875,29
16976,2563788,16977,509377,509377,16975,40
17078,2563300,17078,509377,509377,17077,48
17127,2563216,17128,509377,509377,17127,53
17228,2564572,17229,509377,509377,17227,50
17329,2563556,17329,509377,509377,17327,58
17429,2564096,17429,509377,509377,17428,41
17529,2561816,17530,509377,509377,17528,23
17629,2563968,17629,509377,509377,17628,46
17730,2564352,17730,509377,509377,17728,52
17830,2564860,17831,509377,509377,17829,43
17933,2565308,17934,509377,509377,17932,51
18034,2567508,18034,509377,509377,18032,66
18135,2573204,18135,509377,509377,18133,57
18234,2575736,18234,509377,509377,18233,68
18335,2578288,18336,509377,509377,18333,39
18439,2581288,18445,509377,509377,18434,55
18537,2582288,18538,509377,509377,18534,63
18637,2582736,18637,509377,509377,18634,60
18738,2584940,18740,509377,509377,18735,52
18839,2581112,18839,509377,509377,18836,0
18940,2580500,18942,509377,509377,18936,76
19040,2580120,19041,509377,509377,19037,79
19147,2578848,19148,509377,509377,19146,93
19248,2540020,19249,509377,509377,19247,35
19348,2540360,19348,509377,509377,19347,37
19449,2540360,19449,509377,509377,19447,40
19550,2540796,19551,509377,509377,19548,34
19649,2540564,19650,509377,509377,19648,44
19750,2540452,19750,509377,509377,19748,30
19851,2540452,19852,509377,509377,19849,34
19951,2540484,19951,509377,509377,19949,29
20061,2540484,20062,509377,509377,20059,32
20152,2539744,20152,509377,509377,20150,44
20252,2539124,20253,509377,509377,20251,21
20353,2539600,20353,509377,509377,20351,30
20453,2539600,20454,509377,509377,20452,39
20553,2532764,20554,509377,509377,20552,72
20655,2532644,20656,509377,509377,20653,30
20755,2532584,20756,509377,509377,20753,29
20856,2532584,20856,509377,509377,20853,42
20956,2532584,20957,509377,509377,20954,38
21057,2531988,21058,509377,509377,21054,32
21159,2531396,21160,509377,509377,21155,21
21258,2531736,21258,509377,509377,21255,32
21358,2532440,21359,509377,509377,21356,60
21459,2533532,21460,509377,509377,21456,70
21559,2533780,21560,509377,509377,21556,59
21660,2534200,21661,509377,509377,21657,70
21761,2534820,21762,509377,509377,21758,69
