datetime,cpu,mem
Mon Aug  3 18:24:15 GMT 2020,0.1,109221
Mon Aug  3 18:24:15 GMT 2020,0.1,109467
Mon Aug  3 18:24:16 GMT 2020,0.1,109511
Mon Aug  3 18:24:16 GMT 2020,0.1,116140
Mon Aug  3 18:24:17 GMT 2020,0.1,116166
Mon Aug  3 18:24:17 GMT 2020,0.1,116162
Mon Aug  3 18:24:18 GMT 2020,0.1,116161
Mon Aug  3 18:24:18 GMT 2020,0.1,115561
Mon Aug  3 18:24:18 GMT 2020,0.1,115577
Mon Aug  3 18:24:19 GMT 2020,0.1,115577
Mon Aug  3 18:24:19 GMT 2020,0.1,115581
Mon Aug  3 18:24:20 GMT 2020,0.1,115581
Mon Aug  3 18:24:20 GMT 2020,0.1,115601
Mon Aug  3 18:24:21 GMT 2020,0.1,96941
Mon Aug  3 18:24:21 GMT 2020,0.1,96973
Mon Aug  3 18:24:21 GMT 2020,0.1,108244
Mon Aug  3 18:24:22 GMT 2020,0.1,107943
Mon Aug  3 18:24:22 GMT 2020,0.1,83328
Mon Aug  3 18:24:22 GMT 2020,0.1,83384
Mon Aug  3 18:24:23 GMT 2020,0.1,104183
Mon Aug  3 18:24:23 GMT 2020,0.1,105079
Mon Aug  3 18:24:24 GMT 2020,0.1,106192
Mon Aug  3 18:24:24 GMT 2020,0.1,106054
Mon Aug  3 18:24:24 GMT 2020,0.1,106438
Mon Aug  3 18:24:25 GMT 2020,0.1,106779
Mon Aug  3 18:24:25 GMT 2020,0.1,138614
Mon Aug  3 18:24:26 GMT 2020,0.1,106625
Mon Aug  3 18:24:26 GMT 2020,0.1,106674
Mon Aug  3 18:24:27 GMT 2020,0.1,73306
Mon Aug  3 18:24:27 GMT 2020,0.1,72795
Mon Aug  3 18:24:28 GMT 2020,0.1,72608
Mon Aug  3 18:24:28 GMT 2020,0.1,70552
Mon Aug  3 18:24:29 GMT 2020,0.1,89082
Mon Aug  3 18:24:29 GMT 2020,0.1,112453
Mon Aug  3 18:24:30 GMT 2020,0.1,113980
Mon Aug  3 18:24:30 GMT 2020,0.1,117875
Mon Aug  3 18:24:31 GMT 2020,0.1,118278
Mon Aug  3 18:24:31 GMT 2020,0.1,119265
Mon Aug  3 18:24:32 GMT 2020,0.1,119253
Mon Aug  3 18:24:33 GMT 2020,0.1,119253
Mon Aug  3 18:24:33 GMT 2020,0.1,118637
Mon Aug  3 18:24:34 GMT 2020,0.1,118692
Mon Aug  3 18:24:35 GMT 2020,0.1,119510
Mon Aug  3 18:24:35 GMT 2020,0.1,126908
Mon Aug  3 18:24:36 GMT 2020,0.1,128472
Mon Aug  3 18:24:37 GMT 2020,0.1,128464
Mon Aug  3 18:24:37 GMT 2020,0.1,128464
Mon Aug  3 18:24:38 GMT 2020,0.1,128464
Mon Aug  3 18:24:39 GMT 2020,0.1,126568
Mon Aug  3 18:24:40 GMT 2020,0.1,126525
Mon Aug  3 18:24:40 GMT 2020,0.1,92867
Mon Aug  3 18:24:41 GMT 2020,0.1,92439
Mon Aug  3 18:24:41 GMT 2020,0.1,125647
Mon Aug  3 18:24:42 GMT 2020,0.1,109360
Mon Aug  3 18:24:43 GMT 2020,0.1,127633
Mon Aug  3 18:24:43 GMT 2020,0.1,127619
Mon Aug  3 18:24:44 GMT 2020,0.1,127619
Mon Aug  3 18:24:44 GMT 2020,0.1,124291
Mon Aug  3 18:24:45 GMT 2020,0.1,124307
Mon Aug  3 18:24:46 GMT 2020,0.1,124311
Mon Aug  3 18:24:46 GMT 2020,0.1,124255
Mon Aug  3 18:24:47 GMT 2020,0.1,90732
Mon Aug  3 18:24:47 GMT 2020,0.1,90128
Mon Aug  3 18:24:48 GMT 2020,0.1,90127
Mon Aug  3 18:24:49 GMT 2020,0.1,140452
Mon Aug  3 18:24:49 GMT 2020,0.1,126488
Mon Aug  3 18:24:50 GMT 2020,0.1,126424
Mon Aug  3 18:24:50 GMT 2020,0.1,126424
Mon Aug  3 18:24:51 GMT 2020,0.1,126426
Mon Aug  3 18:24:52 GMT 2020,0.1,92756
Mon Aug  3 18:24:52 GMT 2020,0.1,92404
Mon Aug  3 18:24:53 GMT 2020,0.1,92403
Mon Aug  3 18:24:53 GMT 2020,0.1,126157
Mon Aug  3 18:24:54 GMT 2020,0.1,126610
Mon Aug  3 18:24:55 GMT 2020,0.1,126574
Mon Aug  3 18:24:55 GMT 2020,0.1,126590
Mon Aug  3 18:24:56 GMT 2020,0.1,126594
Mon Aug  3 18:24:56 GMT 2020,0.1,126598
Mon Aug  3 18:24:57 GMT 2020,0.1,126598
Mon Aug  3 18:24:58 GMT 2020,0.1,126597
Mon Aug  3 18:24:58 GMT 2020,0.1,92294
Mon Aug  3 18:24:59 GMT 2020,0.1,91750
Mon Aug  3 18:25:00 GMT 2020,0.1,91642
Mon Aug  3 18:25:00 GMT 2020,0.1,108861
Mon Aug  3 18:25:01 GMT 2020,0.1,112506
Mon Aug  3 18:25:01 GMT 2020,0.1,129598
Mon Aug  3 18:25:02 GMT 2020,0.1,129598
Mon Aug  3 18:25:03 GMT 2020,0.1,129598
Mon Aug  3 18:25:04 GMT 2020,0.1,129598
Mon Aug  3 18:25:04 GMT 2020,0.1,129598
Mon Aug  3 18:25:05 GMT 2020,0.1,129309
Mon Aug  3 18:25:06 GMT 2020,0.1,94586
Mon Aug  3 18:25:06 GMT 2020,0.1,94198
Mon Aug  3 18:25:07 GMT 2020,0.1,94114
Mon Aug  3 18:25:07 GMT 2020,0.1,94390
Mon Aug  3 18:25:08 GMT 2020,0.1,94386
Mon Aug  3 18:25:09 GMT 2020,0.1,94401
Mon Aug  3 18:25:09 GMT 2020,0.1,111811
Mon Aug  3 18:25:10 GMT 2020,0.1,127295
Mon Aug  3 18:25:10 GMT 2020,0.1,128155
Mon Aug  3 18:25:11 GMT 2020,0.1,128308
Mon Aug  3 18:25:12 GMT 2020,0.1,127800
Mon Aug  3 18:25:12 GMT 2020,0.1,127808
Mon Aug  3 18:25:13 GMT 2020,0.1,127812
Mon Aug  3 18:25:14 GMT 2020,0.1,127812
Mon Aug  3 18:25:14 GMT 2020,0.1,127816
Mon Aug  3 18:25:15 GMT 2020,0.1,127495
Mon Aug  3 18:25:16 GMT 2020,0.1,114714
Mon Aug  3 18:25:16 GMT 2020,0.1,131918
Mon Aug  3 18:25:17 GMT 2020,0.1,131922
Mon Aug  3 18:25:18 GMT 2020,0.1,131922
Mon Aug  3 18:25:19 GMT 2020,0.1,131922
Mon Aug  3 18:25:19 GMT 2020,0.1,131921
Mon Aug  3 18:25:20 GMT 2020,0.1,96702
Mon Aug  3 18:25:21 GMT 2020,0.1,96382
Mon Aug  3 18:25:21 GMT 2020,0.1,96385
Mon Aug  3 18:25:22 GMT 2020,0.1,96069
Mon Aug  3 18:25:22 GMT 2020,0.1,96482
Mon Aug  3 18:25:23 GMT 2020,0.1,96482
Mon Aug  3 18:25:24 GMT 2020,0.1,113665
Mon Aug  3 18:25:24 GMT 2020,0.1,113977
Mon Aug  3 18:25:25 GMT 2020,0.1,130801
Mon Aug  3 18:25:26 GMT 2020,0.1,138941
Mon Aug  3 18:25:26 GMT 2020,0.1,137889
Mon Aug  3 18:25:27 GMT 2020,0.1,138585
Mon Aug  3 18:25:28 GMT 2020,0.1,137549
Mon Aug  3 18:25:28 GMT 2020,0.1,137289
Mon Aug  3 18:25:29 GMT 2020,0.1,137293
Mon Aug  3 18:25:29 GMT 2020,0.1,137282
Mon Aug  3 18:25:30 GMT 2020,0.1,169528
Mon Aug  3 18:25:31 GMT 2020,0.1,180059
Mon Aug  3 18:25:31 GMT 2020,0.1,200099
Mon Aug  3 18:25:32 GMT 2020,0.1,220511
Mon Aug  3 18:25:33 GMT 2020,0.1,224797
Mon Aug  3 18:25:34 GMT 2020,0.1,232763
Mon Aug  3 18:25:35 GMT 2020,0.1,233979
Mon Aug  3 18:25:35 GMT 2020,0.1,237044
Mon Aug  3 18:25:36 GMT 2020,0.1,237120
Mon Aug  3 18:25:37 GMT 2020,0.1,237132
Mon Aug  3 18:25:38 GMT 2020,0.1,233233
Mon Aug  3 18:25:39 GMT 2020,0.1,189687
Mon Aug  3 18:25:40 GMT 2020,0.1,187181
Mon Aug  3 18:25:41 GMT 2020,0.1,187146
Mon Aug  3 18:25:41 GMT 2020,0.1,214685
Mon Aug  3 18:25:42 GMT 2020,0.1,227674
Mon Aug  3 18:25:43 GMT 2020,0.1,227642
Mon Aug  3 18:25:44 GMT 2020,0.1,227634
Mon Aug  3 18:25:45 GMT 2020,0.1,227621
Mon Aug  3 18:25:46 GMT 2020,0.1,191926
Mon Aug  3 18:25:47 GMT 2020,0.1,191674
Mon Aug  3 18:25:47 GMT 2020,0.1,191651
Mon Aug  3 18:25:48 GMT 2020,0.1,228871
Mon Aug  3 18:25:49 GMT 2020,0.1,234340
Mon Aug  3 18:25:49 GMT 2020,0.1,237521
Mon Aug  3 18:25:50 GMT 2020,0.1,243464
Mon Aug  3 18:25:51 GMT 2020,0.1,246196
Mon Aug  3 18:25:52 GMT 2020,0.1,237154
Mon Aug  3 18:25:53 GMT 2020,0.1,237253
Mon Aug  3 18:25:53 GMT 2020,0.1,194989
Mon Aug  3 18:25:54 GMT 2020,0.1,194870
Mon Aug  3 18:25:55 GMT 2020,0.1,194621
Mon Aug  3 18:25:56 GMT 2020,0.1,190322
Mon Aug  3 18:25:57 GMT 2020,0.1,190183
Mon Aug  3 18:25:58 GMT 2020,0.1,224248
Mon Aug  3 18:25:58 GMT 2020,0.1,231464
Mon Aug  3 18:25:59 GMT 2020,0.1,228706
Mon Aug  3 18:26:00 GMT 2020,0.1,228854
Mon Aug  3 18:26:01 GMT 2020,0.1,228678
Mon Aug  3 18:26:02 GMT 2020,0.1,210690
Mon Aug  3 18:26:02 GMT 2020,0.1,210031
Mon Aug  3 18:26:03 GMT 2020,0.1,192728
Mon Aug  3 18:26:04 GMT 2020,0.1,237945
Mon Aug  3 18:26:05 GMT 2020,0.1,241153
Mon Aug  3 18:26:05 GMT 2020,0.1,244563
Mon Aug  3 18:26:06 GMT 2020,0.1,246827
Mon Aug  3 18:26:07 GMT 2020,0.1,246265
Mon Aug  3 18:26:08 GMT 2020,0.1,247472
Mon Aug  3 18:26:09 GMT 2020,0.1,196399
Mon Aug  3 18:26:09 GMT 2020,0.1,195996
Mon Aug  3 18:26:10 GMT 2020,0.1,193579
Mon Aug  3 18:26:11 GMT 2020,0.1,193563
Mon Aug  3 18:26:12 GMT 2020,0.1,193283
Mon Aug  3 18:26:13 GMT 2020,0.1,225661
Mon Aug  3 18:26:13 GMT 2020,0.1,226113
Mon Aug  3 18:26:14 GMT 2020,0.1,232493
Mon Aug  3 18:26:15 GMT 2020,0.1,235160
Mon Aug  3 18:26:16 GMT 2020,0.1,236894
Mon Aug  3 18:26:17 GMT 2020,0.1,218463
