RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283542,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58854,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52083,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54010,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59271,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50104,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",656979,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62240,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",266979,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",292552,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49114,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64062,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",351302,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41928,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",351198,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1098855,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48542,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",345938,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",147448,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",401771,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55782,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75468,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66302,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70677,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",409115,0,1,3,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66927,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",669375,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60313,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71614,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45052,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44792,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67344,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",633802,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45208,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",364584,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",515105,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40625,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54948,0,0,0,True
