STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",669375,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60313,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",71614,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45052,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44792,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",67344,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",633802,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45208,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",364584,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",515105,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",40625,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54948,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",539531,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59636,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",480990,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",518959,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42552,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",520938,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",87240,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",665729,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",260833,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",261979,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",85521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60521,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",424844,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52396,0,0,0,True
