Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
24,2326068,24,1839197,0,83,34
85,2326424,86,1839197,0,183,0
184,2326988,184,1839197,0,284,19
285,2326988,285,1839197,0,385,28
386,2326576,386,1839197,0,486,29
487,2326904,487,1839197,0,586,29
587,2323840,588,1839197,0,687,15
687,2324344,688,1839197,0,787,22
788,2323752,788,1839197,0,888,10
889,2324628,889,1839197,0,988,18
989,2325008,990,1839197,0,1088,15
1089,2325328,1089,1839197,0,1189,14
1189,2324740,1190,1839197,0,1290,4
1291,2323580,1291,1839197,0,1390,25
1391,2323396,1391,1839197,0,1491,25
1492,2323920,1492,1839197,0,1590,33
1591,2320584,1591,1839197,0,1692,4
1693,2319844,1693,1839197,0,1792,14
1793,2319852,1794,1839197,0,1892,19
1893,2320180,1893,1839197,0,1993,20
1993,2320180,1994,1839197,0,2094,13
2094,2319588,2095,1839197,0,2195,7
2196,2319672,2196,1839197,0,2295,23
2296,2320192,2296,1839197,0,2395,17
2396,2320192,2396,1839197,0,2496,17
2496,2319896,2497,1839197,0,2596,4
2597,2319896,2597,1839197,0,2697,23
2698,2319248,2698,1839197,0,2800,18
2802,2319632,2803,1839197,0,2898,16
2898,2319816,2899,1839197,0,2999,14
3000,2319332,3000,1839197,0,3099,12
3100,2319536,3100,1839197,0,3200,17
3201,2320456,3201,1839197,0,3300,20
3300,2320496,3301,1839197,0,3400,14
3401,2320052,3401,1839197,0,3501,5
3502,2320316,3502,1839197,0,3602,20
3603,2321164,3603,1839197,0,3702,28
3703,2321648,3703,1839197,0,3802,30
3803,2321724,3803,1839197,0,3903,22
3904,2320560,3904,1839197,0,4003,30
4004,2322272,4004,1839197,0,4104,46
4104,2338304,4105,1839197,0,4204,38
4205,2339284,4205,1839197,0,4304,33
4305,2323424,4305,1839197,0,4405,31
4406,2325056,4406,1839197,0,4505,39
4506,2324288,4506,1839197,0,4607,10
4608,2324588,4608,1839197,0,4706,34
4707,2320256,4707,1839197,0,4807,30
4807,2321356,4808,1839197,0,4907,28
4908,2321556,4908,1839197,0,5008,19
5009,2322420,5010,1839197,0,5108,29
5109,2324368,5109,1839197,0,5208,36
5209,2324744,5210,1839197,0,5309,30
5309,2326444,5310,1839197,0,5409,19
5410,2323384,5410,1839197,0,5509,39
5510,2324756,5510,1839197,0,5610,39
5610,2325204,5611,1839197,0,5710,25
5711,2325948,5711,1839197,0,5810,32
5811,2326856,5816,1839197,0,5911,43
5912,2328020,5912,1839197,0,6012,36
6013,2326700,6013,1839197,0,6112,28
6113,2337576,6114,1839197,0,6212,50
6213,2333096,6213,1839197,0,6313,42
6314,2333772,6315,1839197,0,6413,43
6414,2333232,6414,1839197,0,6515,25
6515,2333940,6516,1839197,0,6615,35
6615,2335944,6616,1839197,0,6715,30
6716,2337456,6716,1839197,0,6816,40
6816,2336596,6817,1839197,0,6917,31
6918,2333656,6918,1839197,0,7016,53
7017,2337956,7017,1839197,0,7117,55
7117,2352136,7118,1839197,0,7217,38
7218,2352340,7218,1839197,0,7319,26
7319,2353564,7320,1839197,0,7418,44
7419,2355200,7419,1839197,0,7519,33
7519,2353932,7520,1839197,0,7619,29
7620,2348740,7620,1839197,0,7720,30
7721,2350148,7721,1839197,0,7820,40
7821,2351352,7821,1839197,0,7921,40
7921,2352096,7922,1839197,0,8021,41
8022,2352444,8022,1839197,0,8122,33
8123,2354536,8123,1839197,0,8223,0
8224,2353728,8224,1839197,0,8323,34
8324,2354152,8324,1839197,0,8423,54
8424,2350052,8425,1839197,0,8524,37
8524,2350140,8525,1839197,0,8624,46
8625,2350896,8625,1839197,0,8725,45
