datetime,cpu,mem
Mon Aug  3 16:39:51 GMT 2020,22,80407
Mon Aug  3 16:39:51 GMT 2020,22,79776
Mon Aug  3 16:39:52 GMT 2020,22,79804
Mon Aug  3 16:39:52 GMT 2020,22,79804
Mon Aug  3 16:39:52 GMT 2020,22,79804
Mon Aug  3 16:39:53 GMT 2020,22,79804
Mon Aug  3 16:39:53 GMT 2020,22,79804
Mon Aug  3 16:39:54 GMT 2020,22,79804
Mon Aug  3 16:39:54 GMT 2020,19,79800
Mon Aug  3 16:39:54 GMT 2020,19,79020
Mon Aug  3 16:39:55 GMT 2020,19,79024
Mon Aug  3 16:39:55 GMT 2020,19,79038
Mon Aug  3 16:39:56 GMT 2020,19,79038
Mon Aug  3 16:39:56 GMT 2020,19,99154
Mon Aug  3 16:39:56 GMT 2020,19,101379
Mon Aug  3 16:39:56 GMT 2020,19,112505
Mon Aug  3 16:39:57 GMT 2020,19,160836
Mon Aug  3 16:39:57 GMT 2020,19,146874
Mon Aug  3 16:39:58 GMT 2020,19,147322
Mon Aug  3 16:39:58 GMT 2020,19,147368
Mon Aug  3 16:39:59 GMT 2020,19,148045
Mon Aug  3 16:39:59 GMT 2020,0,150663
Mon Aug  3 16:40:00 GMT 2020,0,152430
Mon Aug  3 16:40:00 GMT 2020,0,155593
Mon Aug  3 16:40:01 GMT 2020,0,140185
Mon Aug  3 16:40:01 GMT 2020,0,140165
Mon Aug  3 16:40:02 GMT 2020,0,140181
Mon Aug  3 16:40:03 GMT 2020,0,147190
Mon Aug  3 16:40:03 GMT 2020,0,153991
Mon Aug  3 16:40:04 GMT 2020,0,153987
Mon Aug  3 16:40:05 GMT 2020,0,142822
Mon Aug  3 16:40:05 GMT 2020,0,176669
Mon Aug  3 16:40:06 GMT 2020,0,181512
Mon Aug  3 16:40:07 GMT 2020,0,203252
Mon Aug  3 16:40:08 GMT 2020,0,203201
Mon Aug  3 16:40:08 GMT 2020,0,208796
Mon Aug  3 16:40:09 GMT 2020,0,208774
Mon Aug  3 16:40:10 GMT 2020,40,187521
Mon Aug  3 16:40:10 GMT 2020,40,194858
Mon Aug  3 16:40:11 GMT 2020,40,194491
Mon Aug  3 16:40:11 GMT 2020,40,200591
Mon Aug  3 16:40:12 GMT 2020,40,180713
Mon Aug  3 16:40:13 GMT 2020,40,180717
Mon Aug  3 16:40:13 GMT 2020,40,180687
Mon Aug  3 16:40:14 GMT 2020,40,183082
Mon Aug  3 16:40:14 GMT 2020,30,182834
Mon Aug  3 16:40:15 GMT 2020,30,182698
Mon Aug  3 16:40:16 GMT 2020,30,214998
Mon Aug  3 16:40:16 GMT 2020,30,227906
Mon Aug  3 16:40:17 GMT 2020,30,206167
Mon Aug  3 16:40:18 GMT 2020,30,206927
Mon Aug  3 16:40:18 GMT 2020,30,208771
Mon Aug  3 16:40:19 GMT 2020,30,195930
Mon Aug  3 16:40:20 GMT 2020,39,195379
Mon Aug  3 16:40:21 GMT 2020,39,195435
Mon Aug  3 16:40:21 GMT 2020,39,195472
Mon Aug  3 16:40:22 GMT 2020,39,195424
Mon Aug  3 16:40:23 GMT 2020,39,238688
Mon Aug  3 16:40:24 GMT 2020,39,238617
Mon Aug  3 16:40:25 GMT 2020,0.1,194360
Mon Aug  3 16:40:26 GMT 2020,0.1,194162
Mon Aug  3 16:40:27 GMT 2020,0.1,229514
Mon Aug  3 16:40:28 GMT 2020,0.1,229583
Mon Aug  3 16:40:29 GMT 2020,0.1,195086
Mon Aug  3 16:40:30 GMT 2020,84,195047
Mon Aug  3 16:40:31 GMT 2020,84,208741
Mon Aug  3 16:40:32 GMT 2020,84,208751
Mon Aug  3 16:40:33 GMT 2020,84,214892
Mon Aug  3 16:40:34 GMT 2020,84,215123
Mon Aug  3 16:40:35 GMT 2020,84,198900
Mon Aug  3 16:40:36 GMT 2020,86,188057
Mon Aug  3 16:40:36 GMT 2020,86,188018
Mon Aug  3 16:40:37 GMT 2020,86,188049
Mon Aug  3 16:40:38 GMT 2020,86,188418
Mon Aug  3 16:40:38 GMT 2020,86,188727
Mon Aug  3 16:40:39 GMT 2020,86,188698
Mon Aug  3 16:40:40 GMT 2020,86,188955
Mon Aug  3 16:40:41 GMT 2020,73,227953
Mon Aug  3 16:40:42 GMT 2020,73,207617
Mon Aug  3 16:40:43 GMT 2020,73,210466
Mon Aug  3 16:40:44 GMT 2020,73,214584
Mon Aug  3 16:40:45 GMT 2020,73,201550
Mon Aug  3 16:40:46 GMT 2020,73,201546
Mon Aug  3 16:40:47 GMT 2020,58,200892
Mon Aug  3 16:40:48 GMT 2020,58,213598
Mon Aug  3 16:40:49 GMT 2020,58,199309
Mon Aug  3 16:40:50 GMT 2020,58,199911
Mon Aug  3 16:40:51 GMT 2020,58,216601
Mon Aug  3 16:40:52 GMT 2020,58,200116
Mon Aug  3 16:40:53 GMT 2020,58,200108
Mon Aug  3 16:40:54 GMT 2020,58,200089
Mon Aug  3 16:40:54 GMT 2020,58,200700
Mon Aug  3 16:40:55 GMT 2020,0.1,200452
Mon Aug  3 16:40:56 GMT 2020,0.1,200429
Mon Aug  3 16:40:56 GMT 2020,0.1,207171
Mon Aug  3 16:40:57 GMT 2020,0.1,195847
Mon Aug  3 16:40:58 GMT 2020,0.1,195951
Mon Aug  3 16:40:58 GMT 2020,0.1,195873
Mon Aug  3 16:40:59 GMT 2020,0.1,195593
Mon Aug  3 16:41:00 GMT 2020,0.1,195713
Mon Aug  3 16:41:01 GMT 2020,0.1,195574
Mon Aug  3 16:41:01 GMT 2020,0.1,195593
