Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
68,2429336,69,904867,0,34,2
134,2430100,134,904867,0,132,28
234,2430344,235,904867,0,232,21
334,2430152,335,904867,0,332,13
435,2430432,436,904867,0,433,9
535,2431020,535,904867,0,533,19
639,2431236,640,904867,0,636,18
739,2430684,740,904867,0,736,12
837,2430952,837,904867,0,835,13
938,2432096,939,904867,0,936,15
1038,2432096,1039,904867,0,1037,16
1142,2431312,1143,904867,0,1139,6
1240,2431840,1240,904867,0,1237,14
1339,2432192,1339,904867,0,1337,14
1442,2432472,1444,904867,0,1440,15
1543,2430396,1544,904867,0,1540,10
1645,2430108,1646,904867,0,1642,11
1691,2429912,1691,904867,0,1689,17
1792,2430964,1793,904867,0,1790,18
1891,2430376,1892,904867,0,1890,15
2001,2429980,2003,904867,0,1994,1
2092,2430068,2092,904867,0,2090,15
2195,2430536,2195,904867,0,2193,16
2295,2429836,2296,904867,0,2293,22
2397,2429444,2399,904867,0,2393,3
2494,2430908,2495,904867,0,2492,16
2594,2430820,2594,904867,0,2593,15
2697,2430200,2698,904867,0,2695,14
2798,2429992,2799,904867,0,2796,8
2895,2430724,2896,904867,0,2894,16
2998,2430724,2999,904867,0,2997,13
3099,2429940,3100,904867,0,3097,12
3201,2430200,3203,904867,0,3199,7
3298,2430704,3299,904867,0,3297,16
3399,2430996,3400,904867,0,3398,12
3502,2430096,3503,904867,0,3500,11
3605,2429852,3607,904867,0,3601,2
3700,2430744,3701,904867,0,3699,22
3800,2431352,3801,904867,0,3800,27
3901,2440476,3902,904867,0,3900,27
4001,2447280,4001,904867,0,4000,32
4103,2451480,4103,904867,0,4102,43
4203,2434800,4203,904867,0,4202,37
4305,2434888,4306,904867,0,4304,12
4405,2431468,4405,904867,0,4404,28
4505,2432156,4506,904867,0,4505,35
4607,2432164,4607,904867,0,4606,5
4708,2433680,4708,904867,0,4707,28
4807,2438036,4807,904867,0,4806,35
4907,2444724,4907,904867,0,4906,0
5009,2460216,5009,904867,0,5007,25
5109,2483612,5109,904867,0,5108,37
5208,2490308,5208,904867,0,5208,30
5309,2474272,5309,904867,0,5308,36
5409,2483244,5409,904867,0,5408,28
5509,2499120,5510,904867,0,5509,28
5610,2476800,5610,904867,0,5609,36
5710,2477584,5711,904867,0,5709,39
5811,2477004,5811,904867,0,5810,31
5912,2477628,5912,904867,0,5911,30
6011,2478172,6012,904867,0,6010,41
6111,2477544,6112,904867,0,6111,37
6212,2477308,6212,904867,0,6211,38
6312,2477332,6312,904867,0,6311,26
6414,2478784,6414,904867,0,6412,40
6513,2478476,6514,904867,0,6512,42
6613,2478320,6614,904867,0,6613,38
6714,2477628,6714,904867,0,6713,37
6815,2478272,6815,904867,0,6814,26
6915,2479876,6915,904867,0,6914,39
7015,2480476,7015,904867,0,7014,39
7115,2480484,7115,904867,0,7114,34
7215,2479832,7216,904867,0,7215,29
7317,2480476,7318,904867,0,7316,35
7417,2482100,7418,904867,0,7416,39
7517,2483288,7517,904867,0,7516,34
7617,2483456,7617,904867,0,7616,35
7717,2483532,7717,904867,0,7716,35
7818,2483428,7818,904867,0,7817,23
7919,2484180,7919,904867,0,7917,34
8018,2484372,8018,904867,0,8017,43
8118,2484572,8119,904867,0,8117,32
8218,2484440,8219,904867,0,8218,34
