datetime,cpu,mem
Mon Aug  3 18:49:22 GMT 2020,4.3,51337
Mon Aug  3 18:49:22 GMT 2020,4.3,87355
Mon Aug  3 18:49:23 GMT 2020,4.3,87257
Mon Aug  3 18:49:23 GMT 2020,4.3,105340
Mon Aug  3 18:49:24 GMT 2020,4.3,105897
Mon Aug  3 18:49:24 GMT 2020,4.3,105897
Mon Aug  3 18:49:25 GMT 2020,4.3,105897
Mon Aug  3 18:49:25 GMT 2020,4.3,105333
Mon Aug  3 18:49:25 GMT 2020,4.3,105377
Mon Aug  3 18:49:26 GMT 2020,4.3,105377
Mon Aug  3 18:49:26 GMT 2020,4.3,105381
Mon Aug  3 18:49:27 GMT 2020,4.3,105381
Mon Aug  3 18:49:27 GMT 2020,4.3,105370
Mon Aug  3 18:49:27 GMT 2020,4.3,106329
Mon Aug  3 18:49:28 GMT 2020,4.3,106361
Mon Aug  3 18:49:28 GMT 2020,4.3,106361
Mon Aug  3 18:49:29 GMT 2020,4.3,106361
Mon Aug  3 18:49:29 GMT 2020,4.3,106571
Mon Aug  3 18:49:29 GMT 2020,4.3,106617
Mon Aug  3 18:49:30 GMT 2020,4.3,108470
Mon Aug  3 18:49:30 GMT 2020,4.3,94193
Mon Aug  3 18:49:31 GMT 2020,4.3,94326
Mon Aug  3 18:49:31 GMT 2020,4.3,94318
Mon Aug  3 18:49:31 GMT 2020,4.3,110922
Mon Aug  3 18:49:32 GMT 2020,4.3,111697
Mon Aug  3 18:49:32 GMT 2020,4.3,111857
Mon Aug  3 18:49:33 GMT 2020,4.3,129857
Mon Aug  3 18:49:33 GMT 2020,4.3,112490
Mon Aug  3 18:49:34 GMT 2020,4.3,112634
Mon Aug  3 18:49:34 GMT 2020,4.3,112661
Mon Aug  3 18:49:35 GMT 2020,4.3,112982
Mon Aug  3 18:49:35 GMT 2020,4.3,112970
Mon Aug  3 18:49:36 GMT 2020,4.3,112933
Mon Aug  3 18:49:36 GMT 2020,4.3,113429
Mon Aug  3 18:49:37 GMT 2020,4.3,96136
Mon Aug  3 18:49:37 GMT 2020,4.3,95652
Mon Aug  3 18:49:38 GMT 2020,4.3,95652
Mon Aug  3 18:49:38 GMT 2020,4.3,95617
Mon Aug  3 18:49:38 GMT 2020,4.3,112836
Mon Aug  3 18:49:39 GMT 2020,4.3,112716
Mon Aug  3 18:49:39 GMT 2020,4.3,112708
Mon Aug  3 18:49:40 GMT 2020,4.3,112791
Mon Aug  3 18:49:40 GMT 2020,4.3,114112
Mon Aug  3 18:49:41 GMT 2020,4.3,114314
Mon Aug  3 18:49:41 GMT 2020,4.3,114282
Mon Aug  3 18:49:42 GMT 2020,4.3,114297
Mon Aug  3 18:49:42 GMT 2020,4.3,116923
Mon Aug  3 18:49:42 GMT 2020,4.3,118196
Mon Aug  3 18:49:43 GMT 2020,4.3,123884
Mon Aug  3 18:49:43 GMT 2020,4.3,127056
Mon Aug  3 18:49:44 GMT 2020,4.3,127040
Mon Aug  3 18:49:44 GMT 2020,4.3,127120
Mon Aug  3 18:49:45 GMT 2020,4.3,127120
Mon Aug  3 18:49:46 GMT 2020,4.3,126156
Mon Aug  3 18:49:46 GMT 2020,4.3,126172
Mon Aug  3 18:49:47 GMT 2020,4.3,126176
Mon Aug  3 18:49:47 GMT 2020,4.3,126180
Mon Aug  3 18:49:48 GMT 2020,4.3,126180
Mon Aug  3 18:49:48 GMT 2020,4.3,126180
Mon Aug  3 18:49:49 GMT 2020,4.3,126107
Mon Aug  3 18:49:49 GMT 2020,4.3,127172
Mon Aug  3 18:49:50 GMT 2020,4.3,131376
Mon Aug  3 18:49:50 GMT 2020,4.3,134181
Mon Aug  3 18:49:51 GMT 2020,4.3,132218
Mon Aug  3 18:49:51 GMT 2020,4.3,133090
Mon Aug  3 18:49:52 GMT 2020,4.3,133146
Mon Aug  3 18:49:53 GMT 2020,4.3,133146
Mon Aug  3 18:49:53 GMT 2020,4.3,133152
Mon Aug  3 18:49:54 GMT 2020,4.3,133094
Mon Aug  3 18:49:54 GMT 2020,4.3,135438
Mon Aug  3 18:49:55 GMT 2020,4.3,134950
Mon Aug  3 18:49:55 GMT 2020,4.3,134950
Mon Aug  3 18:49:56 GMT 2020,4.3,134962
Mon Aug  3 18:49:56 GMT 2020,4.3,134726
Mon Aug  3 18:49:57 GMT 2020,4.3,134979
Mon Aug  3 18:49:58 GMT 2020,4.3,134979
Mon Aug  3 18:49:58 GMT 2020,4.3,134976
Mon Aug  3 18:49:59 GMT 2020,4.3,134905
Mon Aug  3 18:49:59 GMT 2020,4.3,120641
Mon Aug  3 18:50:00 GMT 2020,4.3,117517
Mon Aug  3 18:50:00 GMT 2020,4.3,117514
Mon Aug  3 18:50:01 GMT 2020,4.3,134982
Mon Aug  3 18:50:01 GMT 2020,4.3,163720
Mon Aug  3 18:50:02 GMT 2020,4.3,151623
Mon Aug  3 18:50:02 GMT 2020,4.3,152019
Mon Aug  3 18:50:03 GMT 2020,4.3,152461
Mon Aug  3 18:50:04 GMT 2020,4.3,152671
Mon Aug  3 18:50:04 GMT 2020,4.3,152691
Mon Aug  3 18:50:05 GMT 2020,4.3,149696
Mon Aug  3 18:50:06 GMT 2020,4.3,150854
Mon Aug  3 18:50:06 GMT 2020,4.3,149548
Mon Aug  3 18:50:07 GMT 2020,4.3,149872
Mon Aug  3 18:50:08 GMT 2020,4.3,149665
Mon Aug  3 18:50:08 GMT 2020,4.3,150029
Mon Aug  3 18:50:09 GMT 2020,4.3,150489
Mon Aug  3 18:50:10 GMT 2020,4.3,152724
Mon Aug  3 18:50:11 GMT 2020,4.3,139042
Mon Aug  3 18:50:11 GMT 2020,4.3,134406
Mon Aug  3 18:50:12 GMT 2020,4.3,127143
Mon Aug  3 18:50:12 GMT 2020,4.3,143872
Mon Aug  3 18:50:13 GMT 2020,4.3,154081
Mon Aug  3 18:50:14 GMT 2020,4.3,153823
Mon Aug  3 18:50:14 GMT 2020,4.3,152723
Mon Aug  3 18:50:15 GMT 2020,4.3,152951
Mon Aug  3 18:50:15 GMT 2020,4.3,152985
Mon Aug  3 18:50:16 GMT 2020,4.3,153021
Mon Aug  3 18:50:17 GMT 2020,4.3,151346
Mon Aug  3 18:50:18 GMT 2020,4.3,135401
Mon Aug  3 18:50:18 GMT 2020,4.3,135086
Mon Aug  3 18:50:19 GMT 2020,4.3,151723
Mon Aug  3 18:50:20 GMT 2020,4.3,152894
Mon Aug  3 18:50:21 GMT 2020,4.3,134582
Mon Aug  3 18:50:21 GMT 2020,4.3,134598
Mon Aug  3 18:50:22 GMT 2020,4.3,144534
Mon Aug  3 18:50:23 GMT 2020,4.3,144550
Mon Aug  3 18:50:23 GMT 2020,4.3,144314
Mon Aug  3 18:50:24 GMT 2020,4.3,144310
Mon Aug  3 18:50:24 GMT 2020,4.3,144314
Mon Aug  3 18:50:25 GMT 2020,4.3,144314
Mon Aug  3 18:50:26 GMT 2020,4.3,144314
Mon Aug  3 18:50:26 GMT 2020,4.3,144314
Mon Aug  3 18:50:27 GMT 2020,4.3,144274
Mon Aug  3 18:50:27 GMT 2020,4.3,144290
Mon Aug  3 18:50:28 GMT 2020,4.3,144291
Mon Aug  3 18:50:29 GMT 2020,4.3,144238
Mon Aug  3 18:50:29 GMT 2020,4.3,110316
Mon Aug  3 18:50:30 GMT 2020,4.3,110228
Mon Aug  3 18:50:30 GMT 2020,4.3,126861
Mon Aug  3 18:50:31 GMT 2020,4.3,143727
Mon Aug  3 18:50:31 GMT 2020,4.3,142187
Mon Aug  3 18:50:32 GMT 2020,4.3,142185
Mon Aug  3 18:50:32 GMT 2020,4.3,142863
Mon Aug  3 18:50:33 GMT 2020,4.3,142759
Mon Aug  3 18:50:33 GMT 2020,4.3,145345
Mon Aug  3 18:50:34 GMT 2020,4.3,145309
Mon Aug  3 18:50:35 GMT 2020,4.3,145361
Mon Aug  3 18:50:35 GMT 2020,4.3,145393
Mon Aug  3 18:50:36 GMT 2020,4.3,145393
Mon Aug  3 18:50:36 GMT 2020,4.3,145393
Mon Aug  3 18:50:37 GMT 2020,4.3,145173
Mon Aug  3 18:50:38 GMT 2020,4.3,145189
Mon Aug  3 18:50:38 GMT 2020,4.3,145193
Mon Aug  3 18:50:39 GMT 2020,4.3,145195
Mon Aug  3 18:50:39 GMT 2020,4.3,145121
Mon Aug  3 18:50:40 GMT 2020,4.3,128512
Mon Aug  3 18:50:40 GMT 2020,4.3,128464
Mon Aug  3 18:50:41 GMT 2020,4.3,128464
Mon Aug  3 18:50:42 GMT 2020,4.3,145972
Mon Aug  3 18:50:42 GMT 2020,4.3,145688
Mon Aug  3 18:50:43 GMT 2020,4.3,145704
Mon Aug  3 18:50:44 GMT 2020,4.3,145708
Mon Aug  3 18:50:44 GMT 2020,4.3,145704
Mon Aug  3 18:50:45 GMT 2020,4.3,111618
Mon Aug  3 18:50:45 GMT 2020,4.3,111083
Mon Aug  3 18:50:46 GMT 2020,4.3,111080
Mon Aug  3 18:50:46 GMT 2020,4.3,144736
Mon Aug  3 18:50:47 GMT 2020,4.3,143275
Mon Aug  3 18:50:47 GMT 2020,4.3,143263
Mon Aug  3 18:50:48 GMT 2020,4.3,143787
Mon Aug  3 18:50:48 GMT 2020,4.3,142895
Mon Aug  3 18:50:49 GMT 2020,4.3,142947
Mon Aug  3 18:50:50 GMT 2020,4.3,142944
Mon Aug  3 18:50:50 GMT 2020,4.3,143072
Mon Aug  3 18:50:51 GMT 2020,4.3,157270
Mon Aug  3 18:50:51 GMT 2020,4.3,156603
Mon Aug  3 18:50:52 GMT 2020,4.3,156603
Mon Aug  3 18:50:53 GMT 2020,4.3,156455
Mon Aug  3 18:50:54 GMT 2020,4.3,156471
Mon Aug  3 18:50:54 GMT 2020,4.3,156463
Mon Aug  3 18:50:55 GMT 2020,4.3,156375
Mon Aug  3 18:50:56 GMT 2020,4.3,145251
Mon Aug  3 18:50:56 GMT 2020,4.3,164163
Mon Aug  3 18:50:57 GMT 2020,4.3,164159
Mon Aug  3 18:50:58 GMT 2020,4.3,164817
Mon Aug  3 18:50:59 GMT 2020,4.3,164445
Mon Aug  3 18:50:59 GMT 2020,4.3,164464
Mon Aug  3 18:51:00 GMT 2020,4.3,166939
Mon Aug  3 18:51:01 GMT 2020,4.3,176392
Mon Aug  3 18:51:01 GMT 2020,4.3,174466
Mon Aug  3 18:51:02 GMT 2020,4.3,175519
Mon Aug  3 18:51:03 GMT 2020,4.3,163307
Mon Aug  3 18:51:04 GMT 2020,4.3,161215
Mon Aug  3 18:51:04 GMT 2020,4.3,178199
Mon Aug  3 18:51:05 GMT 2020,4.3,178203
Mon Aug  3 18:51:06 GMT 2020,4.3,178207
Mon Aug  3 18:51:07 GMT 2020,4.3,178053
Mon Aug  3 18:51:07 GMT 2020,4.3,190095
Mon Aug  3 18:51:08 GMT 2020,4.3,189531
Mon Aug  3 18:51:09 GMT 2020,4.3,187111
Mon Aug  3 18:51:09 GMT 2020,4.3,230957
Mon Aug  3 18:51:10 GMT 2020,4.3,236602
Mon Aug  3 18:51:11 GMT 2020,4.3,236398
Mon Aug  3 18:51:12 GMT 2020,4.3,236134
Mon Aug  3 18:51:13 GMT 2020,4.3,236086
Mon Aug  3 18:51:14 GMT 2020,4.3,235591
Mon Aug  3 18:51:14 GMT 2020,4.3,242392
Mon Aug  3 18:51:15 GMT 2020,4.3,242302
Mon Aug  3 18:51:16 GMT 2020,4.3,242500
Mon Aug  3 18:51:17 GMT 2020,4.3,242628
Mon Aug  3 18:51:17 GMT 2020,4.3,242516
Mon Aug  3 18:51:18 GMT 2020,4.3,243080
Mon Aug  3 18:51:19 GMT 2020,4.3,233692
Mon Aug  3 18:51:19 GMT 2020,4.3,233598
Mon Aug  3 18:51:20 GMT 2020,4.3,235566
Mon Aug  3 18:51:21 GMT 2020,4.3,235844
Mon Aug  3 18:51:21 GMT 2020,4.3,241184
Mon Aug  3 18:51:22 GMT 2020,4.3,239476
Mon Aug  3 18:51:23 GMT 2020,4.3,239500
Mon Aug  3 18:51:24 GMT 2020,4.3,239140
Mon Aug  3 18:51:25 GMT 2020,4.3,239203
Mon Aug  3 18:51:25 GMT 2020,4.3,239207
Mon Aug  3 18:51:26 GMT 2020,4.3,239189
Mon Aug  3 18:51:27 GMT 2020,4.3,239051
Mon Aug  3 18:51:27 GMT 2020,4.3,238899
Mon Aug  3 18:51:28 GMT 2020,4.3,238537
Mon Aug  3 18:51:29 GMT 2020,4.3,238541
Mon Aug  3 18:51:29 GMT 2020,4.3,239053
Mon Aug  3 18:51:30 GMT 2020,4.3,239069
Mon Aug  3 18:51:31 GMT 2020,4.3,239073
Mon Aug  3 18:51:31 GMT 2020,4.3,238937
Mon Aug  3 18:51:32 GMT 2020,4.3,238141
Mon Aug  3 18:51:33 GMT 2020,4.3,238081
Mon Aug  3 18:51:33 GMT 2020,4.3,237949
Mon Aug  3 18:51:34 GMT 2020,4.3,239618
Mon Aug  3 18:51:35 GMT 2020,4.3,238818
Mon Aug  3 18:51:35 GMT 2020,4.3,238834
Mon Aug  3 18:51:36 GMT 2020,4.3,239646
Mon Aug  3 18:51:37 GMT 2020,4.3,239650
Mon Aug  3 18:51:38 GMT 2020,4.3,239621
Mon Aug  3 18:51:39 GMT 2020,4.3,272761
Mon Aug  3 18:51:39 GMT 2020,4.3,238822
Mon Aug  3 18:51:40 GMT 2020,4.3,238089
Mon Aug  3 18:51:41 GMT 2020,4.3,238292
Mon Aug  3 18:51:41 GMT 2020,4.3,236822
Mon Aug  3 18:51:42 GMT 2020,4.3,236790
Mon Aug  3 18:51:42 GMT 2020,4.3,237552
Mon Aug  3 18:51:43 GMT 2020,4.3,238652
Mon Aug  3 18:51:44 GMT 2020,4.3,238652
Mon Aug  3 18:51:44 GMT 2020,4.3,238656
Mon Aug  3 18:51:45 GMT 2020,4.3,238564
Mon Aug  3 18:51:46 GMT 2020,4.3,238580
Mon Aug  3 18:51:47 GMT 2020,4.3,238584
Mon Aug  3 18:51:48 GMT 2020,4.3,238588
Mon Aug  3 18:51:48 GMT 2020,4.3,238592
Mon Aug  3 18:51:49 GMT 2020,4.3,238473
Mon Aug  3 18:51:50 GMT 2020,4.3,239964
Mon Aug  3 18:51:50 GMT 2020,4.3,239220
Mon Aug  3 18:51:51 GMT 2020,4.3,238616
Mon Aug  3 18:51:52 GMT 2020,4.3,239188
Mon Aug  3 18:51:52 GMT 2020,4.3,239188
Mon Aug  3 18:51:53 GMT 2020,4.3,239192
Mon Aug  3 18:51:54 GMT 2020,4.3,239160
Mon Aug  3 18:51:54 GMT 2020,4.3,255650
Mon Aug  3 18:51:55 GMT 2020,4.3,238432
Mon Aug  3 18:51:56 GMT 2020,4.3,237792
Mon Aug  3 18:51:56 GMT 2020,4.3,238274
Mon Aug  3 18:51:57 GMT 2020,4.3,236692
Mon Aug  3 18:51:58 GMT 2020,4.3,236669
Mon Aug  3 18:51:58 GMT 2020,4.3,236532
Mon Aug  3 18:51:59 GMT 2020,4.3,236760
