RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",781,0,0,0,True
1,"TfprPrefetchingStrategy",2135,0,0,0,True
1,"TfprPrefetchingStrategy",1975469,0,1,1,True
1,"TfprPrefetchingStrategy",1979,0,0,0,True
1,"TfprPrefetchingStrategy",1019114,0,0,2,True
1,"TfprPrefetchingStrategy",2031,0,0,0,True
1,"TfprPrefetchingStrategy",1278281,1,1,2,True
1,"TfprPrefetchingStrategy",1823,0,0,0,True
1,"TfprPrefetchingStrategy",960156,1,1,2,True
1,"TfprPrefetchingStrategy",2292,0,0,0,True
1,"TfprPrefetchingStrategy",1035625,1,1,2,True
1,"TfprPrefetchingStrategy",2031,0,0,0,True
1,"TfprPrefetchingStrategy",1551718,1,1,2,True
1,"TfprPrefetchingStrategy",2083,0,0,0,True
1,"TfprPrefetchingStrategy",1349219,1,1,3,True
1,"TfprPrefetchingStrategy",1771,0,0,0,True
1,"TfprPrefetchingStrategy",2430937,1,1,4,True
1,"TfprPrefetchingStrategy",1563,0,0,0,True
1,"TfprPrefetchingStrategy",1603646,1,1,4,True
1,"TfprPrefetchingStrategy",1094,0,0,0,True
1,"TfprPrefetchingStrategy",2065886,1,1,4,True
1,"TfprPrefetchingStrategy",1250,0,0,0,True
2,"TfprPrefetchingStrategy",3663749,0,1,4,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",1669636,1,1,4,True
2,"TfprPrefetchingStrategy",1615,0,0,0,True
2,"TfprPrefetchingStrategy",1579948,1,1,4,True
2,"TfprPrefetchingStrategy",1354,0,0,0,True
2,"TfprPrefetchingStrategy",1744063,1,1,4,True
2,"TfprPrefetchingStrategy",1614,0,0,0,True
2,"TfprPrefetchingStrategy",1418020,1,1,4,True
2,"TfprPrefetchingStrategy",2135,0,0,0,True
2,"TfprPrefetchingStrategy",3141146,1,1,4,True
2,"TfprPrefetchingStrategy",1146,0,0,0,True
2,"TfprPrefetchingStrategy",1583593,1,1,4,True
2,"TfprPrefetchingStrategy",1667,0,0,0,True
2,"TfprPrefetchingStrategy",3372604,1,1,4,True
2,"TfprPrefetchingStrategy",2344,0,0,0,True
2,"TfprPrefetchingStrategy",1836511,1,1,4,True
2,"TfprPrefetchingStrategy",990,0,0,0,True
2,"TfprPrefetchingStrategy",6585625,1,1,4,True
2,"TfprPrefetchingStrategy",1042,0,0,0,True
2,"TfprPrefetchingStrategy",2367969,1,1,4,True
2,"TfprPrefetchingStrategy",1407,0,0,0,True
3,"TfprPrefetchingStrategy",3134739,0,1,4,True
3,"TfprPrefetchingStrategy",885,0,0,0,True
3,"TfprPrefetchingStrategy",1744323,1,1,4,True
3,"TfprPrefetchingStrategy",885,0,0,0,True
3,"TfprPrefetchingStrategy",2565573,1,1,4,True
3,"TfprPrefetchingStrategy",1927,0,0,0,True
3,"TfprPrefetchingStrategy",1375834,1,1,4,True
3,"TfprPrefetchingStrategy",1510,0,0,0,True
3,"TfprPrefetchingStrategy",1327813,1,1,4,True
3,"TfprPrefetchingStrategy",2188,0,0,0,True
3,"TfprPrefetchingStrategy",1449010,1,1,4,True
3,"TfprPrefetchingStrategy",1406,0,0,0,True
3,"TfprPrefetchingStrategy",4735104,1,1,4,True
3,"TfprPrefetchingStrategy",1667,0,0,0,True
3,"TfprPrefetchingStrategy",2916823,1,1,4,True
3,"TfprPrefetchingStrategy",1563,0,0,0,True
3,"TfprPrefetchingStrategy",3938854,1,1,4,True
3,"TfprPrefetchingStrategy",5469,0,0,0,True
3,"TfprPrefetchingStrategy",1817187,1,1,4,True
3,"TfprPrefetchingStrategy",1250,0,0,0,True
3,"TfprPrefetchingStrategy",1667188,1,1,4,True
3,"TfprPrefetchingStrategy",2240,0,0,0,True
