STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",3134739,0,1,4,True
"TfprPrefetchingStrategy",885,0,0,0,True
"TfprPrefetchingStrategy",1744323,1,1,4,True
"TfprPrefetchingStrategy",885,0,0,0,True
"TfprPrefetchingStrategy",2565573,1,1,4,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",1375834,1,1,4,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",1327813,1,1,4,True
"TfprPrefetchingStrategy",2188,0,0,0,True
"TfprPrefetchingStrategy",1449010,1,1,4,True
"TfprPrefetchingStrategy",1406,0,0,0,True
"TfprPrefetchingStrategy",4735104,1,1,4,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",2916823,1,1,4,True
"TfprPrefetchingStrategy",1563,0,0,0,True
"TfprPrefetchingStrategy",3938854,1,1,4,True
"TfprPrefetchingStrategy",5469,0,0,0,True
"TfprPrefetchingStrategy",1817187,1,1,4,True
"TfprPrefetchingStrategy",1250,0,0,0,True
"TfprPrefetchingStrategy",1667188,1,1,4,True
"TfprPrefetchingStrategy",2240,0,0,0,True
