Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
30,2471980,31,0,0,84,23
85,2472496,86,0,0,184,21
185,2473628,185,0,0,285,26
286,2473516,287,0,0,386,11
389,2473244,391,0,0,487,25
488,2473700,489,0,0,586,28
587,2474876,588,0,0,689,39
690,2474816,691,0,0,789,11
791,2474264,791,0,0,889,25
890,2474728,891,0,0,988,20
989,2475196,990,0,0,1089,13
1090,2475236,1091,0,0,1191,2
1193,2474648,1194,0,0,1291,12
1293,2474452,1297,0,0,1390,20
1391,2472432,1392,0,0,1493,14
1495,2472432,1496,0,0,1593,7
1595,2471876,1596,0,0,1693,12
1695,2471772,1696,0,0,1793,16
1794,2472656,1795,0,0,1894,17
1895,2472492,1896,0,0,1994,7
1996,2472064,1998,0,0,2094,23
2096,2472412,2097,0,0,2194,23
2195,2473160,2196,0,0,2295,19
2297,2472964,2298,0,0,2396,17
2398,2472376,2400,0,0,2499,11
2504,2472376,2505,0,0,2596,17
2598,2473744,2598,0,0,2697,15
2699,2473744,2700,0,0,2799,17
2801,2472764,2803,0,0,2902,3
2906,2472700,2907,0,0,3000,0
3002,2472420,3002,0,0,3101,16
3103,2472660,3103,0,0,3203,18
3205,2472848,3207,0,0,3304,11
3306,2472244,3307,0,0,3403,16
3405,2472296,3406,0,0,3503,18
3504,2473156,3504,0,0,3604,15
3606,2473008,3606,0,0,3704,22
3705,2473212,3706,0,0,3807,17
3811,2473080,3812,0,0,3905,34
3906,2473676,3907,0,0,4005,34
4007,2474076,4008,0,0,4108,34
4111,2474084,4112,0,0,4210,24
4213,2475092,4215,0,0,4308,33
4309,2476592,4310,0,0,4407,36
4408,2478488,4409,0,0,4508,29
4508,2477896,4509,0,0,4608,27
4609,2487320,4610,0,0,4709,35
4710,2486084,4711,0,0,4809,35
4809,2470588,4810,0,0,4909,15
4910,2470372,4910,0,0,5010,0
5011,2470224,5012,0,0,5110,16
5111,2470744,5112,0,0,5210,16
5211,2470744,5211,0,0,5310,17
5311,2470812,5311,0,0,5412,2
5413,2470812,5413,0,0,5512,13
5513,2471520,5513,0,0,5612,17
5612,2472128,5613,0,0,5712,30
5713,2472904,5713,0,0,5813,21
5813,2472636,5814,0,0,5913,27
5913,2473976,5913,0,0,6013,32
6014,2474524,6014,0,0,6114,32
6114,2476464,6115,0,0,6214,16
6215,2474516,6215,0,0,6315,21
6316,2476252,6316,0,0,6415,35
6416,2472144,6417,0,0,6516,30
6517,2472608,6517,0,0,6618,32
6620,2472856,6620,0,0,6717,41
6718,2474808,6718,0,0,6818,34
6818,2475516,6819,0,0,6918,23
6919,2475128,6919,0,0,7019,35
7019,2477576,7019,0,0,7119,26
7120,2473440,7120,0,0,7219,34
7220,2472348,7220,0,0,7320,22
7320,2473632,7321,0,0,7420,42
7421,2476532,7421,0,0,7521,25
7522,2476568,7523,0,0,7621,20
7622,2476124,7623,0,0,7726,8
7727,2476128,7728,0,0,7823,23
7824,2477044,7824,0,0,7922,15
7923,2477268,7924,0,0,8023,17
8024,2477292,8024,0,0,8123,4
8124,2476736,8125,0,0,8223,28
8224,2477988,8225,0,0,8324,30
8325,2478500,8325,0,0,8424,32
8425,2478908,8425,0,0,8525,17
8527,2478756,8527,0,0,8625,35
8626,2480252,8626,0,0,8725,43
8726,2480968,8727,0,0,8826,24
8827,2482200,8827,0,0,8926,16
8927,2476980,8927,0,0,9027,24
9027,2477940,9028,0,0,9127,34
9128,2478996,9128,0,0,9227,31
9228,2479912,9228,0,0,9328,20
9329,2480252,9330,0,0,9428,27
9429,2482568,9429,0,0,9528,39
9529,2482620,9530,0,0,9629,29
9630,2483384,9630,0,0,9729,25
9730,2479648,9730,0,0,9830,43
9830,2480716,9831,0,0,9931,41
9933,2481800,9934,0,0,10032,44
10034,2482532,10035,0,0,10132,30
10134,2483052,10136,0,0,10232,35
10234,2483964,10234,0,0,10332,48
10332,2483672,10332,0,0,10432,33
10432,2484396,10433,0,0,10532,39
10533,2479588,10533,0,0,10633,31
10633,2480972,10633,0,0,10733,31
10734,2482336,10734,0,0,10833,34
10834,2482648,10834,0,0,10934,18
10934,2484704,10935,0,0,11035,0
11036,2485180,11036,0,0,11135,27
11136,2486052,11137,0,0,11235,31
11236,2481464,11236,0,0,11335,18
11336,2480636,11337,0,0,11436,3
11437,2480488,11437,0,0,11536,25
11537,2481456,11537,0,0,11637,19
11638,2481308,11638,0,0,11737,24
11738,2481256,11738,0,0,11837,12
11838,2481148,11839,0,0,11939,11
11941,2480732,11941,0,0,12038,18
12039,2481260,12040,0,0,12139,21
12139,2481260,12140,0,0,12239,32
12240,2478684,12241,0,0,12340,26
12341,2478676,12341,0,0,12440,30
12441,2479824,12442,0,0,12541,37
12542,2480068,12542,0,0,12643,55
12644,2481008,12645,0,0,12742,59
12743,2481172,12744,0,0,12843,41
12844,2482148,12845,0,0,12942,49
12943,2483796,12943,0,0,13043,24
13044,2482848,13044,0,0,13143,41
13144,2478420,13145,0,0,13244,18
13245,2477532,13245,0,0,13345,20
13346,2477284,13346,0,0,13445,37
13445,2478132,13446,0,0,13545,25
13547,2477588,13547,0,0,13646,18
13648,2477836,13649,0,0,13747,3
13758,2476652,13760,0,0,13846,26
13847,2475804,13847,0,0,13946,21
13947,2475864,13947,0,0,14047,20
14048,2475864,14048,0,0,14147,18
14149,2474984,14149,0,0,14247,33
14248,2475368,14249,0,0,14349,36
14351,2476804,14352,0,0,14449,35
14450,2477300,14450,0,0,14552,34
14553,2477256,14555,0,0,14652,28
14654,2477660,14655,0,0,14751,38
14751,2479428,14752,0,0,14851,47
14851,2479908,14852,0,0,14951,33
14952,2480008,14953,0,0,15051,18
15052,2474816,15053,0,0,15152,18
15153,2475128,15153,0,0,15252,25
15253,2475288,15254,0,0,15353,28
15354,2475528,15354,0,0,15453,22
15454,2475084,15454,0,0,15553,5
15554,2475400,15554,0,0,15654,22
15655,2476412,15655,0,0,15755,17
15755,2476412,15756,0,0,15855,16
15855,2476468,15856,0,0,15955,11
15956,2475808,15956,0,0,16056,16
16057,2476316,16057,0,0,16156,36
16157,2477624,16157,0,0,16257,37
16258,2477972,16259,0,0,16357,36
16359,2477628,16359,0,0,16459,32
16462,2478224,16463,0,0,16558,52
16559,2479020,16559,0,0,16658,46
16659,2481000,16659,0,0,16758,38
16759,2481508,16759,0,0,16859,33
16859,2479936,16860,0,0,16959,30
16960,2476628,16961,0,0,17060,35
17061,2477048,17061,0,0,17160,33
17161,2477976,17161,0,0,17260,40
