datetime,cpu,mem
Mon Aug  3 17:13:18 GMT 2020,23,114452
Mon Aug  3 17:13:18 GMT 2020,23,119647
Mon Aug  3 17:13:18 GMT 2020,23,118897
Mon Aug  3 17:13:19 GMT 2020,23,118926
Mon Aug  3 17:13:19 GMT 2020,23,118914
Mon Aug  3 17:13:20 GMT 2020,23,118918
Mon Aug  3 17:13:20 GMT 2020,23,118922
Mon Aug  3 17:13:21 GMT 2020,23,117750
Mon Aug  3 17:13:21 GMT 2020,23,117766
Mon Aug  3 17:13:22 GMT 2020,23,117770
Mon Aug  3 17:13:22 GMT 2020,23,117785
Mon Aug  3 17:13:23 GMT 2020,23,123254
Mon Aug  3 17:13:23 GMT 2020,23,123773
Mon Aug  3 17:13:24 GMT 2020,23,124446
Mon Aug  3 17:13:24 GMT 2020,0,124149
Mon Aug  3 17:13:25 GMT 2020,0,125115
Mon Aug  3 17:13:25 GMT 2020,0,127151
Mon Aug  3 17:13:26 GMT 2020,0,131248
Mon Aug  3 17:13:26 GMT 2020,0,130052
Mon Aug  3 17:13:27 GMT 2020,0,130096
Mon Aug  3 17:13:28 GMT 2020,0,130100
Mon Aug  3 17:13:28 GMT 2020,0,130060
Mon Aug  3 17:13:29 GMT 2020,0,151164
Mon Aug  3 17:13:30 GMT 2020,0,171469
Mon Aug  3 17:13:30 GMT 2020,0,180288
Mon Aug  3 17:13:31 GMT 2020,0,191063
Mon Aug  3 17:13:31 GMT 2020,0,199990
Mon Aug  3 17:13:32 GMT 2020,0,203139
Mon Aug  3 17:13:33 GMT 2020,0,233822
Mon Aug  3 17:13:33 GMT 2020,0,259094
Mon Aug  3 17:13:34 GMT 2020,0,260346
Mon Aug  3 17:13:35 GMT 2020,0,265237
Mon Aug  3 17:13:35 GMT 2020,0,251647
Mon Aug  3 17:13:36 GMT 2020,0.1,260823
Mon Aug  3 17:13:37 GMT 2020,0.1,267790
Mon Aug  3 17:13:38 GMT 2020,0.1,266447
Mon Aug  3 17:13:39 GMT 2020,0.1,258096
Mon Aug  3 17:13:40 GMT 2020,0.1,258149
Mon Aug  3 17:13:41 GMT 2020,0.1,196114
Mon Aug  3 17:13:41 GMT 2020,0.1,194199
Mon Aug  3 17:13:42 GMT 2020,0.1,225677
Mon Aug  3 17:13:43 GMT 2020,0.1,224730
Mon Aug  3 17:13:44 GMT 2020,0.1,230819
Mon Aug  3 17:13:44 GMT 2020,0.1,241388
Mon Aug  3 17:13:45 GMT 2020,0.1,245180
Mon Aug  3 17:13:46 GMT 2020,0.1,246212
Mon Aug  3 17:13:47 GMT 2020,0.1,248113
Mon Aug  3 17:13:48 GMT 2020,0.1,257467
Mon Aug  3 17:13:49 GMT 2020,0.1,261364
Mon Aug  3 17:13:50 GMT 2020,0.1,258324
Mon Aug  3 17:13:51 GMT 2020,85,259128
Mon Aug  3 17:13:52 GMT 2020,85,256493
Mon Aug  3 17:13:53 GMT 2020,85,206110
Mon Aug  3 17:13:54 GMT 2020,85,203711
Mon Aug  3 17:13:55 GMT 2020,85,220188
Mon Aug  3 17:13:56 GMT 2020,85,243972
Mon Aug  3 17:13:57 GMT 2020,85,247888
Mon Aug  3 17:13:58 GMT 2020,85,246372
Mon Aug  3 17:13:59 GMT 2020,85,246621
Mon Aug  3 17:14:00 GMT 2020,85,249764
Mon Aug  3 17:14:01 GMT 2020,85,256160
Mon Aug  3 17:14:02 GMT 2020,85,254973
Mon Aug  3 17:14:03 GMT 2020,85,252002
Mon Aug  3 17:14:04 GMT 2020,85,248700
Mon Aug  3 17:14:05 GMT 2020,85,229746
Mon Aug  3 17:14:06 GMT 2020,85,226648
Mon Aug  3 17:14:07 GMT 2020,85,243515
Mon Aug  3 17:14:08 GMT 2020,85,249674
Mon Aug  3 17:14:09 GMT 2020,85,253003
Mon Aug  3 17:14:09 GMT 2020,85,256535
Mon Aug  3 17:14:10 GMT 2020,85,303451
Mon Aug  3 17:14:11 GMT 2020,85,306367
Mon Aug  3 17:14:12 GMT 2020,85,311282
Mon Aug  3 17:14:13 GMT 2020,85,296362
Mon Aug  3 17:14:15 GMT 2020,85,291863
Mon Aug  3 17:14:16 GMT 2020,85,292341
Mon Aug  3 17:14:17 GMT 2020,85,292163
Mon Aug  3 17:14:18 GMT 2020,85,224572
Mon Aug  3 17:14:19 GMT 2020,85,225103
Mon Aug  3 17:14:20 GMT 2020,85,237697
Mon Aug  3 17:14:21 GMT 2020,85,235251
Mon Aug  3 17:14:21 GMT 2020,85,252814
Mon Aug  3 17:14:22 GMT 2020,85,253307
Mon Aug  3 17:14:23 GMT 2020,85,256232
Mon Aug  3 17:14:24 GMT 2020,85,258343
Mon Aug  3 17:14:25 GMT 2020,85,256979
Mon Aug  3 17:14:26 GMT 2020,85,243609
Mon Aug  3 17:14:27 GMT 2020,85,243551
Mon Aug  3 17:14:28 GMT 2020,85,248203
Mon Aug  3 17:14:29 GMT 2020,85,254651
Mon Aug  3 17:14:30 GMT 2020,85,257176
Mon Aug  3 17:14:31 GMT 2020,85,303684
Mon Aug  3 17:14:32 GMT 2020,85,302663
Mon Aug  3 17:14:33 GMT 2020,85,220059
Mon Aug  3 17:14:34 GMT 2020,85,219843
Mon Aug  3 17:14:35 GMT 2020,85,237531
Mon Aug  3 17:14:36 GMT 2020,85,236234
Mon Aug  3 17:14:37 GMT 2020,85,252826
Mon Aug  3 17:14:38 GMT 2020,85,253503
Mon Aug  3 17:14:38 GMT 2020,85,235299
Mon Aug  3 17:14:39 GMT 2020,85,235275
Mon Aug  3 17:14:40 GMT 2020,85,251544
Mon Aug  3 17:14:41 GMT 2020,85,235358
Mon Aug  3 17:14:42 GMT 2020,85,233408
Mon Aug  3 17:14:43 GMT 2020,85,236072
Mon Aug  3 17:14:44 GMT 2020,85,236239
Mon Aug  3 17:14:45 GMT 2020,85,236281
Mon Aug  3 17:14:46 GMT 2020,85,235632
Mon Aug  3 17:14:47 GMT 2020,85,220478
Mon Aug  3 17:14:48 GMT 2020,85,239676
Mon Aug  3 17:14:49 GMT 2020,85,240072
Mon Aug  3 17:14:50 GMT 2020,85,240056
Mon Aug  3 17:14:51 GMT 2020,85,238579
Mon Aug  3 17:14:52 GMT 2020,85,220754
Mon Aug  3 17:14:53 GMT 2020,85,241587
Mon Aug  3 17:14:54 GMT 2020,85,246767
Mon Aug  3 17:14:55 GMT 2020,85,269136
Mon Aug  3 17:14:56 GMT 2020,85,272559
Mon Aug  3 17:14:57 GMT 2020,85,280320
Mon Aug  3 17:14:59 GMT 2020,85,278760
Mon Aug  3 17:15:00 GMT 2020,85,274992
Mon Aug  3 17:15:01 GMT 2020,85,276376
Mon Aug  3 17:15:02 GMT 2020,85,276100
Mon Aug  3 17:15:03 GMT 2020,85,259732
Mon Aug  3 17:15:04 GMT 2020,85,259244
Mon Aug  3 17:15:05 GMT 2020,85,265284
Mon Aug  3 17:15:06 GMT 2020,85,268212
Mon Aug  3 17:15:07 GMT 2020,85,285142
Mon Aug  3 17:15:08 GMT 2020,85,289989
Mon Aug  3 17:15:09 GMT 2020,85,295056
Mon Aug  3 17:15:10 GMT 2020,85,295124
Mon Aug  3 17:15:11 GMT 2020,85,290352
Mon Aug  3 17:15:12 GMT 2020,85,291116
Mon Aug  3 17:15:13 GMT 2020,85,290074
Mon Aug  3 17:15:14 GMT 2020,85,269059
Mon Aug  3 17:15:15 GMT 2020,85,244847
Mon Aug  3 17:15:16 GMT 2020,85,261277
Mon Aug  3 17:15:18 GMT 2020,85,259914
Mon Aug  3 17:15:19 GMT 2020,85,260113
Mon Aug  3 17:15:20 GMT 2020,85,260074
Mon Aug  3 17:15:21 GMT 2020,85,226101
Mon Aug  3 17:15:22 GMT 2020,85,225323
Mon Aug  3 17:15:23 GMT 2020,85,240845
Mon Aug  3 17:15:23 GMT 2020,85,236983
Mon Aug  3 17:15:24 GMT 2020,85,251563
Mon Aug  3 17:15:25 GMT 2020,85,252762
Mon Aug  3 17:15:26 GMT 2020,85,253539
Mon Aug  3 17:15:27 GMT 2020,85,253201
Mon Aug  3 17:15:28 GMT 2020,85,238311
Mon Aug  3 17:15:29 GMT 2020,85,256519
Mon Aug  3 17:15:30 GMT 2020,85,256499
Mon Aug  3 17:15:31 GMT 2020,85,256419
Mon Aug  3 17:15:32 GMT 2020,85,256360
Mon Aug  3 17:15:33 GMT 2020,85,255020
Mon Aug  3 17:15:34 GMT 2020,85,264120
Mon Aug  3 17:15:35 GMT 2020,85,266336
Mon Aug  3 17:15:36 GMT 2020,85,271663
Mon Aug  3 17:15:37 GMT 2020,85,275578
Mon Aug  3 17:15:39 GMT 2020,85,309439
Mon Aug  3 17:15:40 GMT 2020,85,311717
Mon Aug  3 17:15:41 GMT 2020,85,309630
Mon Aug  3 17:15:42 GMT 2020,85,301166
Mon Aug  3 17:15:43 GMT 2020,85,296869
Mon Aug  3 17:15:45 GMT 2020,85,285994
Mon Aug  3 17:15:46 GMT 2020,85,268561
Mon Aug  3 17:15:47 GMT 2020,85,286418
Mon Aug  3 17:15:48 GMT 2020,85,304398
Mon Aug  3 17:15:49 GMT 2020,85,311998
Mon Aug  3 17:15:50 GMT 2020,85,311880
Mon Aug  3 17:15:51 GMT 2020,85,316798
Mon Aug  3 17:15:52 GMT 2020,85,321450
Mon Aug  3 17:15:53 GMT 2020,85,307946
Mon Aug  3 17:15:54 GMT 2020,85,308527
Mon Aug  3 17:15:55 GMT 2020,85,315062
Mon Aug  3 17:15:57 GMT 2020,85,317727
Mon Aug  3 17:15:58 GMT 2020,85,318225
Mon Aug  3 17:15:59 GMT 2020,85,330595
Mon Aug  3 17:16:01 GMT 2020,85,262918
Mon Aug  3 17:16:02 GMT 2020,85,262845
Mon Aug  3 17:16:03 GMT 2020,85,261908
Mon Aug  3 17:16:04 GMT 2020,85,279014
Mon Aug  3 17:16:05 GMT 2020,85,275784
Mon Aug  3 17:16:06 GMT 2020,85,275460
Mon Aug  3 17:16:07 GMT 2020,85,278706
Mon Aug  3 17:16:08 GMT 2020,85,278642
Mon Aug  3 17:16:09 GMT 2020,85,263027
Mon Aug  3 17:16:10 GMT 2020,85,295946
Mon Aug  3 17:16:11 GMT 2020,85,267585
Mon Aug  3 17:16:13 GMT 2020,85,287501
Mon Aug  3 17:16:14 GMT 2020,85,293717
Mon Aug  3 17:16:15 GMT 2020,85,277004
Mon Aug  3 17:16:16 GMT 2020,85,257820
Mon Aug  3 17:16:17 GMT 2020,85,257674
Mon Aug  3 17:16:18 GMT 2020,85,258312
Mon Aug  3 17:16:19 GMT 2020,85,258229
