STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",1995104,0,1,1,True
"TfprPrefetchingStrategy",6547344,2,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",5963333,2,1,1,True
"TfprPrefetchingStrategy",1562,0,0,0,True
"TfprPrefetchingStrategy",10987395,2,1,1,True
"TfprPrefetchingStrategy",3021,0,0,0,True
"TfprPrefetchingStrategy",1615,0,0,0,True
"TfprPrefetchingStrategy",1875,0,0,0,True
"TfprPrefetchingStrategy",4274479,2,1,1,True
"TfprPrefetchingStrategy",7563073,2,1,1,True
"TfprPrefetchingStrategy",1563,0,0,0,True
"TfprPrefetchingStrategy",872656,0,1,1,True
"TfprPrefetchingStrategy",936875,0,1,1,True
"TfprPrefetchingStrategy",1323333,0,1,1,True
"TfprPrefetchingStrategy",4155885,2,1,1,True
"TfprPrefetchingStrategy",1563,0,0,0,True
"TfprPrefetchingStrategy",8387864,2,1,1,True
"TfprPrefetchingStrategy",1667,0,0,0,True
"TfprPrefetchingStrategy",1863802,0,1,1,True
"TfprPrefetchingStrategy",9927396,2,1,1,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",11813542,2,1,1,True
"TfprPrefetchingStrategy",1771,0,0,0,True
"TfprPrefetchingStrategy",5047240,2,1,1,True
"TfprPrefetchingStrategy",4798334,2,1,1,True
"TfprPrefetchingStrategy",1823,0,0,0,True
