Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
22,2275660,22,350172,0,86,46
87,2278144,87,350172,0,186,39
187,2279800,187,350172,0,287,27
288,2280220,288,350172,0,388,23
390,2287648,391,350172,0,488,32
489,2288640,490,350172,0,588,20
589,2288664,589,350172,0,689,19
689,2288384,690,350172,0,789,3
790,2288484,790,350172,0,890,30
891,2289492,892,350172,0,1001,0
1002,2289456,1003,350172,0,1092,47
1093,2291152,1093,350172,0,1192,26
1193,2293008,1194,350172,0,1293,20
1294,2315168,1295,350172,0,1393,28
1394,2314920,1395,350172,0,1493,21
1494,2314476,1495,350172,0,1594,17
1595,2313884,1596,350172,0,1695,7
1696,2312852,1697,350172,0,1795,17
1797,2312816,1797,350172,0,1896,15
1898,2313216,1898,350172,0,1996,19
1997,2313436,1998,350172,0,2097,23
2098,2313436,2098,350172,0,2197,7
2198,2312248,2199,350172,0,2298,18
2300,2311788,2301,350172,0,2399,18
2399,2312280,2400,350172,0,2499,20
2500,2312472,2500,350172,0,2599,18
2600,2312472,2600,350172,0,2700,15
2700,2312272,2701,350172,0,2800,11
2801,2312200,2802,350172,0,2901,29
2902,2313064,2902,350172,0,3001,36
3001,2314124,3002,350172,0,3101,29
3102,2314388,3102,350172,0,3202,33
3203,2314368,3203,350172,0,3303,10
3304,2314652,3304,350172,0,3402,16
3403,2314716,3404,350172,0,3503,17
3503,2315132,3504,350172,0,3603,22
3604,2315480,3604,350172,0,3703,25
3704,2314944,3704,350172,0,3804,19
3805,2315160,3806,350172,0,3906,30
3906,2316192,3907,350172,0,4006,30
4007,2317080,4007,350172,0,4107,30
4107,2317280,4108,350172,0,4209,20
4211,2318024,4211,350172,0,4308,35
4308,2319252,4309,350172,0,4409,36
4410,2320780,4411,350172,0,4509,36
4509,2325360,4510,350172,0,4609,22
4610,2320276,4610,350172,0,4710,33
4711,2321464,4711,350172,0,4810,41
4811,2322904,4811,350172,0,4910,41
4911,2323500,4911,350172,0,5011,42
5012,2323748,5012,350172,0,5112,22
5113,2325136,5113,350172,0,5212,32
5213,2326068,5213,350172,0,5312,28
5313,2328944,5313,350172,0,5413,41
5413,2340632,5414,350172,0,5513,26
5514,2337976,5515,350172,0,5613,36
5614,2320988,5614,350172,0,5714,23
5715,2321560,5715,350172,0,5814,14
5815,2321696,5815,350172,0,5916,38
5917,2317732,5917,350172,0,6017,28
6018,2295556,6019,350172,0,6119,36
6120,2295976,6120,350172,0,6219,56
6219,2296092,6220,350172,0,6319,25
6320,2296600,6320,350172,0,6419,26
6420,2317532,6420,350172,0,6520,19
6521,2318296,6522,350172,0,6620,19
6621,2318832,6621,350172,0,6720,37
6721,2319892,6722,350172,0,6821,19
6822,2319564,6822,350172,0,6922,22
6922,2319284,6922,350172,0,7022,0
7023,2320756,7023,350172,0,7122,44
7124,2322296,7124,350172,0,7223,44
7224,2326876,7225,350172,0,7324,35
7325,2328224,7326,350172,0,7424,36
7425,2333196,7426,350172,0,7525,20
7527,2331564,7528,350172,0,7625,19
7626,2331220,7627,350172,0,7725,24
7726,2331532,7727,350172,0,7829,22
7833,2331592,7834,350172,0,7927,28
7929,2331456,7930,350172,0,8026,37
8028,2344124,8028,350172,0,8127,20
8128,2326416,8128,350172,0,8232,34
8233,2326564,8234,350172,0,8331,31
8333,2326624,8333,350172,0,8433,19
8435,2326624,8436,350172,0,8535,22
8537,2327112,8538,350172,0,8636,23
8638,2327112,8639,350172,0,8736,19
8739,2326884,8740,350172,0,8841,6
8846,2327096,8848,350172,0,8935,26
8937,2327784,8938,350172,0,9036,20
9038,2327932,9038,350172,0,9137,18
9140,2328016,9141,350172,0,9237,22
9239,2328016,9240,350172,0,9339,21
9342,2328016,9343,350172,0,9437,33
9439,2328244,9440,350172,0,9540,23
9543,2328644,9544,350172,0,9638,40
9640,2329684,9641,350172,0,9741,37
9744,2330888,9746,350172,0,9841,40
9844,2330972,9845,350172,0,9942,36
9944,2331900,9945,350172,0,10043,42
10046,2332948,10047,350172,0,10142,39
10143,2330916,10143,350172,0,10241,42
10243,2333424,10243,350172,0,10342,26
10343,2328872,10344,350172,0,10443,42
10445,2329544,10446,350172,0,10543,53
10544,2329964,10545,350172,0,10643,59
10644,2331148,10644,350172,0,10743,42
10745,2331952,10745,350172,0,10844,66
10845,2334624,10846,350172,0,10944,52
10945,2338588,10945,350172,0,11047,59
11049,2340788,11049,350172,0,11144,43
11146,2316612,11146,350172,0,11245,30
11246,2316464,11247,350172,0,11345,23
11346,2315784,11347,350172,0,11446,28
11447,2316368,11447,350172,0,11546,33
11547,2317820,11547,350172,0,11647,34
11648,2318192,11648,350172,0,11747,68
11748,2321132,11748,350172,0,11847,48
11848,2322976,11848,350172,0,11947,35
11948,2324952,11948,350172,0,12048,24
12049,2326164,12050,350172,0,12148,46
12149,2329064,12150,350172,0,12249,66
12249,2336148,12251,350172,0,12349,83
12350,2335964,12351,350172,0,12450,82
12451,2340656,12451,350172,0,12550,57
12551,2341408,12552,350172,0,12651,62
12651,2343216,12652,350172,0,12751,53
12752,2344368,12752,350172,0,12852,43
12853,2345136,12855,350172,0,12952,56
12952,2345136,12953,350172,0,13053,40
13054,2345208,13055,350172,0,13154,45
13155,2346444,13156,350172,0,13254,43
13255,2346348,13256,350172,0,13354,54
13355,2348152,13355,350172,0,13454,56
13455,2348284,13455,350172,0,13554,57
13555,2348280,13556,350172,0,13655,46
13656,2348148,13656,350172,0,13755,60
13756,2349028,13756,350172,0,13855,61
13856,2375376,13856,350172,0,13956,60
13960,2380788,13960,350172,0,14056,73
14057,2399124,14057,350172,0,14156,66
14157,2434380,14158,350172,0,14257,65
14258,2448476,14258,350172,0,14357,56
14359,2464512,14359,350172,0,14458,56
14459,2446812,14459,350172,0,14558,38
14559,2485592,14559,350172,0,14659,49
14660,2505012,14660,350172,0,14759,53
14760,2509232,14760,350172,0,14861,43
14865,2509540,14866,350172,0,14961,56
14963,2510448,14963,350172,0,15062,58
15064,2510448,15065,350172,0,15161,69
15162,2509440,15163,350172,0,15264,29
15266,2509888,15266,350172,0,15362,27
15363,2510300,15364,350172,0,15463,20
15465,2510612,15465,350172,0,15564,28
15565,2510800,15566,350172,0,15665,36
15667,2510756,15668,350172,0,15766,25
15768,2510600,15769,350172,0,15866,24
15867,2510152,15868,350172,0,15965,22
15966,2510604,15967,350172,0,16066,22
16067,2497884,16067,350172,0,16169,18
16172,2497884,16173,350172,0,16269,25
16270,2498036,16272,350172,0,16367,57
16368,2499028,16368,350172,0,16467,44
16468,2499276,16469,350172,0,16570,34
16572,2499236,16573,350172,0,16670,26
16672,2499516,16673,350172,0,16769,37
16770,2500796,16771,350172,0,16870,37
16871,2500820,16872,350172,0,16972,40
16975,2502736,16976,350172,0,17070,57
17071,2505936,17072,350172,0,17171,56
17172,2504752,17172,350172,0,17271,56
17272,2499560,17272,350172,0,17371,31
17373,2498944,17373,350172,0,17472,46
17474,2499136,17474,350172,0,17573,58
17575,2494212,17575,350172,0,17673,63
17674,2495936,17675,350172,0,17774,50
17775,2498180,17776,350172,0,17874,50
17875,2504180,17876,350172,0,17974,50
17976,2504452,17977,350172,0,18075,52
18076,2508008,18077,350172,0,18176,24
18180,2510932,18181,350172,0,18225,67
18227,2509932,18228,350172,0,18325,91
18327,2504864,18327,350172,0,18426,87
18428,2506188,18430,350172,0,18530,57
18532,2506444,18532,350172,0,18630,63
18632,2506308,18632,350172,0,18732,80
18734,2507580,18734,350172,0,18834,62
18836,2507492,18839,350172,0,18934,48
18937,2506752,18937,350172,0,19035,0
19037,2506936,19037,350172,0,19135,90
19137,2507972,19138,350172,0,19236,89
19237,2508144,19238,350172,0,19337,90
19338,2508344,19339,350172,0,19438,83
19439,2508424,19439,350172,0,19538,72
19540,2508276,19541,350172,0,19639,69
19640,2474088,19640,350172,0,19739,81
19740,2473872,19740,350172,0,19839,48
19840,2472936,19841,350172,0,19940,60
19941,2473092,19941,350172,0,20040,70
20041,2473048,20042,350172,0,20140,65
20141,2473048,20142,350172,0,20241,60
20242,2473296,20243,350172,0,20341,65
20342,2473148,20343,350172,0,20442,60
20443,2473180,20444,350172,0,20562,71
20563,2473192,20564,350172,0,20652,100
20653,2466176,20654,350172,0,20753,2
20755,2464820,20755,350172,0,20853,26
20854,2464324,20855,350172,0,20954,28
20956,2464324,20957,350172,0,21054,30
21056,2464324,21057,350172,0,21155,26
21157,2464684,21158,350172,0,21255,29
21257,2464536,21258,350172,0,21355,56
21357,2465876,21358,350172,0,21456,55
21458,2466372,21458,350172,0,21557,55
21558,2466868,21559,350172,0,21657,54
21659,2466820,21659,350172,0,21759,30
21762,2467136,21763,350172,0,21859,81
21861,2467484,21862,350172,0,21959,94
21960,2469452,21962,350172,0,22059,88
22070,2472700,22071,350172,0,22160,71
22162,2473200,22163,350172,0,22260,57
22261,2472268,22262,350172,0,22361,79
22363,2472420,22364,350172,0,22461,81
22465,2471940,22468,350172,0,22562,73
22564,2464132,22565,350172,0,22662,77
22663,2454488,22664,350172,0,22764,24
22766,2453240,22766,350172,0,22864,35
22865,2453500,22865,350172,0,22964,70
22965,2370100,22965,350172,0,23064,78
23064,2366844,23065,350172,0,23164,36
23165,2366252,23166,350172,0,23265,29
23266,2365988,23267,350172,0,23365,40
23366,2362732,23368,350172,0,23466,34
23467,2362436,23467,350172,0,23566,46
23567,2362632,23567,350172,0,23667,52
23668,2362932,23668,350172,0,23767,29
23769,2362904,23770,350172,0,23868,53
23869,2363848,23869,350172,0,23968,51
23969,2364592,23969,350172,0,24068,0
24069,2365052,24070,350172,0,24168,36
24169,2366176,24170,350172,0,24271,44
24272,2368224,24273,350172,0,24370,57
24371,2368332,24372,350172,0,24469,20
24470,2368256,24471,350172,0,24570,24
24571,2364040,24572,350172,0,24672,55
24673,2364368,24674,350172,0,24771,58
24772,2364816,24772,350172,0,24872,58
24873,2363796,24874,350172,0,24973,35
24975,2363868,24976,350172,0,25073,44
25073,2363572,25074,350172,0,25174,28
25176,2362748,25176,350172,0,25273,40
25274,2367884,25275,350172,0,25374,42
25375,2368216,25375,2689046,2338874,25474,49
25475,2369104,25476,2689046,2338874,25575,46
25576,2370304,25577,2689046,2338874,25675,75
25676,2385300,25677,2689046,2338874,25776,83
25776,2386852,25777,2689046,2338874,25876,63
25877,2386440,25877,2689046,2338874,25976,45
25977,2388212,25978,2689046,2338874,26076,62
26077,2389108,26078,2689046,2338874,26177,54
26178,2397216,26178,2689046,2338874,26277,69
26278,2421108,26279,2689046,2338874,26378,65
26379,2422112,26379,2689046,2338874,26478,63
26479,2422460,26480,2689046,2338874,26579,73
26581,2434224,26581,2689046,2338874,26679,46
26681,2435088,26681,2689046,2338874,26779,53
26780,2438208,26781,2689046,2338874,26880,49
26881,2438024,26882,2689046,2338874,26981,57
26982,2438088,26983,2689046,2338874,27081,0
27082,2438688,27082,2689046,2338874,27181,72
27182,2438912,27183,2689046,2338874,27282,70
27283,2440668,27283,2689046,2338874,27390,69
27391,2440520,27397,2689046,2338874,27482,50
27483,2440044,27484,2689046,2338874,27583,48
27584,2439564,27585,2689046,2338874,27684,67
27685,2439912,27686,2689046,2338874,27784,52
27786,2439896,27786,2689046,2338874,27885,58
27886,2440072,27887,2689046,2338874,27985,54
27987,2440072,27987,2689046,2338874,28086,68
28087,2440912,28088,2689046,2338874,28187,43
28188,2441160,28189,2689046,2338874,28287,46
28288,2438200,28289,2689046,2338874,28387,27
28388,2437608,28389,2689046,2338874,28488,51
28490,2437816,28491,2689046,2338874,28588,82
28589,2438608,28590,2689046,2338874,28689,59
28690,2439104,28691,2689046,2338874,28794,84
28795,2440332,28796,2689046,2338874,28890,97
28892,2440704,28892,2689046,2338874,28991,64
28992,2441300,28993,2689046,2338874,29092,62
29093,2441300,29100,2689046,2338874,29194,95
29196,2442540,29196,2689046,2338874,29293,53
29294,2442556,29295,2689046,2338874,29394,77
29397,2444384,29398,2689046,2338874,29495,97
29495,2446436,29496,2689046,2338874,29596,94
29597,2443072,29598,2689046,2338874,29696,83
29697,2443892,29698,2689046,2338874,29797,82
29799,2447668,29800,2689046,2338874,29899,80
29900,2448732,29902,2689046,2338874,29998,81
29999,2448980,30000,2689046,2338874,30099,68
30100,2448832,30101,2689046,2338874,30199,76
30201,2449280,30205,2689046,2338874,30301,66
30303,2450096,30303,2689046,2338874,30401,64
30402,2450344,30403,2689046,2338874,30501,85
30503,2450808,30504,2689046,2338874,30562,100
30567,2451988,30568,2689046,2338874,30663,68
30665,2444368,30666,2689046,2338874,30763,91
30765,2449412,30765,2689046,2338874,30868,76
30870,2451304,30871,2689046,2338874,30967,81
30974,2439040,30975,2689046,2338874,31068,76
31069,2439052,31070,2689046,2338874,31168,78
31171,2438980,31171,2689046,2338874,31269,78
31271,2439296,31271,2689046,2338874,31369,69
31372,2439108,31373,2689046,2338874,31469,75
31472,2437712,31473,2689046,2338874,31571,87
31574,2438136,31575,2689046,2338874,31672,83
31675,2432184,31677,2689046,2338874,31772,80
31775,2432320,31776,2689046,2338874,31873,75
31876,2433064,31877,2689046,2338874,31973,78
31975,2431732,31976,2689046,2338874,32073,77
32076,2431604,32077,2689046,2338874,32174,68
32177,2430716,32178,2689046,2338874,32274,61
32275,2430124,32276,2689046,2338874,32374,52
32375,2429976,32375,2689046,2338874,32475,24
32476,2429376,32477,2689046,2338874,32575,75
32576,2430300,32577,2689046,2338874,32676,38
32677,2430100,32678,2689046,2338874,32776,36
32777,2430116,32778,2689046,2338874,32876,40
32878,2430436,32878,2689046,2338874,32977,31
32978,2430436,32979,2689046,2338874,33079,48
33081,2430608,33082,2689046,2338874,33178,46
33179,2430432,33180,2689046,2338874,33279,42
33280,2426436,33281,2689046,2338874,33379,29
33381,2426592,33382,2689046,2338874,33479,57
33481,2425556,33481,2689046,2338874,33581,60
33582,2426356,33584,2689046,2338874,33684,87
33685,2426704,33685,2689046,2338874,33784,57
33786,2427276,33787,2689046,2338874,33884,64
33886,2424632,33887,2689046,2338874,33985,61
33987,2424880,33987,2689046,2338874,34085,60
34087,2425520,34088,2689046,2338874,34186,57
34187,2425940,34188,2689046,2338874,34286,64
34288,2427100,34288,2689046,2338874,34387,61
34388,2427896,34389,2689046,2338874,34487,14
34489,2427748,34490,2689046,2338874,34588,71
34592,2425360,34593,2689046,2338874,34689,81
34690,2422568,34691,2689046,2338874,34789,77
34791,2413664,34793,2689046,2338874,34889,91
34890,2405944,34891,2689046,2338874,34989,87
34991,2387432,34992,2689046,2338874,35090,92
35091,2379228,35091,2689046,2338874,35190,51
35192,2377096,35192,2689046,2338874,35291,31
35293,2376504,35293,2689046,2338874,35392,30
35393,2376356,35394,2689046,2338874,35492,34
35493,2376356,35494,2689046,2338874,35592,28
35594,2374916,35594,2689046,2338874,35693,50
35694,2375752,35695,2689046,2338874,35793,52
35794,2376488,35795,2689046,2338874,35894,57
35895,2377016,35896,2689046,2338874,35994,56
35996,2377264,35996,2689046,2338874,36095,56
36096,2378008,36097,2689046,2338874,36195,55
36197,2378248,36197,2689046,2338874,36295,55
36297,2378996,36297,2689046,2338874,36397,27
36398,2379496,36399,2689046,2338874,36496,78
36498,2381020,36499,2689046,2338874,36597,62
36598,2381392,36599,2689046,2338874,36698,47
36701,2377200,36701,2689046,2338874,36798,50
36800,2377036,36801,2689046,2338874,36899,83
36902,2376988,36905,2689046,2338874,37003,75
