datetime,cpu,mem
Mon Aug  3 17:44:26 GMT 2020,0.9,109140
Mon Aug  3 17:44:26 GMT 2020,0.9,109426
Mon Aug  3 17:44:26 GMT 2020,0.9,109446
Mon Aug  3 17:44:27 GMT 2020,0.9,116135
Mon Aug  3 17:44:27 GMT 2020,0.9,116135
Mon Aug  3 17:44:28 GMT 2020,0.9,116155
Mon Aug  3 17:44:28 GMT 2020,0.9,116155
Mon Aug  3 17:44:28 GMT 2020,0.9,116155
Mon Aug  3 17:44:29 GMT 2020,0.9,115663
Mon Aug  3 17:44:29 GMT 2020,0.9,115683
Mon Aug  3 17:44:30 GMT 2020,0.9,115687
Mon Aug  3 17:44:30 GMT 2020,0.9,115687
Mon Aug  3 17:44:30 GMT 2020,0.9,115687
Mon Aug  3 17:44:31 GMT 2020,0.9,97038
Mon Aug  3 17:44:31 GMT 2020,0.9,97006
Mon Aug  3 17:44:31 GMT 2020,0.9,97771
Mon Aug  3 17:44:32 GMT 2020,0.9,107954
Mon Aug  3 17:44:32 GMT 2020,0.9,108357
Mon Aug  3 17:44:32 GMT 2020,0.9,83158
Mon Aug  3 17:44:33 GMT 2020,0.9,100106
Mon Aug  3 17:44:33 GMT 2020,0.9,87785
Mon Aug  3 17:44:33 GMT 2020,0.9,105275
Mon Aug  3 17:44:34 GMT 2020,0.9,104930
Mon Aug  3 17:44:34 GMT 2020,0.9,105158
Mon Aug  3 17:44:35 GMT 2020,0.9,105256
Mon Aug  3 17:44:35 GMT 2020,0.9,137054
Mon Aug  3 17:44:36 GMT 2020,0.9,137483
Mon Aug  3 17:44:36 GMT 2020,0.9,105545
Mon Aug  3 17:44:37 GMT 2020,0.9,105490
Mon Aug  3 17:44:37 GMT 2020,0.9,71493
Mon Aug  3 17:44:38 GMT 2020,0.9,70952
Mon Aug  3 17:44:38 GMT 2020,0.9,70870
Mon Aug  3 17:44:39 GMT 2020,0.9,69750
Mon Aug  3 17:44:39 GMT 2020,0.9,107099
Mon Aug  3 17:44:40 GMT 2020,0.9,111632
Mon Aug  3 17:44:40 GMT 2020,0.9,113126
Mon Aug  3 17:44:41 GMT 2020,0.9,115920
Mon Aug  3 17:44:41 GMT 2020,0.9,117612
Mon Aug  3 17:44:42 GMT 2020,0.9,117608
Mon Aug  3 17:44:42 GMT 2020,0.9,117608
Mon Aug  3 17:44:43 GMT 2020,0.9,117608
Mon Aug  3 17:44:44 GMT 2020,0.9,117345
Mon Aug  3 17:44:44 GMT 2020,0.9,117360
Mon Aug  3 17:44:45 GMT 2020,0.9,155835
Mon Aug  3 17:44:46 GMT 2020,0.9,125582
Mon Aug  3 17:44:46 GMT 2020,0.9,125818
Mon Aug  3 17:44:47 GMT 2020,0.9,125818
Mon Aug  3 17:44:48 GMT 2020,0.9,125818
Mon Aug  3 17:44:48 GMT 2020,0.9,125818
Mon Aug  3 17:44:49 GMT 2020,0.9,125349
Mon Aug  3 17:44:50 GMT 2020,0.9,91544
Mon Aug  3 17:44:50 GMT 2020,0.9,91101
Mon Aug  3 17:44:51 GMT 2020,0.9,91100
Mon Aug  3 17:44:52 GMT 2020,0.9,108247
Mon Aug  3 17:44:52 GMT 2020,0.9,125296
Mon Aug  3 17:44:53 GMT 2020,0.9,126408
Mon Aug  3 17:44:53 GMT 2020,0.9,126412
Mon Aug  3 17:44:54 GMT 2020,0.9,126412
Mon Aug  3 17:44:55 GMT 2020,0.9,124000
Mon Aug  3 17:44:55 GMT 2020,0.9,124016
Mon Aug  3 17:44:56 GMT 2020,0.9,124019
Mon Aug  3 17:44:56 GMT 2020,0.9,140433
Mon Aug  3 17:44:57 GMT 2020,0.9,89204
Mon Aug  3 17:44:57 GMT 2020,0.9,88640
Mon Aug  3 17:44:58 GMT 2020,0.9,88635
Mon Aug  3 17:44:59 GMT 2020,0.9,105958
Mon Aug  3 17:44:59 GMT 2020,0.9,125661
Mon Aug  3 17:45:00 GMT 2020,0.9,125161
Mon Aug  3 17:45:00 GMT 2020,0.9,125177
Mon Aug  3 17:45:01 GMT 2020,0.9,125103
Mon Aug  3 17:45:02 GMT 2020,0.9,91509
Mon Aug  3 17:45:02 GMT 2020,0.9,91193
Mon Aug  3 17:45:03 GMT 2020,0.9,91179
Mon Aug  3 17:45:03 GMT 2020,0.9,174703
Mon Aug  3 17:45:04 GMT 2020,0.9,126075
Mon Aug  3 17:45:05 GMT 2020,0.9,125599
Mon Aug  3 17:45:05 GMT 2020,0.9,125615
Mon Aug  3 17:45:06 GMT 2020,0.9,125619
Mon Aug  3 17:45:07 GMT 2020,0.9,125623
Mon Aug  3 17:45:07 GMT 2020,0.9,125627
Mon Aug  3 17:45:08 GMT 2020,0.9,125608
Mon Aug  3 17:45:08 GMT 2020,0.9,91195
Mon Aug  3 17:45:09 GMT 2020,0.9,90647
Mon Aug  3 17:45:10 GMT 2020,0.9,90646
Mon Aug  3 17:45:10 GMT 2020,0.9,127747
Mon Aug  3 17:45:11 GMT 2020,0.9,131157
Mon Aug  3 17:45:11 GMT 2020,0.9,131189
Mon Aug  3 17:45:12 GMT 2020,0.9,131189
Mon Aug  3 17:45:13 GMT 2020,0.9,131189
Mon Aug  3 17:45:14 GMT 2020,0.9,131189
Mon Aug  3 17:45:14 GMT 2020,0.9,131188
Mon Aug  3 17:45:15 GMT 2020,0.9,95281
Mon Aug  3 17:45:16 GMT 2020,0.9,94903
Mon Aug  3 17:45:16 GMT 2020,0.9,94902
Mon Aug  3 17:45:17 GMT 2020,0.9,94799
Mon Aug  3 17:45:17 GMT 2020,0.9,94899
Mon Aug  3 17:45:18 GMT 2020,0.9,94923
Mon Aug  3 17:45:19 GMT 2020,0.9,94870
Mon Aug  3 17:45:19 GMT 2020,0.9,112125
Mon Aug  3 17:45:20 GMT 2020,0.9,129102
Mon Aug  3 17:45:20 GMT 2020,0.9,126800
Mon Aug  3 17:45:21 GMT 2020,0.9,127168
Mon Aug  3 17:45:22 GMT 2020,0.9,127168
Mon Aug  3 17:45:22 GMT 2020,0.9,127180
Mon Aug  3 17:45:23 GMT 2020,0.9,127180
Mon Aug  3 17:45:24 GMT 2020,0.9,127180
Mon Aug  3 17:45:24 GMT 2020,0.9,127183
Mon Aug  3 17:45:25 GMT 2020,0.9,130792
Mon Aug  3 17:45:26 GMT 2020,0.9,132469
Mon Aug  3 17:45:26 GMT 2020,0.9,132501
Mon Aug  3 17:45:27 GMT 2020,0.9,132517
Mon Aug  3 17:45:28 GMT 2020,0.9,132501
Mon Aug  3 17:45:29 GMT 2020,0.9,132509
Mon Aug  3 17:45:29 GMT 2020,0.9,132488
Mon Aug  3 17:45:30 GMT 2020,0.9,97717
Mon Aug  3 17:45:31 GMT 2020,0.9,97381
Mon Aug  3 17:45:31 GMT 2020,0.9,94188
Mon Aug  3 17:45:32 GMT 2020,0.9,94281
Mon Aug  3 17:45:32 GMT 2020,0.9,94271
Mon Aug  3 17:45:33 GMT 2020,0.9,94274
Mon Aug  3 17:45:34 GMT 2020,0.9,111519
Mon Aug  3 17:45:34 GMT 2020,0.9,127721
Mon Aug  3 17:45:35 GMT 2020,0.9,128369
Mon Aug  3 17:45:35 GMT 2020,0.9,137665
Mon Aug  3 17:45:36 GMT 2020,0.9,134300
Mon Aug  3 17:45:37 GMT 2020,0.9,136511
Mon Aug  3 17:45:37 GMT 2020,0.9,135363
Mon Aug  3 17:45:38 GMT 2020,0.9,135363
Mon Aug  3 17:45:39 GMT 2020,0.9,135367
Mon Aug  3 17:45:39 GMT 2020,0.9,135294
Mon Aug  3 17:45:40 GMT 2020,0.9,185626
Mon Aug  3 17:45:41 GMT 2020,0.9,194015
Mon Aug  3 17:45:41 GMT 2020,0.9,205171
Mon Aug  3 17:45:42 GMT 2020,0.9,219839
Mon Aug  3 17:45:43 GMT 2020,0.9,223726
Mon Aug  3 17:45:43 GMT 2020,0.9,231436
Mon Aug  3 17:45:44 GMT 2020,0.9,234216
Mon Aug  3 17:45:45 GMT 2020,0.9,237216
Mon Aug  3 17:45:46 GMT 2020,0.9,237560
Mon Aug  3 17:45:47 GMT 2020,0.9,237508
Mon Aug  3 17:45:48 GMT 2020,0.9,233679
Mon Aug  3 17:45:49 GMT 2020,0.9,190178
Mon Aug  3 17:45:49 GMT 2020,0.9,188060
Mon Aug  3 17:45:50 GMT 2020,0.9,188027
Mon Aug  3 17:45:51 GMT 2020,0.9,214400
Mon Aug  3 17:45:52 GMT 2020,0.9,226496
Mon Aug  3 17:45:53 GMT 2020,0.9,226412
Mon Aug  3 17:45:54 GMT 2020,0.9,226428
Mon Aug  3 17:45:55 GMT 2020,0.9,226413
Mon Aug  3 17:45:56 GMT 2020,0.9,193021
Mon Aug  3 17:45:56 GMT 2020,0.9,191872
Mon Aug  3 17:45:57 GMT 2020,0.9,187908
Mon Aug  3 17:45:58 GMT 2020,0.9,225472
Mon Aug  3 17:45:59 GMT 2020,0.9,237561
Mon Aug  3 17:45:59 GMT 2020,0.9,236377
Mon Aug  3 17:46:00 GMT 2020,0.9,241465
Mon Aug  3 17:46:01 GMT 2020,0.9,245105
Mon Aug  3 17:46:02 GMT 2020,0.9,237859
Mon Aug  3 17:46:03 GMT 2020,0.9,200612
Mon Aug  3 17:46:04 GMT 2020,0.9,195249
Mon Aug  3 17:46:04 GMT 2020,0.9,195214
Mon Aug  3 17:46:05 GMT 2020,0.9,194837
Mon Aug  3 17:46:06 GMT 2020,0.9,190291
Mon Aug  3 17:46:07 GMT 2020,0.9,224229
Mon Aug  3 17:46:08 GMT 2020,0.9,224591
Mon Aug  3 17:46:08 GMT 2020,0.9,228052
Mon Aug  3 17:46:09 GMT 2020,0.9,230512
Mon Aug  3 17:46:10 GMT 2020,0.9,228170
Mon Aug  3 17:46:11 GMT 2020,0.9,228174
Mon Aug  3 17:46:12 GMT 2020,0.9,213027
Mon Aug  3 17:46:12 GMT 2020,0.9,212408
Mon Aug  3 17:46:13 GMT 2020,0.9,219128
Mon Aug  3 17:46:14 GMT 2020,0.9,235856
Mon Aug  3 17:46:15 GMT 2020,0.9,241034
Mon Aug  3 17:46:16 GMT 2020,0.9,240850
Mon Aug  3 17:46:16 GMT 2020,0.9,243058
Mon Aug  3 17:46:17 GMT 2020,0.9,243205
Mon Aug  3 17:46:18 GMT 2020,0.9,198217
Mon Aug  3 17:46:19 GMT 2020,0.9,195952
Mon Aug  3 17:46:20 GMT 2020,0.9,194383
Mon Aug  3 17:46:21 GMT 2020,0.9,194569
Mon Aug  3 17:46:21 GMT 2020,0.9,195221
Mon Aug  3 17:46:22 GMT 2020,0.9,226489
Mon Aug  3 17:46:23 GMT 2020,0.9,226913
Mon Aug  3 17:46:24 GMT 2020,0.9,233468
Mon Aug  3 17:46:25 GMT 2020,0.9,237389
Mon Aug  3 17:46:26 GMT 2020,0.9,237959
Mon Aug  3 17:46:27 GMT 2020,0.9,220659
Mon Aug  3 17:46:28 GMT 2020,0.9,220051
Mon Aug  3 17:46:28 GMT 2020,0.9,221468
Mon Aug  3 17:46:29 GMT 2020,0.9,217069
Mon Aug  3 17:46:30 GMT 2020,0.9,217061
Mon Aug  3 17:46:31 GMT 2020,0.9,217097
Mon Aug  3 17:46:32 GMT 2020,0.9,217081
Mon Aug  3 17:46:33 GMT 2020,0.9,217045
Mon Aug  3 17:46:34 GMT 2020,0.9,216389
Mon Aug  3 17:46:35 GMT 2020,0.9,216374
Mon Aug  3 17:46:35 GMT 2020,0.9,181855
Mon Aug  3 17:46:36 GMT 2020,0.9,181524
Mon Aug  3 17:46:37 GMT 2020,0.9,214776
Mon Aug  3 17:46:37 GMT 2020,0.9,219745
Mon Aug  3 17:46:38 GMT 2020,0.9,224345
Mon Aug  3 17:46:39 GMT 2020,0.9,207021
Mon Aug  3 17:46:39 GMT 2020,0.9,217312
Mon Aug  3 17:46:40 GMT 2020,0.9,217252
Mon Aug  3 17:46:41 GMT 2020,0.9,217244
Mon Aug  3 17:46:42 GMT 2020,0.9,217248
Mon Aug  3 17:46:43 GMT 2020,0.9,217160
Mon Aug  3 17:46:44 GMT 2020,0.9,217064
Mon Aug  3 17:46:44 GMT 2020,0.9,183464
Mon Aug  3 17:46:45 GMT 2020,0.9,183279
Mon Aug  3 17:46:46 GMT 2020,0.9,200761
Mon Aug  3 17:46:47 GMT 2020,0.9,221257
Mon Aug  3 17:46:47 GMT 2020,0.9,221249
Mon Aug  3 17:46:48 GMT 2020,0.9,221245
Mon Aug  3 17:46:49 GMT 2020,0.9,221245
Mon Aug  3 17:46:50 GMT 2020,0.9,220800
Mon Aug  3 17:46:51 GMT 2020,0.9,186213
Mon Aug  3 17:46:52 GMT 2020,0.9,185771
Mon Aug  3 17:46:52 GMT 2020,0.9,185743
Mon Aug  3 17:46:53 GMT 2020,0.9,184412
Mon Aug  3 17:46:54 GMT 2020,0.9,184364
Mon Aug  3 17:46:54 GMT 2020,0.9,184332
Mon Aug  3 17:46:55 GMT 2020,0.9,200106
Mon Aug  3 17:46:56 GMT 2020,0.9,217214
Mon Aug  3 17:46:56 GMT 2020,0.9,219762
Mon Aug  3 17:46:57 GMT 2020,0.9,221610
Mon Aug  3 17:46:58 GMT 2020,0.9,220430
Mon Aug  3 17:46:59 GMT 2020,0.9,220426
Mon Aug  3 17:47:00 GMT 2020,0.9,218582
Mon Aug  3 17:47:01 GMT 2020,0.9,219250
Mon Aug  3 17:47:01 GMT 2020,0.9,221625
Mon Aug  3 17:47:02 GMT 2020,0.9,221937
Mon Aug  3 17:47:03 GMT 2020,0.9,221833
Mon Aug  3 17:47:04 GMT 2020,0.9,221833
Mon Aug  3 17:47:05 GMT 2020,0.9,221813
Mon Aug  3 17:47:06 GMT 2020,0.9,237913
Mon Aug  3 17:47:06 GMT 2020,0.9,186209
Mon Aug  3 17:47:07 GMT 2020,0.9,186049
Mon Aug  3 17:47:08 GMT 2020,0.9,186179
Mon Aug  3 17:47:08 GMT 2020,0.9,186147
Mon Aug  3 17:47:09 GMT 2020,0.9,186123
Mon Aug  3 17:47:10 GMT 2020,0.9,185999
