RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"TfprPrefetchingStrategy",1927,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",1980,0,0,0,True
1,"TfprPrefetchingStrategy",1719,0,0,0,True
1,"TfprPrefetchingStrategy",2083,0,0,0,True
1,"TfprPrefetchingStrategy",1718,0,0,0,True
1,"TfprPrefetchingStrategy",1655000,0,1,1,True
1,"TfprPrefetchingStrategy",2448,0,0,0,True
1,"TfprPrefetchingStrategy",1099010,0,1,1,True
1,"TfprPrefetchingStrategy",862552,0,1,1,True
1,"TfprPrefetchingStrategy",1563,0,0,0,True
1,"TfprPrefetchingStrategy",1719,0,0,0,True
1,"TfprPrefetchingStrategy",1550573,0,1,2,True
1,"TfprPrefetchingStrategy",1459,0,0,0,True
1,"TfprPrefetchingStrategy",1228177,0,1,2,True
1,"TfprPrefetchingStrategy",1201303,0,1,2,True
1,"TfprPrefetchingStrategy",1459,0,0,0,True
1,"TfprPrefetchingStrategy",1095729,0,1,2,True
1,"TfprPrefetchingStrategy",3803,0,0,0,True
1,"TfprPrefetchingStrategy",1681354,0,1,2,True
1,"TfprPrefetchingStrategy",1198,0,0,0,True
1,"TfprPrefetchingStrategy",1771,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",1875,0,0,0,True
1,"TfprPrefetchingStrategy",6306510,0,1,3,True
1,"TfprPrefetchingStrategy",1979,0,0,0,True
2,"TfprPrefetchingStrategy",2613073,0,1,3,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",1354,0,0,0,True
2,"TfprPrefetchingStrategy",1927,0,0,0,True
2,"TfprPrefetchingStrategy",2135,0,0,0,True
2,"TfprPrefetchingStrategy",1511,0,0,0,True
2,"TfprPrefetchingStrategy",2325052,0,1,3,True
2,"TfprPrefetchingStrategy",1719,0,0,0,True
2,"TfprPrefetchingStrategy",1425938,0,1,3,True
2,"TfprPrefetchingStrategy",1223593,0,1,3,True
2,"TfprPrefetchingStrategy",1198,0,0,0,True
2,"TfprPrefetchingStrategy",1718,0,0,0,True
2,"TfprPrefetchingStrategy",3331354,0,1,3,True
2,"TfprPrefetchingStrategy",1875,0,0,0,True
2,"TfprPrefetchingStrategy",1591355,0,1,3,True
2,"TfprPrefetchingStrategy",1459948,0,1,3,True
2,"TfprPrefetchingStrategy",1510,0,0,0,True
2,"TfprPrefetchingStrategy",1516979,0,1,3,True
2,"TfprPrefetchingStrategy",2448,0,0,0,True
2,"TfprPrefetchingStrategy",4990938,0,1,3,True
2,"TfprPrefetchingStrategy",969010,0,0,1,True
2,"TfprPrefetchingStrategy",939375,0,0,1,True
2,"TfprPrefetchingStrategy",2083,0,0,0,True
2,"TfprPrefetchingStrategy",2083,0,0,0,True
2,"TfprPrefetchingStrategy",1477239,0,1,3,True
2,"TfprPrefetchingStrategy",1562,0,0,0,True
3,"TfprPrefetchingStrategy",2608750,0,1,3,True
3,"TfprPrefetchingStrategy",1511,0,0,0,True
3,"TfprPrefetchingStrategy",2031,0,0,0,True
3,"TfprPrefetchingStrategy",2032,0,0,0,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",2239,0,0,0,True
3,"TfprPrefetchingStrategy",3064792,0,1,3,True
3,"TfprPrefetchingStrategy",1562,0,0,0,True
3,"TfprPrefetchingStrategy",1402969,0,1,3,True
3,"TfprPrefetchingStrategy",1623907,0,1,3,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",1927,0,0,0,True
3,"TfprPrefetchingStrategy",5045938,0,1,3,True
3,"TfprPrefetchingStrategy",1562,0,0,0,True
3,"TfprPrefetchingStrategy",1658959,0,1,3,True
3,"TfprPrefetchingStrategy",3626875,0,1,3,True
3,"TfprPrefetchingStrategy",1823,0,0,0,True
3,"TfprPrefetchingStrategy",2137656,0,1,3,True
3,"TfprPrefetchingStrategy",2240,0,0,0,True
3,"TfprPrefetchingStrategy",1725572,0,1,3,True
3,"TfprPrefetchingStrategy",995572,0,0,1,True
3,"TfprPrefetchingStrategy",1269219,0,0,1,True
3,"TfprPrefetchingStrategy",1563,0,0,0,True
3,"TfprPrefetchingStrategy",1875,0,0,0,True
3,"TfprPrefetchingStrategy",1419375,0,1,3,True
3,"TfprPrefetchingStrategy",1719,0,0,0,True
