STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"TfprPrefetchingStrategy",2613073,0,1,3,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",1354,0,0,0,True
"TfprPrefetchingStrategy",1927,0,0,0,True
"TfprPrefetchingStrategy",2135,0,0,0,True
"TfprPrefetchingStrategy",1511,0,0,0,True
"TfprPrefetchingStrategy",2325052,0,1,3,True
"TfprPrefetchingStrategy",1719,0,0,0,True
"TfprPrefetchingStrategy",1425938,0,1,3,True
"TfprPrefetchingStrategy",1223593,0,1,3,True
"TfprPrefetchingStrategy",1198,0,0,0,True
"TfprPrefetchingStrategy",1718,0,0,0,True
"TfprPrefetchingStrategy",3331354,0,1,3,True
"TfprPrefetchingStrategy",1875,0,0,0,True
"TfprPrefetchingStrategy",1591355,0,1,3,True
"TfprPrefetchingStrategy",1459948,0,1,3,True
"TfprPrefetchingStrategy",1510,0,0,0,True
"TfprPrefetchingStrategy",1516979,0,1,3,True
"TfprPrefetchingStrategy",2448,0,0,0,True
"TfprPrefetchingStrategy",4990938,0,1,3,True
"TfprPrefetchingStrategy",969010,0,0,1,True
"TfprPrefetchingStrategy",939375,0,0,1,True
"TfprPrefetchingStrategy",2083,0,0,0,True
"TfprPrefetchingStrategy",2083,0,0,0,True
"TfprPrefetchingStrategy",1477239,0,1,3,True
"TfprPrefetchingStrategy",1562,0,0,0,True
