Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
18,2467536,19,0,0,83,33
84,2466892,84,0,0,183,16
184,2467152,185,0,0,283,14
284,2468708,285,0,0,389,18
391,2468708,392,0,0,487,16
489,2468228,490,0,0,587,10
589,2468392,590,0,0,686,20
688,2469080,689,0,0,788,22
790,2468988,792,0,0,888,20
890,2468544,891,0,0,992,8
995,2468796,997,0,0,1089,20
1090,2468920,1091,0,0,1189,20
1191,2466976,1191,0,0,1290,18
1292,2466908,1293,0,0,1392,13
1394,2465872,1396,0,0,1492,11
1495,2466324,1496,0,0,1590,25
1591,2467072,1592,0,0,1691,15
1693,2467072,1693,0,0,1793,13
1795,2466184,1797,0,0,1892,22
1894,2466792,1894,0,0,1993,20
1994,2467444,1994,0,0,2097,15
2099,2467592,2100,0,0,2197,14
2200,2466680,2201,0,0,2297,12
2299,2466972,2301,0,0,2396,20
2397,2468112,2398,0,0,2496,18
2498,2468360,2499,0,0,2599,21
2600,2466880,2601,0,0,2700,3
2703,2466584,2704,0,0,2799,17
2800,2467124,2801,0,0,2899,17
2901,2467580,2901,0,0,3001,18
3003,2467580,3004,0,0,3102,11
3103,2466836,3104,0,0,3202,10
3204,2467360,3206,0,0,3301,19
3302,2468208,3302,0,0,3401,20
3402,2475412,3403,0,0,3502,27
3503,2486700,3503,0,0,3602,22
3604,2487664,3604,0,0,3703,17
3704,2467092,3704,0,0,3803,23
3804,2467188,3805,0,0,3903,24
3904,2466752,3905,0,0,4004,20
4005,2467256,4006,0,0,4104,28
4106,2468028,4106,0,0,4206,32
4209,2468992,4210,0,0,4308,23
4310,2468604,4311,0,0,4407,31
4409,2469448,4410,0,0,4506,40
4507,2471152,4508,0,0,4606,36
4607,2472768,4607,0,0,4706,19
4707,2470944,4708,0,0,4808,22
4809,2471896,4810,0,0,4908,35
4909,2467988,4909,0,0,5008,29
5009,2468372,5009,0,0,5110,16
5111,2469168,5112,0,0,5209,26
5210,2470572,5211,0,0,5310,30
5311,2472460,5311,0,0,5410,37
5411,2471888,5411,0,0,5510,19
5511,2474016,5512,0,0,5611,33
5611,2471020,5612,0,0,5711,46
5712,2471944,5712,0,0,5811,29
5812,2471652,5812,0,0,5912,26
5912,2472828,5913,0,0,6012,40
6013,2474764,6014,0,0,6112,36
6113,2476132,6114,0,0,6213,36
6213,2474904,6214,0,0,6313,42
6314,2474164,6314,0,0,6413,47
6414,2472952,6414,0,0,6514,34
6515,2472560,6516,0,0,6615,26
6615,2473256,6616,0,0,6715,42
6716,2475060,6716,0,0,6817,33
6817,2476616,6818,0,0,6917,37
6917,2475016,6918,0,0,7017,32
7018,2472788,7018,0,0,7118,59
7119,2475060,7119,0,0,7219,56
7220,2490944,7221,0,0,7319,50
7319,2491080,7320,0,0,7420,0
7422,2490828,7423,0,0,7520,46
7521,2492232,7521,0,0,7620,39
7621,2493332,7621,0,0,7720,27
7721,2492180,7722,0,0,7821,32
7822,2488436,7822,0,0,7921,42
7924,2489792,7925,0,0,8024,49
8025,2490224,8026,0,0,8123,54
8124,2490148,8125,0,0,8223,46
8225,2490664,8225,0,0,8323,23
8325,2490212,8326,0,0,8424,46
8425,2493120,8426,0,0,8524,41
8525,2493368,8526,0,0,8624,36
8625,2492676,8626,0,0,8724,34
8725,2487496,8725,0,0,8825,34
8826,2488168,8826,0,0,8927,49
8928,2489584,8928,0,0,9026,52
9027,2490000,9027,0,0,9127,49
9128,2490796,9128,0,0,9227,32
9228,2491116,9229,0,0,9327,43
9328,2492792,9328,0,0,9428,42
9429,2493516,9429,0,0,9528,49
9529,2493580,9529,0,0,9628,54
9629,2489308,9629,0,0,9729,37
9730,2489836,9731,0,0,9830,56
9831,2491132,9832,0,0,9931,49
9933,2492024,9935,0,0,10032,55
10033,2492564,10034,0,0,10132,52
10134,2492356,10136,0,0,10233,40
10235,2493172,10236,0,0,10332,45
10333,2494784,10333,0,0,10433,0
10434,2480184,10435,0,0,10534,52
10535,2476292,10536,0,0,10639,77
10640,2476172,10640,0,0,10740,45
10741,2476472,10741,0,0,10840,39
10842,2476732,10842,0,0,10940,63
10941,2477144,10942,0,0,11041,53
11042,2478092,11042,0,0,11141,55
11143,2478176,11143,0,0,11242,51
11243,2478564,11243,0,0,11343,29
11345,2479960,11347,0,0,11443,70
11444,2481024,11444,0,0,11544,44
11545,2480840,11546,0,0,11645,68
11648,2476216,11655,0,0,11745,78
11746,2477092,11747,0,0,11845,50
11846,2476332,11847,0,0,11945,87
11946,2476852,11947,0,0,12046,64
12048,2475748,12049,0,0,12146,76
12148,2475132,12149,0,0,12247,86
12248,2475424,12248,0,0,12347,100
12347,2472848,12348,0,0,12447,60
12448,2472456,12449,0,0,12548,37
12549,2473352,12550,0,0,12648,62
12649,2472556,12649,0,0,12748,62
12749,2469020,12750,0,0,12849,59
12850,2469464,12851,0,0,12949,56
12950,2470020,12951,0,0,13050,51
13052,2468204,13053,0,0,13150,55
13151,2468536,13152,0,0,13251,56
13252,2468688,13253,0,0,13352,41
13354,2468924,13355,0,0,13452,50
13453,2470140,13454,0,0,13552,77
13553,2471232,13554,0,0,13653,56
13654,2471820,13655,169471,169471,13753,46
13754,2467412,13755,169471,169471,13854,33
13856,2466528,13856,169471,169471,13956,62
13957,2468664,13958,169471,169471,14055,50
14056,2468408,14057,169471,169471,14156,63
14158,2469064,14159,169471,169471,14256,61
14257,2469128,14257,169471,169471,14357,75
14358,2470880,14359,169471,169471,14458,0
14459,2472408,14459,169471,169471,14558,36
14559,2474108,14559,169471,169471,14658,29
14659,2474304,14660,169471,169471,14759,28
14759,2473564,14760,169471,169471,14859,28
14860,2474308,14861,169471,169471,14959,24
14960,2474412,14961,169471,169471,15060,26
15061,2474840,15062,169471,169471,15160,36
15161,2475324,15162,169471,169471,15262,36
15263,2474936,15263,169471,169471,15363,34
15365,2475104,15365,169471,169471,15463,50
15464,2475344,15465,169471,169471,15563,32
15565,2478572,15566,169471,169471,15664,49
15665,2479704,15665,169471,169471,15766,47
15768,2479508,15770,169471,169471,15866,51
15868,2479360,15869,169471,169471,15966,38
15967,2479636,15967,169471,169471,16067,28
16068,2483068,16069,169471,169471,16166,21
16167,2483532,16168,169471,169471,16267,36
16267,2496596,16268,169471,169471,16367,24
16368,2496188,16369,169471,169471,16468,21
16469,2496188,16469,169471,169471,16570,23
16572,2496436,16573,169471,169471,16670,20
16672,2495876,16673,169471,169471,16769,31
16770,2507660,16771,169471,169471,16870,35
16870,2494176,16871,169471,169471,16970,21
16971,2494176,16972,169471,169471,17073,22
17075,2493928,17076,169471,169471,17173,22
17175,2493060,17176,169471,169471,17275,3
17279,2493040,17284,169471,169471,17372,33
17373,2491824,17374,169471,169471,17475,23
17478,2492044,17479,169471,169471,17578,22
17581,2492196,17583,169471,169471,17676,25
17677,2492196,17678,169471,169471,17777,22
17780,2492196,17782,169471,169471,17879,10
17883,2491456,17885,169471,169471,17976,17
17977,2492340,17978,169471,169471,18077,20
18079,2492800,18080,169471,169471,18178,24
18180,2492484,18181,169471,169471,18279,21
18282,2492484,18283,169471,169471,18379,22
18381,2492484,18382,169471,169471,18481,12
18484,2491892,18486,169471,169471,18582,15
18585,2492504,18586,169471,169471,18630,29
18631,2492600,18632,169471,169471,18731,27
18732,2493268,18733,169471,169471,18833,38
18835,2493672,18836,169471,169471,18933,40
18936,2494416,18937,169471,169471,19038,36
19040,2494284,19041,169471,169471,19136,28
19139,2494824,19141,169471,169471,19233,39
19236,2495352,19237,169471,169471,19335,40
19337,2496980,19339,169471,169471,19434,45
19436,2498268,19436,169471,169471,19534,51
19535,2498540,19536,169471,169471,19634,31
19635,2492916,19636,169471,169471,19735,22
19736,2497364,19736,169471,169471,19835,70
19836,2498792,19837,169471,169471,19935,76
19937,2502260,19938,169471,169471,20036,70
20038,2500944,20039,169471,169471,20137,57
20137,2486640,20138,169471,169471,20237,29
20238,2486940,20238,169471,169471,20338,22
20339,2486796,20339,169471,169471,20438,16
20439,2487068,20440,169471,169471,20538,37
20539,2488112,20540,169471,169471,20639,31
20640,2488112,20640,169471,169471,20739,32
20740,2488388,20741,169471,169471,20839,22
20840,2488240,20841,169471,169471,20940,19
20941,2488240,20941,169471,169471,21040,9
21041,2487424,21042,169471,169471,21141,12
21142,2488088,21143,169471,169471,21243,25
21245,2488336,21246,169471,169471,21345,19
21348,2488416,21350,169471,169471,21445,26
21447,2488416,21448,169471,169471,21545,24
21546,2488416,21548,169471,169471,21646,28
21648,2488416,21649,169471,169471,21748,14
21753,2487676,21755,169471,169471,21847,15
21849,2487732,21851,169471,169471,21945,32
21946,2486676,21947,169471,169471,22048,24
22049,2486620,22051,169471,169471,22148,25
22150,2486632,22152,169471,169471,22247,23
22248,2486680,22249,169471,169471,22349,20
22352,2486680,22353,169471,169471,22448,33
22449,2486308,22449,169471,169471,22551,6
22553,2486312,22554,169471,169471,22649,23
22650,2487396,22651,169471,169471,22750,17
22751,2487556,22752,169471,169471,22853,21
22854,2487556,22856,169471,169471,22954,24
22956,2487408,22957,169471,169471,23054,21
23056,2487408,23058,169471,169471,23155,25
23161,2486084,23163,169471,169471,23256,15
23258,2485196,23260,169471,169471,23355,15
23357,2485408,23357,169471,169471,23454,23
23455,2485736,23456,169471,169471,23558,21
23561,2485736,23563,169471,169471,23657,27
23659,2485888,23661,169471,169471,23756,37
23757,2486484,23757,169471,169471,23858,42
23860,2486724,23862,169471,169471,23959,27
23961,2486752,23962,169471,169471,24059,31
24060,2487800,24061,169471,169471,24159,40
24160,2488480,24160,169471,169471,24260,38
24261,2489252,24261,169471,169471,24362,36
24364,2490572,24365,169471,169471,24461,32
24461,2490828,24462,169471,169471,24561,35
24562,2489708,24563,169471,169471,24662,21
24663,2483344,24664,169471,169471,24762,27
24762,2482964,24763,169471,169471,24862,29
24863,2483504,24863,169471,169471,24963,21
24964,2483504,24964,169471,169471,25063,19
25064,2483484,25064,169471,169471,25163,17
25164,2482592,25165,169471,169471,25264,3
25265,2482444,25266,169471,169471,25364,22
25365,2482816,25366,169471,169471,25465,22
25466,2483184,25466,169471,169471,25565,18
25566,2483184,25566,169471,169471,25665,28
25666,2483692,25667,169471,169471,25766,36
25767,2483696,25767,169471,169471,25868,24
25870,2484184,25872,169471,169471,25967,40
25968,2485204,25968,169471,169471,26068,41
26069,2485416,26070,169471,169471,26169,35
26171,2486284,26173,169471,169471,26270,41
26272,2487476,26273,169471,169471,26368,47
26369,2486904,26369,169471,169471,26469,22
26470,2487392,26470,169471,169471,26569,28
26570,2483480,26570,169471,169471,26671,44
26672,2483976,26672,169471,169471,26772,42
26772,2484036,26773,169471,169471,26872,42
26873,2484676,26873,169471,169471,26973,14
26973,2479940,26974,169471,169471,27073,22
27074,2480304,27074,169471,169471,27173,32
27174,2482836,27175,169471,169471,27274,27
27275,2482688,27276,169471,169471,27374,31
27375,2482688,27376,169471,169471,27475,49
27476,2483008,27476,169471,169471,27576,33
27577,2484960,27577,169471,169471,27676,25
27676,2485560,27677,169471,169471,27777,22
27779,2485560,27780,169471,169471,27876,20
27877,2485776,27878,169471,169471,27977,17
27977,2485656,27978,169471,169471,28077,15
28078,2485492,28079,169471,169471,28178,8
