datetime,cpu,mem
Mon Aug  3 16:42:25 GMT 2020,7.8,124238
Mon Aug  3 16:42:26 GMT 2020,7.8,134828
Mon Aug  3 16:42:26 GMT 2020,7.8,151726
Mon Aug  3 16:42:26 GMT 2020,7.8,151706
Mon Aug  3 16:42:27 GMT 2020,7.8,151711
Mon Aug  3 16:42:27 GMT 2020,7.8,151735
Mon Aug  3 16:42:28 GMT 2020,7.8,151731
Mon Aug  3 16:42:28 GMT 2020,7.8,151731
Mon Aug  3 16:42:29 GMT 2020,7.8,150768
Mon Aug  3 16:42:29 GMT 2020,7.8,150911
Mon Aug  3 16:42:29 GMT 2020,18,150943
Mon Aug  3 16:42:30 GMT 2020,18,150947
Mon Aug  3 16:42:30 GMT 2020,18,150939
Mon Aug  3 16:42:30 GMT 2020,18,153803
Mon Aug  3 16:42:31 GMT 2020,18,156796
Mon Aug  3 16:42:31 GMT 2020,18,157771
Mon Aug  3 16:42:32 GMT 2020,18,164525
Mon Aug  3 16:42:32 GMT 2020,18,166137
Mon Aug  3 16:42:32 GMT 2020,18,166137
Mon Aug  3 16:42:33 GMT 2020,18,166137
Mon Aug  3 16:42:33 GMT 2020,18,166165
Mon Aug  3 16:42:34 GMT 2020,18,166165
Mon Aug  3 16:42:34 GMT 2020,18,165965
Mon Aug  3 16:42:34 GMT 2020,18,165981
Mon Aug  3 16:42:35 GMT 2020,18,165981
Mon Aug  3 16:42:35 GMT 2020,18,165997
Mon Aug  3 16:42:36 GMT 2020,18,166001
Mon Aug  3 16:42:36 GMT 2020,18,166001
Mon Aug  3 16:42:36 GMT 2020,18,166001
Mon Aug  3 16:42:37 GMT 2020,18,166001
Mon Aug  3 16:42:37 GMT 2020,18,166001
Mon Aug  3 16:42:38 GMT 2020,18,166001
Mon Aug  3 16:42:38 GMT 2020,18,166001
Mon Aug  3 16:42:39 GMT 2020,18,165967
Mon Aug  3 16:42:39 GMT 2020,0,166631
Mon Aug  3 16:42:40 GMT 2020,0,154060
Mon Aug  3 16:42:40 GMT 2020,0,172175
Mon Aug  3 16:42:40 GMT 2020,0,172187
Mon Aug  3 16:42:41 GMT 2020,0,172187
Mon Aug  3 16:42:41 GMT 2020,0,172187
Mon Aug  3 16:42:42 GMT 2020,0,172187
Mon Aug  3 16:42:42 GMT 2020,0,172187
Mon Aug  3 16:42:43 GMT 2020,0,172187
Mon Aug  3 16:42:43 GMT 2020,0,172187
Mon Aug  3 16:42:44 GMT 2020,0,172187
Mon Aug  3 16:42:44 GMT 2020,18,172115
Mon Aug  3 16:42:45 GMT 2020,18,172127
Mon Aug  3 16:42:45 GMT 2020,18,172131
Mon Aug  3 16:42:45 GMT 2020,18,172135
Mon Aug  3 16:42:46 GMT 2020,18,172139
Mon Aug  3 16:42:46 GMT 2020,18,172139
Mon Aug  3 16:42:47 GMT 2020,18,172139
Mon Aug  3 16:42:47 GMT 2020,18,172139
Mon Aug  3 16:42:48 GMT 2020,18,172139
