RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",238594,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48282,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55313,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47500,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1416979,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38698,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",189948,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44167,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",273125,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70521,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",331927,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",64427,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",357344,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",321250,1,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62083,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56406,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49948,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58125,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54740,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",319948,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",104427,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44219,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55000,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48697,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",277031,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65885,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",288438,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44479,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",263594,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76354,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",414531,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45365,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",319062,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",274166,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65104,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1844583,0,1,3,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",245469,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",265781,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58073,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",359636,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43177,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",218802,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",78281,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293907,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47083,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283906,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",94062,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",353750,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",329896,1,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38229,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",324323,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61094,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73073,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60208,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",308437,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59115,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",203177,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",269115,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46197,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",421979,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50157,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",250521,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79323,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297188,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48438,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",282916,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48490,0,0,0,True
