STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1844583,0,1,3,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",245469,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",265781,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58073,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",359636,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43177,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",218802,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",78281,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293907,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47083,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",283906,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",94062,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",353750,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",329896,1,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38229,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",324323,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61094,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73073,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60208,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",308437,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59115,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",203177,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",269115,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",46197,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",421979,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50157,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",250521,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79323,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297188,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48438,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",282916,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48490,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",442031,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",293020,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",100365,0,0,0,True
