datetime,cpu,mem
Mon Aug  3 18:03:38 GMT 2020,0.3,103493
Mon Aug  3 18:03:38 GMT 2020,0.3,106380
Mon Aug  3 18:03:39 GMT 2020,0.3,106913
Mon Aug  3 18:03:39 GMT 2020,0.3,106922
Mon Aug  3 18:03:39 GMT 2020,0.3,106922
Mon Aug  3 18:03:40 GMT 2020,0.3,106922
Mon Aug  3 18:03:40 GMT 2020,0.3,106938
Mon Aug  3 18:03:41 GMT 2020,0.3,106938
Mon Aug  3 18:03:41 GMT 2020,0.3,106934
Mon Aug  3 18:03:41 GMT 2020,0.3,106934
Mon Aug  3 18:03:42 GMT 2020,0.3,106934
Mon Aug  3 18:03:42 GMT 2020,0.3,106533
Mon Aug  3 18:03:43 GMT 2020,0.3,106485
Mon Aug  3 18:03:43 GMT 2020,16,109193
Mon Aug  3 18:03:43 GMT 2020,16,109444
Mon Aug  3 18:03:44 GMT 2020,16,111387
Mon Aug  3 18:03:44 GMT 2020,16,116449
Mon Aug  3 18:03:44 GMT 2020,16,117886
Mon Aug  3 18:03:45 GMT 2020,16,117996
Mon Aug  3 18:03:45 GMT 2020,16,118028
Mon Aug  3 18:03:46 GMT 2020,16,118030
Mon Aug  3 18:03:46 GMT 2020,16,118030
Mon Aug  3 18:03:46 GMT 2020,16,118030
Mon Aug  3 18:03:47 GMT 2020,16,118030
Mon Aug  3 18:03:47 GMT 2020,16,117306
Mon Aug  3 18:03:48 GMT 2020,16,117322
Mon Aug  3 18:03:48 GMT 2020,16,117330
Mon Aug  3 18:03:49 GMT 2020,16,117314
Mon Aug  3 18:03:49 GMT 2020,16,117314
Mon Aug  3 18:03:50 GMT 2020,16,117314
Mon Aug  3 18:03:50 GMT 2020,16,117314
Mon Aug  3 18:03:51 GMT 2020,16,117318
Mon Aug  3 18:03:51 GMT 2020,16,117318
Mon Aug  3 18:03:52 GMT 2020,16,117318
Mon Aug  3 18:03:52 GMT 2020,16,117318
Mon Aug  3 18:03:53 GMT 2020,16,117306
Mon Aug  3 18:03:53 GMT 2020,16,117310
Mon Aug  3 18:03:53 GMT 2020,16,117380
Mon Aug  3 18:03:54 GMT 2020,0,135775
Mon Aug  3 18:03:54 GMT 2020,0,163343
Mon Aug  3 18:03:55 GMT 2020,0,183717
Mon Aug  3 18:03:55 GMT 2020,0,183781
Mon Aug  3 18:03:56 GMT 2020,0,183959
Mon Aug  3 18:03:57 GMT 2020,0,183641
Mon Aug  3 18:03:57 GMT 2020,0,183969
Mon Aug  3 18:03:58 GMT 2020,0,182754
Mon Aug  3 18:03:58 GMT 2020,0,182738
Mon Aug  3 18:03:59 GMT 2020,0,182778
Mon Aug  3 18:04:00 GMT 2020,0.1,182831
Mon Aug  3 18:04:01 GMT 2020,0.1,182819
Mon Aug  3 18:04:01 GMT 2020,0.1,182909
Mon Aug  3 18:04:02 GMT 2020,0.1,182989
Mon Aug  3 18:04:03 GMT 2020,0.1,182989
Mon Aug  3 18:04:03 GMT 2020,0.1,182653
Mon Aug  3 18:04:04 GMT 2020,0.1,182658
Mon Aug  3 18:04:05 GMT 2020,0.1,182666
Mon Aug  3 18:04:05 GMT 2020,0.1,182666
Mon Aug  3 18:04:06 GMT 2020,0.1,182638
Mon Aug  3 18:04:07 GMT 2020,0.1,197560
Mon Aug  3 18:04:07 GMT 2020,0.1,181950
Mon Aug  3 18:04:08 GMT 2020,0.1,182807
Mon Aug  3 18:04:08 GMT 2020,0.1,182488
Mon Aug  3 18:04:09 GMT 2020,0.1,169150
Mon Aug  3 18:04:10 GMT 2020,0.1,186908
Mon Aug  3 18:04:10 GMT 2020,0.1,187296
Mon Aug  3 18:04:11 GMT 2020,0.1,187632
Mon Aug  3 18:04:11 GMT 2020,0.1,187836
Mon Aug  3 18:04:12 GMT 2020,39,187852
Mon Aug  3 18:04:13 GMT 2020,39,187819
Mon Aug  3 18:04:13 GMT 2020,39,187332
Mon Aug  3 18:04:14 GMT 2020,39,186840
Mon Aug  3 18:04:15 GMT 2020,39,186858
Mon Aug  3 18:04:16 GMT 2020,39,185450
Mon Aug  3 18:04:17 GMT 2020,39,186114
Mon Aug  3 18:04:17 GMT 2020,39,186523
Mon Aug  3 18:04:18 GMT 2020,0.1,201602
Mon Aug  3 18:04:19 GMT 2020,0.1,187609
Mon Aug  3 18:04:19 GMT 2020,0.1,187413
Mon Aug  3 18:04:20 GMT 2020,0.1,187629
Mon Aug  3 18:04:21 GMT 2020,0.1,187621
Mon Aug  3 18:04:21 GMT 2020,0.1,187621
Mon Aug  3 18:04:22 GMT 2020,0.1,187625
Mon Aug  3 18:04:23 GMT 2020,0.1,187629
Mon Aug  3 18:04:24 GMT 2020,0.1,187641
Mon Aug  3 18:04:24 GMT 2020,0.1,187553
Mon Aug  3 18:04:25 GMT 2020,0.1,187734
Mon Aug  3 18:04:26 GMT 2020,0.1,187734
Mon Aug  3 18:04:26 GMT 2020,0.1,187738
Mon Aug  3 18:04:27 GMT 2020,0.1,187742
Mon Aug  3 18:04:28 GMT 2020,0.1,187708
