RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",197657,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58802,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42396,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52188,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",325729,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",28594,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",412605,0,2,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",201094,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",163437,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50000,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",512760,0,2,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44531,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41407,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47187,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",304687,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66615,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",448646,0,2,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",235781,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",194792,0,1,1,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",26875,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",2380625,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",350104,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",378282,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56563,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",857344,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57084,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",661979,0,2,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",302188,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",321667,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54375,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",560208,0,2,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",260520,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",521875,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54375,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",330678,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59271,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",301562,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",463281,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",347083,0,1,1,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44218,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",526042,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",187188,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1091198,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",38542,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",306511,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49895,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297239,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",286198,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",492344,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44792,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",519635,0,2,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",255469,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",273125,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",63281,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1351146,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",48750,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",330365,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",356094,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",376094,0,1,1,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57813,0,0,0,True
