STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",197657,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58802,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",42396,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52188,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",325729,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",28594,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",412605,0,2,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",201094,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",163437,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50000,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",512760,0,2,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",44531,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",41407,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",47187,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",304687,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66615,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",448646,0,2,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",235781,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",194792,0,1,1,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",26875,0,0,0,True
