Time  [ms],Memory Usage [KB],Time  [ms],Battery Power [uW] (Raw),Battery Power [uW] (Delta),Time  [ms],CPU Load [%]
6,2400740,7,0,0,5,30
105,2400412,106,0,0,104,14
206,2401948,207,0,0,204,13
308,2402400,312,0,0,305,16
408,2401952,409,0,0,406,16
458,2401800,459,0,0,457,2
557,2402252,559,0,0,556,11
658,2402688,659,0,0,656,18
759,2402492,760,0,0,757,17
860,2402444,861,0,0,858,8
961,2402672,962,0,0,959,6
1060,2402972,1060,0,0,1059,23
1163,2402972,1164,0,0,1161,16
1264,2402108,1266,0,0,1262,7
1363,2402140,1364,0,0,1361,11
1461,2402708,1462,0,0,1460,16
1563,2402708,1564,0,0,1562,12
1665,2401716,1667,0,0,1663,8
1766,2401980,1767,0,0,1765,10
1863,2402584,1864,0,0,1862,16
1964,2402584,1965,0,0,1963,17
2066,2401996,2068,0,0,2065,11
2167,2402516,2168,0,0,2164,8
2265,2402800,2265,0,0,2264,20
2369,2403004,2371,0,0,2367,13
2469,2402248,2470,0,0,2467,13
2570,2401744,2572,0,0,2567,5
2666,2402708,2667,0,0,2665,34
2767,2402992,2768,0,0,2766,18
2867,2402600,2867,0,0,2866,13
2969,2402808,2969,0,0,2967,8
3068,2403672,3068,0,0,3067,14
3170,2403872,3171,0,0,3169,13
3271,2402700,3273,0,0,3270,14
3373,2402508,3374,0,0,3371,6
3471,2403836,3472,0,0,3470,16
3570,2423244,3570,0,0,3569,28
3670,2420536,3670,0,0,3669,21
3771,2402584,3771,0,0,3770,12
3871,2402776,3871,0,0,3870,24
3973,2403872,3974,0,0,3972,26
4076,2404028,4077,0,0,4074,17
4174,2405268,4174,0,0,4172,26
4273,2409712,4273,0,0,4272,29
4372,2407900,4372,0,0,4372,31
4473,2411704,4473,0,0,4472,16
4573,2408156,4573,0,0,4573,19
4674,2407980,4674,0,0,4673,19
4776,2406464,4777,0,0,4775,14
4877,2408248,4878,0,0,4876,32
4977,2408736,4978,0,0,4976,27
5077,2414660,5078,0,0,5077,20
5178,2415376,5179,0,0,5177,11
5278,2415756,5279,0,0,5278,22
5379,2416700,5379,0,0,5378,26
5479,2416856,5480,0,0,5478,20
5579,2449336,5580,0,0,5579,35
5680,2449632,5680,0,0,5679,20
5780,2450004,5780,0,0,5779,16
5882,2450516,5882,0,0,5880,14
5982,2451220,5982,0,0,5981,28
6081,2451580,6082,0,0,6080,28
6182,2451280,6183,0,0,6181,14
6284,2451600,6284,0,0,6282,17
6384,2452504,6384,0,0,6382,23
6484,2452504,6484,0,0,6482,17
6584,2451892,6584,0,0,6583,6
6686,2452140,6686,0,0,6684,6
6786,2452528,6786,0,0,6784,15
6886,2452684,6886,0,0,6885,16
6987,2452488,6987,0,0,6985,15
7087,2452688,7088,0,0,7086,9
7188,2452956,7189,0,0,7187,12
7289,2452892,7289,0,0,7287,14
7389,2452796,7389,0,0,7387,16
7489,2452924,7490,0,0,7488,3
7590,2453524,7591,0,0,7589,16
7692,2453996,7692,0,0,7690,16
7791,2453800,7791,0,0,7789,16
7891,2453212,7892,0,0,7890,11
7993,2453964,7993,0,0,7991,17
8093,2453908,8094,0,0,8092,16
8193,2453908,8193,0,0,8191,15
8294,2452728,8294,0,0,8293,10
8395,2452592,8396,0,0,8394,8
8496,2453192,8497,0,0,8495,21
8596,2453192,8596,0,0,8595,15
8697,2452604,8697,0,0,8696,16
8798,2452604,8798,0,0,8796,1
8899,2452892,8899,0,0,8897,16
8999,2453372,8999,0,0,8998,15
9100,2453608,9100,0,0,9099,12
9201,2453220,9201,796095,796095,9199,10
9302,2453580,9303,796095,796095,9301,6
9402,2452172,9403,796095,796095,9401,14
9502,2452392,9503,796095,796095,9501,13
9603,2452176,9603,796095,796095,9602,14
9705,2452236,9706,796095,796095,9703,5
9804,2452800,9805,796095,796095,9803,16
9904,2452800,9905,796095,796095,9903,15
10005,2452212,10005,796095,796095,10004,19
10105,2452432,10105,796095,796095,10104,3
10207,2453732,10207,796095,796095,10206,16
10307,2453800,10307,796095,796095,10305,16
10407,2452912,10407,796095,796095,10406,21
10508,2452912,10508,796095,796095,10506,5
10608,2453584,10609,796095,796095,10607,19
10711,2453584,10712,796095,796095,10710,14
10810,2453584,10810,796095,796095,10809,15
10912,2453192,10912,796095,796095,10910,0
11012,2453616,11012,796095,796095,11010,14
11112,2454128,11112,796095,796095,11110,14
11212,2454324,11212,796095,796095,11210,15
11312,2453972,11313,796095,796095,11311,5
11412,2453928,11413,796095,796095,11411,15
11515,2453976,11515,796095,796095,11513,17
11614,2453976,11614,796095,796095,11612,15
11714,2453616,11715,796095,796095,11713,12
11815,2453616,11816,796095,796095,11814,2
11916,2454528,11917,796095,796095,11915,18
12016,2454528,12017,796095,796095,12015,15
12117,2453744,12117,796095,796095,12115,17
12219,2453692,12219,796095,796095,12217,9
12318,2454176,12318,796095,796095,12317,19
12417,2454420,12418,796095,796095,12417,14
12518,2454420,12518,796095,796095,12517,16
12623,2454224,12624,796095,796095,12619,7
12719,2452432,12719,796095,796095,12718,22
12820,2452732,12820,796095,796095,12819,17
12920,2452732,12920,796095,796095,12919,17
13020,2452340,13021,796095,796095,13020,12
13122,2452144,13122,796095,796095,13121,8
13221,2453080,13222,796095,796095,13221,17
13322,2453040,13322,796095,796095,13321,15
13422,2452596,13423,796095,796095,13422,10
13524,2452872,13524,796095,796095,13523,6
13624,2453400,13625,796095,796095,13623,14
13724,2453204,13724,796095,796095,13723,12
