datetime,cpu,mem
Mon Aug  3 17:04:49 GMT 2020,8.3,15297
Mon Aug  3 17:04:50 GMT 2020,8.3,75357
Mon Aug  3 17:04:50 GMT 2020,8.3,75271
Mon Aug  3 17:04:51 GMT 2020,8.3,102188
Mon Aug  3 17:04:51 GMT 2020,8.3,175376
Mon Aug  3 17:04:51 GMT 2020,8.3,201597
Mon Aug  3 17:04:52 GMT 2020,8.3,182386
Mon Aug  3 17:04:52 GMT 2020,8.3,185937
Mon Aug  3 17:04:53 GMT 2020,8.3,220155
Mon Aug  3 17:04:53 GMT 2020,8.3,226323
Mon Aug  3 17:04:54 GMT 2020,0,227368
Mon Aug  3 17:04:54 GMT 2020,0,226296
Mon Aug  3 17:04:55 GMT 2020,0,226351
Mon Aug  3 17:04:55 GMT 2020,0,226336
Mon Aug  3 17:04:56 GMT 2020,0,226338
Mon Aug  3 17:04:57 GMT 2020,0,226355
Mon Aug  3 17:04:57 GMT 2020,0,220423
Mon Aug  3 17:04:58 GMT 2020,0,240639
Mon Aug  3 17:04:58 GMT 2020,0,240671
Mon Aug  3 17:04:59 GMT 2020,0,240667
Mon Aug  3 17:05:00 GMT 2020,0,240379
Mon Aug  3 17:05:00 GMT 2020,0,240404
Mon Aug  3 17:05:01 GMT 2020,0,240434
Mon Aug  3 17:05:01 GMT 2020,0,240426
Mon Aug  3 17:05:02 GMT 2020,0,233947
Mon Aug  3 17:05:03 GMT 2020,0,244151
Mon Aug  3 17:05:03 GMT 2020,0,244211
Mon Aug  3 17:05:04 GMT 2020,30,245467
Mon Aug  3 17:05:05 GMT 2020,30,245467
Mon Aug  3 17:05:05 GMT 2020,30,244195
Mon Aug  3 17:05:06 GMT 2020,30,244197
Mon Aug  3 17:05:06 GMT 2020,30,260822
Mon Aug  3 17:05:07 GMT 2020,30,227092
Mon Aug  3 17:05:08 GMT 2020,30,226879
Mon Aug  3 17:05:08 GMT 2020,30,226847
Mon Aug  3 17:05:09 GMT 2020,31,253052
Mon Aug  3 17:05:10 GMT 2020,31,253475
Mon Aug  3 17:05:10 GMT 2020,31,245889
Mon Aug  3 17:05:11 GMT 2020,31,245902
Mon Aug  3 17:05:11 GMT 2020,31,212834
Mon Aug  3 17:05:12 GMT 2020,31,212489
Mon Aug  3 17:05:13 GMT 2020,31,229130
Mon Aug  3 17:05:13 GMT 2020,31,229347
Mon Aug  3 17:05:14 GMT 2020,34,229525
Mon Aug  3 17:05:15 GMT 2020,34,229525
Mon Aug  3 17:05:15 GMT 2020,34,229413
Mon Aug  3 17:05:16 GMT 2020,34,229426
Mon Aug  3 17:05:16 GMT 2020,34,212746
Mon Aug  3 17:05:17 GMT 2020,34,212702
Mon Aug  3 17:05:18 GMT 2020,34,212704
Mon Aug  3 17:05:18 GMT 2020,34,247115
Mon Aug  3 17:05:19 GMT 2020,34,231655
Mon Aug  3 17:05:20 GMT 2020,34,231647
Mon Aug  3 17:05:20 GMT 2020,34,248771
Mon Aug  3 17:05:21 GMT 2020,31,247415
Mon Aug  3 17:05:21 GMT 2020,31,247435
Mon Aug  3 17:05:22 GMT 2020,31,247435
Mon Aug  3 17:05:23 GMT 2020,31,247408
