RUN_NUMBER,STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1603594,0,1,5,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297031,0,1,5,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",323854,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45365,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",281458,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43594,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",384531,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49947,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77813,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",372448,0,1,5,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290052,0,1,2,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66979,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",473073,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76354,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52448,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70782,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56041,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60000,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70156,0,0,0,True
1,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58125,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",920521,0,1,5,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",417552,0,1,5,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",854948,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",65469,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",366302,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55625,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",368594,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",54792,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70312,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",464531,0,1,5,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",490572,0,1,2,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",79323,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75521,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59791,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",51979,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",62396,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56667,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",50937,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",132916,0,0,0,True
2,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",75104,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",700781,0,1,5,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",325052,0,1,5,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",248698,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",68750,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",603489,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56771,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",746666,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59635,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61666,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",479115,0,1,5,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",310834,0,1,2,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56719,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",57917,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",61198,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",55468,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66771,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",73073,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",69011,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",104844,0,0,0,True
3,"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",59219,0,0,0,True
