STRATEGY_CLASS,DURATION,NUMBER_OF_URLS,NUMBER_OF_SELECTED_CHILDREN_NODES,NUMBER_OF_CHILDREN_NODES,STRATEGY_RUN_SUCCESSFULLY
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",1603594,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",297031,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",323854,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",45365,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",281458,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",43594,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",384531,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",49947,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",77813,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",372448,0,1,5,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",290052,0,1,2,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",66979,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",473073,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",76354,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",52448,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70782,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",56041,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",60000,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",70156,0,0,0,True
"GreedyPrefetchingStrategyOnVisitFrequencyAndTime",58125,0,0,0,True
