datetime,cpu,mem
Mon Aug  3 18:06:59 GMT 2020,2.4,35502
Mon Aug  3 18:06:59 GMT 2020,2.4,96704
Mon Aug  3 18:06:59 GMT 2020,2.4,96832
Mon Aug  3 18:07:00 GMT 2020,2.4,96860
Mon Aug  3 18:07:00 GMT 2020,2.4,106560
Mon Aug  3 18:07:01 GMT 2020,2.4,123750
Mon Aug  3 18:07:01 GMT 2020,2.4,134756
Mon Aug  3 18:07:01 GMT 2020,21,151615
Mon Aug  3 18:07:02 GMT 2020,21,151359
Mon Aug  3 18:07:02 GMT 2020,21,151381
Mon Aug  3 18:07:03 GMT 2020,21,151385
Mon Aug  3 18:07:03 GMT 2020,21,151393
Mon Aug  3 18:07:03 GMT 2020,21,151346
Mon Aug  3 18:07:04 GMT 2020,21,171016
Mon Aug  3 18:07:04 GMT 2020,21,157619
Mon Aug  3 18:07:04 GMT 2020,21,158415
Mon Aug  3 18:07:05 GMT 2020,21,166045
Mon Aug  3 18:07:05 GMT 2020,21,166833
Mon Aug  3 18:07:06 GMT 2020,21,166833
Mon Aug  3 18:07:06 GMT 2020,21,166833
Mon Aug  3 18:07:07 GMT 2020,0,166833
Mon Aug  3 18:07:07 GMT 2020,0,166633
Mon Aug  3 18:07:07 GMT 2020,0,166653
Mon Aug  3 18:07:08 GMT 2020,0,166657
Mon Aug  3 18:07:08 GMT 2020,0,166673
Mon Aug  3 18:07:09 GMT 2020,0,166677
Mon Aug  3 18:07:09 GMT 2020,0,166677
Mon Aug  3 18:07:10 GMT 2020,0,166677
Mon Aug  3 18:07:10 GMT 2020,0,166677
Mon Aug  3 18:07:11 GMT 2020,0,166677
Mon Aug  3 18:07:11 GMT 2020,16,166681
Mon Aug  3 18:07:12 GMT 2020,16,166681
Mon Aug  3 18:07:12 GMT 2020,16,166664
Mon Aug  3 18:07:12 GMT 2020,16,167373
Mon Aug  3 18:07:13 GMT 2020,16,172070
Mon Aug  3 18:07:13 GMT 2020,16,172828
Mon Aug  3 18:07:14 GMT 2020,16,172824
Mon Aug  3 18:07:14 GMT 2020,16,172824
Mon Aug  3 18:07:15 GMT 2020,16,172824
Mon Aug  3 18:07:15 GMT 2020,16,172824
Mon Aug  3 18:07:16 GMT 2020,16,172824
Mon Aug  3 18:07:16 GMT 2020,16,172824
Mon Aug  3 18:07:16 GMT 2020,20,172824
Mon Aug  3 18:07:17 GMT 2020,20,172828
Mon Aug  3 18:07:17 GMT 2020,20,172676
Mon Aug  3 18:07:18 GMT 2020,20,172692
Mon Aug  3 18:07:18 GMT 2020,20,172696
Mon Aug  3 18:07:19 GMT 2020,20,172728
Mon Aug  3 18:07:19 GMT 2020,20,172777
Mon Aug  3 18:07:20 GMT 2020,20,172773
Mon Aug  3 18:07:20 GMT 2020,20,172773
Mon Aug  3 18:07:21 GMT 2020,20,172773
Mon Aug  3 18:07:21 GMT 2020,16,172773
Mon Aug  3 18:07:22 GMT 2020,16,172773
Mon Aug  3 18:07:22 GMT 2020,16,172757
